job_title,employer,location,summary,contains_information,contains_analysis,contains_data
Federal Travel Analyst,Deloitte,"Washington, DC 20004","Are you interested in building your career in an evolving and exciting business environment? Consider a career within our Strategy and Operations Consulting practice, and work side by side with our Federal clients to identify key business issues and drive meaningful change. Join us, and play a key role in helping to design our clients’ roadmap to the future! Work you’ll do As a Project Delivery Analyst in the Strategy & Operations group you will: Support Implementation and Operations Management best practices Support tasks and portions of the project scope on engagements related but not limited to Financial Operations, Supply Chain, and Project and Acquisition Management Demonstrate a foundational understanding of the client environment and overall project scope Identify and solve problems using analysis, experience, and judgment Independently perform tasks with some guidance to execute a portion of the project scope Provide travel authorization processing and helpdesk management support for a geographically disbursed customer base that engages in both domestic and international travelThe Team Transparency, innovation, collaboration, sustainability: these are the hallmark issues shaping Federal government initiatives today. Deloitte’s Federal practice is passionate about making an impact with lasting change. Carrying out missions in the Federal practice requires fresh thinking and a creative approach. We collaborate with teams from across our organization in order to bring the full breadth of Deloitte, its commercial and public sector expertise, to best support our clients. Our aspiration is to be the premier integrated solutions provider in helping to transform the Federal marketplace. Qualifications Required: Typically has 1 or more years of consulting and/or industry experience Ability to work independently under general guidance Experience working in teams and in a team environment that is process-oriented and deadline-driven Professional oral and written communication skills Relevant software or application skills to complete job successfully Problem solving and troubleshooting skills with the ability to exercise mature judgment Ability to obtain and maintain the required clearance for this role Knowledge of Federal Travel Regulations Preferred:Prior professional services or federal consulting experience Bachelor’s Degree Strong written and oral communication skills, preferably in a helpdesk type environmentHow you’ll grow At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there’s always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs, our professionals have a variety of opportunities to continue to grow throughout their career. Benefits At Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits. Learn more about what working at Deloitte can mean for you. Deloitte’s culture Our positive and supportive culture encourages our people to do their best work every day. We celebrate individuals by recognizing their uniqueness and offering them the flexibility to make daily choices that can help them to be healthy, centered, confident, and aware. We offer well-being programs and are continuously looking for new ways to maintain a culture where our people excel and lead healthy, happy lives. Corporate citizenship Deloitte is led by a purpose: to make an impact that matters. This purpose defines who we are and extends to relationships with our clients, our people and our communities. We believe that business has the power to inspire and transform. We focus on education, giving, skill-based volunteerism, and leadership to help drive positive social impact in our communities. Learn more about Deloitte’s impact on the world. Recruiter tips We want job seekers exploring opportunities at Deloitte to feel prepared and confident. To help you with your interview, we suggest that you do your research: know some background about the organization and the business area you’re applying to. Check out recruiting tips from Deloitte professionals.",FALSE,TRUE,FALSE
Front Desk/Office Assistant,Universal Home Healthcare Inc.,"Washington, DC 20003",DC/Capitol Hill based Home Health Agency seeking diversified individual. The individual should have great telephone etiquette. Pleasant demeanor for front desk greeting. Working knowledge of MS Word and Excel. Able to work well independently and multi-task. At least 2 years of office work experience. Please send resume.Job Type: Full-timeSalary: $14.00 /hourRequired experience:Office: 2 yearsRequired education:High school,FALSE,FALSE,FALSE
"Resident Services Coordinator (Monday-Friday, 7am-3pm), Brookland Press",Kettler,"Washington, DC","Overview KETTLER currently has an opening for a Resident Services Coordinator at Brookland Press, located in Washington, D.C. This is the Monday-Friday, 7:00am-3:00pm shift. The Resident Services Coordinator, under the direction of the Property Manager and Lead Resident Service Coordinator, is responsible for working to achieve maximize resident satisfaction and retention by providing excellent customer service to residents and guests. Responsibilities Manage administrative requests from residents Distribute packages and sign for deliveries Record resident service requests and ensure timely follow-up Assist team members with administrative or office needs such as assembling move-in packets and lease packets, etc. Issue guest parking passes and notify Property Manager of any unauthorized vehicles Maintain schedule for party room, media room, or any other events and amenities Receive and distribute office mail Audit and reconcile KeyTrak daily and weekly Assuring all service request follow up is completed within 24 hours Complete all other tasks as assigned by the Property Manager Customer Service Serve as the primary point of contact for the property, greeting all customers, residents, and guests Ensure that all guests/customers are let into the building within a timely manner and directed appropriately Assist residents with directions, community information and services as well as information regarding the surrounding neighborhood Answer primary property phone line and deliver messages to the appropriate recipient Ensure excellence in curb appeal and continuous inspection of common areas and desk for cleanliness Advise Property Manager or appropriate team member of conditions in the community affecting the resident’s safety, reporting any residential dissatisfaction Maintain professional dress and conduct at all times Qualifications High school diploma or equivalent 1-2 years customer service or sales experience Availability to work during designated shift every day of the year, including all holidays but excluding vacation and sick hours Excellent computer and telephone skills Knowledge of intranet applications, printers, multi-line telephones, fax machine, photocopier Excellent English communication skills, both verbal and written",TRUE,FALSE,FALSE
Public Relations & Communications Assistant,Morgan Lewis,"Washington, DC","Morgan, Lewis & Bockius LLP, one of the world’s leading global law firms with almost 4000 lawyers and staff in 30 offices, is seeking a Public Relations & Communications Assistant to join our Public Relations & Communications team.  The Public Relations & Communications Assistant provides administrative and clerical support to the Director of Public Relations & Communications, and to the Public Relations, Editorial, and Directories & Recognitions teams including assists with tracking team wide projects, data, and budget.  Candidates must be proficient writers and researchers, creative, self-motivated and detail-oriented, committed to excellence in the workplace, and have strong organizational skills.  Responsibilities: Tracks team projects, including deadlines and deliverables, in coordination with Director of Public Relations & Communications; maintains team strategic communications calendar Manages Public Relations & Communications pages on firm intranet, including upkeep of SOPs, contact lists, and other resources Monitors, organizes, and reports on the firm’s media mentions, including for firm and practice and industry group newsletters Supports the Public Relations team by managing article postings on the website and process for byline agreements and article reprints, as well as maintaining talking points library, media lists, and other shared files Assists Public Relations and Directories & Recognitions teams on Experience Database and other backup support Provides budget and invoice administrative support across Public Relations & Communications teams Follows quality control processes Performs data entry Performs other duties as assigned  Experience and Qualifications: Bachelor's Degree (in a related marketing, communications or journalism discipline) from four-year college or university Minimum of 1 year of relevant professional experience Excellent writing skills are required Exceptional judgment, discretion, responsiveness, and initiative Strong planning and organizational skills Excellent interpersonal skills and the ability to deal effectively with differing opinions and diverse personalities Ability to read, write, and interpret business correspondence and memos Proficiency using MS Office and Outlook Strong organizational, team building, and communication skills are essential  This role may be resident in our Boston, Chicago, New York, Orange County, or Washington, DC office.  Qualified candidates must apply online by visiting our website at www.morganlewis.com and selecting “Careers”.  Morgan Lewis is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law.  Pursuant to applicable state and municipal Fair Chance Laws and Ordinances, we will consider for employment qualified applicants with arrest and conviction records.",FALSE,FALSE,TRUE
Dock Attendant,Wharf Gangplank Marina and Market Docks,"Washington, DC 20024","SUNSHINE-OUTDOORS AND YOU GET PAIDTHE WHARF GANGPLANK MARINA AND MARKET DOCKS IS LOOKIG FOR A "" FEW GOOD PEOPLE""DOCK ATTENDANTS FULL AND PART TIME SEASONAL.GOOD PAY GREAT WORK ENVIROMENT .KNOWLEDGE OF BOATS OR MARINAS A PLUS.Job Types: Full-time, Part-time, TemporarySalary: $12.50 to $16.00 /hourRequired experience:Dock Attendant: 1 year",FALSE,FALSE,FALSE
Front Office Coordinator,Same Day Process Service,"Washington, DC","FRONT OFFICE COORDINATORAPPLICATION REQUIREMENTS:  ONLY RESUMES WITH COVER LETTERS WILL BE CONSIDERED. Include typing speed.Same Day Process Service has been providing exceptional legal support and service of process in the Baltimore-Washington metropolitan areas for over 10 years. We offer a variety of services including: Process Serving, Court Filing, Document Research & Retrieval, Mobile Notary, Skip Tracing, Stakeouts & Stings, Social Media Investigation, and State Department & Foreign Embassy Filings. Please read our website before completing an application.The company is currently seeking polished and professional candidates with excellent verbal and written communication skills. The ideal candidate possesses exceptional attention to detail, superior customer service skills and the ability to meet deadlines in a fast pace environment. It also requires the ability to keep confidentiality of client and company matters.POSITION SUMMARY: Answering phones â 40%Performs data-entry into company database system 40%Drafts and edits correspondence, reports, forms and other legal documents including affidavits. 15%Gathers data and information for projects of moderate scope. 5%AVAILABILITY REQUIREMENTS: 40-hour work weekPOSITION REQUIREMENTS: 2+ year previous experience as an Administrative Assistant2+ year previous data entry experienceTyping speed of 50 words per minuteStrong computer proficiencyBA or equivalent work experience preferred, High School diploma requiredAbility to pass a thorough background check back to the age of 18No prior feloniesAbility to pass pre-employment drug screeningKEY SKILL REQUIREMENTS: Ability to work collaboratively with others in a team-oriented environmentExcellent written and verbal communication skillsSuperior organizational skills including filing, calendaring, data entry and proofreadingAbility to prioritize multiple tasks and meet deadlinesSuperior customer service skillsCOMPENSATION/BENEFITS: $18 per hour depending on experience. Medical insurance available after (90) days of employment .SDP is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to age, race, creed, color, national origin, ancestry, marital status, or gender orientation.Job Type: Full-timeSalary: $15.00 to $18.00 /hourExperience:Administrative Support: 2 years (Required)data entry: 2 years (Required)Education:High school or equivalent (Required)Job Location:Washington, DC (Required)License or certification:Driver's License (Required)Language:english (Required)Shifts:Mid-Day, Morning (Required)",TRUE,FALSE,TRUE
Claims Processor,"Gritter Francona, Inc.","Washington, DC","Job Title: Claims Processor Location: Washington, DC Pay Rate: Approx. $20/hour Shift: Mid-day, Full-time (40 hours/week)  For this position, we would like a candidate who is fluent in Spanish, (verbal and written), and can work the mid-day shift. Must be a U.S. citizen and meet the General Clerk requirements below:  Performs work solely of a clerical, support nature. Tasks may include copying, transcribing, answering phone calls, assembling documents or reports, filing, scheduling meetings/conferences or making calendar arrangements.  Must have a high school diploma and at least 2 years of related experience. VA Clearance preferred, but not required.",FALSE,FALSE,FALSE
Dog Walker,Wag!,"Washington, DC","Wag, the on-demand dog walking app, is seeking qualified dog lovers to join the platform.Are you an animal lover with dog care experience looking for part-time work? Then you can earn up to $30/hr walking dogs with Wag!Do You?Prefer working outside?Prefer to make your own schedule?Like being greeted with excitement everyday?Have You Ever?Been a dog walker, or dog sitter?Been an animal, or dog shelter volunteer?Owned a dog before?Are You?Familiar with basic training commands?Friendly and outgoing?Professional and reliable?RequirementsMust be over 18 years oldMust own an iPhone 5, or Android 4.2 or newerAbout Wag!Wag! is an on-demand dog walking service to instantly find and book a reliable, experienced and trustworthy dog walker to care for your pet when your schedule doesn't permit.Proudly featured in Forbes Magazine, Tech Crunch, NY Times, The Wall Street Journal, Chelsea Handler and much more, Wag! connects dog owners with only the best and most experienced dog walkers and sitters.Job Type: Contract",FALSE,FALSE,FALSE
Account Executive - Outside Sales,CHUTE MASTER ENVIRONMENTAL,"Washington, DC","Growing Indoor Environmental Company is seeking a disciplined, motivated candidate to join its Sales Team. The position is a true outside sales opportunity complete with commissions and bonus structure. Territory is for Washington DC/ Northern VA/ Maryland area. Some college course work is preferred - Serious Candidates only - Safe, Clean automobile and drivers license requiredJob Type: Full-timeSalary: $50,000.00 /yearExperience:Sales: 2 years (Preferred)",FALSE,FALSE,FALSE
Patient Services Coordinator/Medical Assistant,1138,"Washington, DC 20003","Facility open daily including weekends and holidays Serves as the initial contact person at the medical practice, principally responsible for all front desk and reception activies. As needed, cross-trained to assist the back office as a Medical Assistant/Clinical Care Specialist/MA either during normal front office shirt or as back up for unplanned or scheduled CSS absences. Greets patients in a service oriented and professional manner, answers phones, monitors the reception area for patient comfort and potential emergencies, registers and submits charges for patients. Assists in coordinating patient care from an administrative perspective.  Qualifications  EDUCATION: High school graduation or equivalent; completion of an approved Medical Assistant program.  EXPERIENCE: 1 year experience working in an ambulatory care medical office, preferably in a paperless environment; minimum of externship in a medical or ambulatory health setting. 2 years back office medical experience strongly preferred.  LICENSE/CERT/REG: CMA (Certified Medical Assistant) by the American Association of Medical Assistants or RMA (Registered Medical Assistant) through the American Medical Technologists within 6 months from hire date; CPR Certification.  SKILLS: Ability to type 40 words per minute; basic computer skills; excellent verbal /written communication and customer service skills. Clinical competency as verified during the initial 90 day orientation period and annually thereafter. Computer and Electronic Medical Record skills and ability to function in a variable clinical setting.",FALSE,FALSE,FALSE
Patient Services Coordinator/Medical Assistant,1138,"Washington, DC 20003","Facility open daily including weekends and holidays Serves as the initial contact person at the medical practice, principally responsible for all front desk and reception activies. As needed, cross-trained to assist the back office as a Medical Assistant/Clinical Care Specialist/MA either during normal front office shirt or as back up for unplanned or scheduled CSS absences. Greets patients in a service oriented and professional manner, answers phones, monitors the reception area for patient comfort and potential emergencies, registers and submits charges for patients. Assists in coordinating patient care from an administrative perspective.  Qualifications  EDUCATION: High school graduation or equivalent; completion of an approved Medical Assistant program.  EXPERIENCE: 1 year experience working in an ambulatory care medical office, preferably in a paperless environment; minimum of externship in a medical or ambulatory health setting. 2 years back office medical experience strongly preferred.  LICENSE/CERT/REG: CMA (Certified Medical Assistant) by the American Association of Medical Assistants or RMA (Registered Medical Assistant) through the American Medical Technologists within 6 months from hire date; CPR Certification.  SKILLS: Ability to type 40 words per minute; basic computer skills; excellent verbal /written communication and customer service skills. Clinical competency as verified during the initial 90 day orientation period and annually thereafter. Computer and Electronic Medical Record skills and ability to function in a variable clinical setting.",FALSE,FALSE,FALSE
Dog Walker,Wag!,"Washington, DC","Wag, the on-demand dog walking app, is seeking qualified dog lovers to join the platform.Are you an animal lover with dog care experience looking for part-time work? Then you can earn up to $30/hr walking dogs with Wag!Do You?Prefer working outside?Prefer to make your own schedule?Like being greeted with excitement everyday?Have You Ever?Been a dog walker, or dog sitter?Been an animal, or dog shelter volunteer?Owned a dog before?Are You?Familiar with basic training commands?Friendly and outgoing?Professional and reliable?RequirementsMust be over 18 years oldMust own an iPhone 5, or Android 4.2 or newerAbout Wag!Wag! is an on-demand dog walking service to instantly find and book a reliable, experienced and trustworthy dog walker to care for your pet when your schedule doesn't permit.Proudly featured in Forbes Magazine, Tech Crunch, NY Times, The Wall Street Journal, Chelsea Handler and much more, Wag! connects dog owners with only the best and most experienced dog walkers and sitters.Job Type: Contract",FALSE,FALSE,FALSE
Policy Analyst,United States District Court,"Washington, DC","Announcement Number: 18-JCS-10163325 Court: Administrative Office of the U.S. Courts City, State: Washington, DC, DC Permanent Position: Permanent Minimum Salary: $50,912 Maximum Salary: $152,852 Closing Date: 04/25/2018 Link to Original Job Post: https://www.usajobs.gov/GetJob/ViewDetails/493963600",FALSE,FALSE,FALSE
Claims Processor,"Gritter Francona, Inc.","Washington, DC","Job Title: Claims Processor Location: Washington, DC Pay Rate: Approx. $20/hour Shift: Mid-day, Full-time (40 hours/week)  For this position, we would like a candidate who is fluent in Spanish, (verbal and written), and can work the mid-day shift. Must be a U.S. citizen and meet the General Clerk requirements below:  Performs work solely of a clerical, support nature. Tasks may include copying, transcribing, answering phone calls, assembling documents or reports, filing, scheduling meetings/conferences or making calendar arrangements.  Must have a high school diploma and at least 2 years of related experience. VA Clearance preferred, but not required.",FALSE,FALSE,FALSE
"Homemaker/Companion (Washington, DC)",Right At Home,"Washington, DC 20002","A homemaker/companion provides for the maintenance of a safe and clean environment. Performs various housekeeping tasks, meal preparation and companionship activities for clients in their residences.  Essential Functions Performs homemaking activities which include (but are not limited to): vacuuming, dusting, sweeping or mopping floors, doing dishes, changing bed linens, doing laundry and cleaning bathrooms. Prepares meals and snacks according to instructions. Performs errands and/or provides transportation Provides companionship for the client. This includes accompanying client on walks, trips to social/recreational activities, assistance with hobbies, etc. Qualifications 1. Home Health Aide Certification or DC-CNA license (we can provide the DC license endorsement form)  2. Valid Identification Card 3. Social Security Card 4. CPR Certification 5. Physical Exam (Physical should state ""free of communicable disease"" and must be within six months from the date applying) 6. PPD Test Results (if +PPD results, need chest X-ray results) 7. Driving Record 8. DC Police Clearance (must be within six months from the date applying) 9. 2 Professional References 10. At least 1 Year Experience 11. A valid email address 12. Completion of a written Competency Evaluation. 13. Completion of a written Pre-Interview Assessment 14. Ability to read, write, speak and understand English as needed for the job.  We accept applications Tuesday and Thursday, 9:00am - 1:00pm only. A competency evaluation and pre-interview assessment are administered at the time of application.",FALSE,FALSE,FALSE
Government Relations Administrative Associate,Amnesty International,"Washington, DC","Job Summary  The position will provide ongoing administrative support for Advocacy and Government Relations budget and internal communications, work relating to the national priorities and overseeing the recruitment, training and supervision of the GR intern program.  This position will also support building a network of powerful grassroots advocates by helping to identify and cultivate strong candidates for the Legislative Coordinator volunteer leadership position in strategic areas of the country.  Responsibilities  Provide administrative support for the National Director for Advocacy and Government Relations; process routine and special payment requests; facilitate preparation and monitoring of departmental budget, in cooperation with Finance Unit; maintain departmental calendar and schedule meetings; compile data and prepare monthly activity reports; make travel arrangements, maintain itineraries and contact information; organize invoices and receipts and prepare expenditure submission for Concur for reimbursement; direct calls, take messages and respond to routine requests for information; prepare regular updates and reports on Government Relations team’s activities for internal and external audiences; and implement a “smart communications initiative” in partnership with Communications team to maximize our profile and market the staff and activities of the unit internally and externally.  In consultation with National Director, support and facilitate the Government Relations Team’s advocacy on organizational and section priorities as needed, including preparation of testimony and issue briefs and through tweets and other social media platforms; disseminating AIUSA information to key policy and opinion makers.  Coordinate intern support of these activities, and other administrative duties as assigned.  Support the Member Leadership and Training Unit to develop and implement Legislative Coordinator recruitment strategies that will engage potential high-level volunteers with the skill and experience to lead legislative advocacy initiatives in their state.  Qualifications: Bachelor's degree or equivalent work experience required. Must be a team player, highly organized, able to prioritize and manage multiple and detailed tasks and produce high-quality work under rushed deadlines. Excellent verbal and writing skills. Proficiency in Spanish preferred In addition, experience with grassroots and coalition work and/or working in a nongovernmental setting comparable to Amnesty International USA is preferred. APPLY VIA THE FOLLOWING LINK: https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?clientkey=FACBA214DB8B6B051E8C6DC04E56D67A&jpt=&job=14442  Follow us on LinkedIn: https://www.linkedin.com/company/amnesty-international-usa  Due to the large volume of applications, we are only able to contact those applicants who are selected for interviews.  AIUSA is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.  DO NOT APPLY VIA THE 'APPLY FOR THIS ROLE' BUTTON BELOW",TRUE,FALSE,TRUE
Maintenance Technician - Bolling Air Force Base Family Housing,Hunt Companies,"Washington, DC","The Maintenance Technician II provides general and specialized maintenance to housing being rented to families. This position may also perform work to prepare rental unit ready during change of occupancy. As Maintenance Technician II, you will be a valuable member of the maintenance team. You may be responsible for checking, troubleshooting, and making routine repairs in the following areas: air conditioning, water heaters, plumbing, painting, carpentry, and other building maintenance areas. Maintenance Technician II personnel will frequently work outdoors in all weather conditions, as well as in attics, crawl spaces and other tight spaces depending on the maintenance requirement.  Essential Job Functions Respond to service requests regarding furnaces, air-conditioning systems, appliances, water heaters and solar collection, disposals, general plumbing, carpentry, painting, and other required maintenance items, as may be required. Performs skilled work in one or more trades such as HVAC, plumbing, electrical, appliance repair or locksmith requiring advanced knowledge and skills and advanced troubleshooting abilities. Maintain equipment such as tools, gauges, Freon recovery systems, snakes, drills, etc., in ready repair and demonstrate a safe/proficient operational knowledge of tools. Understand the proper use of equipment and chemicals and the use of personal protective equipment (PPE). Follow and adhere to an established preventive maintenance program for all heating and ventilation systems and perform the required maintenance including replacement of filters, etc. Assist in the make ready of vacated units including, but not limited to, painting, sanding, and varnishing, floor tile removal and replacement, ceramic tile replacement, dry wall repair, fixture repair and/or replacement, floor stripping, waxing, and polishing, window repair and/or replacement, etc., as will from time to time be required. Similar work as described above may also be required on the exterior of the home to make ready. Perform emergency maintenance as required including sewage back-ups, water main and/or lateral breaks (dig to expose line, repair, and replace soil as needed), fires, other types of water leaks, appliance repairs, etc. Ensure that unsafe conditions are corrected in a timely manner. Reliable and dependable attendance and punctuality are essential for this position. Perform other related tasks as required. Education  High school diploma (or equivalent) with advanced training resulting in a certification or a degree/journeyman license in building maintenance, or one or more skilled trades or other related subject; or an acceptable amount of on-the-job experience in building maintenance or one of the skilled trades.  Experience and Qualifications Have strong knowledge of Building Maintenance and have specialized knowledge in one or more of the following trades/skills: electrical, HVAC, plumbing, appliance repair, or locksmith. Three or more years’ experience in residential maintenance. Must have a valid driver’s license and insurance. Able to work outside in all weather conditions and perform physical work, as well as to lift weights of up to 50 pounds regularly and above 50 pounds occasionally. Willing and able to work occasional on-call shifts. EPA certification required. Other Skills  Requires a team player who pays close attention to detail and who can prioritize in a fast-moving environment. Must demonstrate excellent communication and interpersonal skills, particularly the ability to interact effectively with a wide range of different people in a variety of situations.",FALSE,FALSE,FALSE
Concierge,Wood Residential Services,"Washington, DC 20002","Wood Residential Services is seeking a courteous Concierge to assist in creating amazing experiences of home and community for our residents. From offering suggestions on unique cuisine selections nearby to setting up spa appointments, you will enthusiastically manage all resident inquiries in a timely and respectful manner.  By building meaningful connections and a sense of community as a Resident Concierge, you will contribute to achieving resident satisfaction and retention goals leading to possible career advancement. Expected Contributions: Deliver superior customer service; acknowledge residents by name and greet all guests. Direct service requests to maintenance and escalate issues as needed to management. Regularly attend Chamber meetings to learn about community attractions and amenities. Create and maintain monthly community calendar. Manage front desk by-log, audit, and package delivery. Provide assistance, recommendations, or resolution (and follow-up) for resident needs. Assist with administrative duties as assigned. Required Experience : Experience in the hospitality or property management industry preferred. Knowledge of concierge, guest service, or front desk role preferred. Proficient in Microsoft Office and social media. Upon submission of your application, you will be prompted to complete the TALENT SCIENCE Assessment. THIS IS A REQUIRED STEP IN THE HIRING PROCESS.  We are proud to be an Equal Opportunity Employer EOE/M/F/D/V",FALSE,FALSE,FALSE
Software Engineer Intern,National instrument,"Washington, DC","As a Digilent software engineer intern you will work closely with a small team of engineers to design, develop and maintain a wide variety of software ranging from low level firmware to high level application software. Software engineer interns at Digilent enjoy a relaxed work environment that offers the opportunity to participate in all aspects of the software development process and develop expertise in multiple languages, toolchains and technologies. Most Digilent software is open source and available on GitHub. Position Responsibilities Perform research to specify, develop or enhance your product or to define new products Specify, design, implement, and test software features and capabilities for new and existing products Diagnose and debug problems with your product and other Digilent products Qualifications Enrolled in an accredited computer science, computer engineering, electrical engineer, or other related engineering program Minimum overall GPA 3.2 Strong understanding of high-level programming languages (C/C++/JavaScript/TypeScript) Understanding of good software design and architecture principals Passion for learning about, working with and developing software Demonstrate ability to: Work effectively in a group development environment Problem-solve effectively by diagnosing technical issues and proposing solutions Persistently drive tasks and projects to successful completion Listen attentively and grasp fast-paced technical conversations Quickly learn applicable technology, systems, and products",FALSE,FALSE,FALSE
Software Engineer Intern,National Instruments,"Washington, DC","As a Digilent software engineer intern you will work closely with a small team of engineers to design, develop and maintain a wide variety of software ranging from low level firmware to high level application software. Software engineer interns at Digilent enjoy a relaxed work environment that offers the opportunity to participate in all aspects of the software development process and develop expertise in multiple languages, toolchains and technologies. Most Digilent software is open source and available on GitHub. Position Responsibilities Perform research to specify, develop or enhance your product or to define new products Specify, design, implement, and test software features and capabilities for new and existing products Diagnose and debug problems with your product and other Digilent products Qualifications Enrolled in an accredited computer science, computer engineering, electrical engineer, or other related engineering program Minimum overall GPA 3.2 Strong understanding of high-level programming languages (C/C++/JavaScript/TypeScript) Understanding of good software design and architecture principals Passion for learning about, working with and developing software Demonstrate ability to: Work effectively in a group development environment Problem-solve effectively by diagnosing technical issues and proposing solutions Persistently drive tasks and projects to successful completion Listen attentively and grasp fast-paced technical conversations Quickly learn applicable technology, systems, and products Primary Location: US-Washington Job: Intern Business Unit: Research & Development Employee Status: Regular Job Type: Standard Job Posting: Apr 9, 2018, 10:36:46 AM",FALSE,FALSE,FALSE
2018 PeopleSoft Functional Analyst 1 (Entry Level) - NEW,Northrop Grumman,"Washington, DC","2018 PeopleSoft Functional Analyst 1 (Entry Level) - NEW Requisition ID : 18004813 Location(s) : United States-District of Columbia-Washington US Citizenship Required for this Position : Yes Relocation Assistance : Relocation assistance may be available Travel : Yes, 10 % of the Time Description Northrop Grumman Technology Services sector is seeking a PeopleSoft Human Capital Management (HCM) Functional Business Analyst to join our team of qualified, diverse individuals supporting the Department of Treasury’s HRConnect program. This position is physically located in Washington, DC and allows for partial telework. The candidate will directly interface with our customer to deliver PeopleSoft Functional support for their customized Oracle PeopleSoft Enterprise HCM 9.2 application. Job Responsibilities include maintaining high levels of customer satisfaction, maintaining visibility with the customer, consistently delivering timely, high quality products and services on current and future efforts, and working effectively with our employees, subcontractors, and the Treasury staff in a diverse team environment. Additional Job Responsibilities Include:  • Gathering requirements through fit/gap sessions, personal research, interviews, and analysis of supporting documentation and business process descriptions  • Decomposing high-level business and user-defined requirements into system functional requirements and functional design documents  • Defining quality attributes, interfaces, constraints and other non-functional requirements  • Completing requirements analysis and verification, ensuring that requirements statements are complete, consistent, traceable, unambiguous, feasible and verifiable  • Participating with team members in prioritization of identified requirements  • Participating in peer reviews and inspections of requirements documents  • Managing requirements traceability information and tracking the status of requirements throughout the stages of implementation.  • Developing designs, facilitating design sessions and discussions and creating functional design documents  • Working with developers to ensure thorough understanding of functional requirements and designs  • Developing and executing effective testing plans and scripts, as well as defining expected results for all tests Qualifications Basic Qualifications:  • Bachelor’s Degree in Business, Computer Science, Information Systems Management, Mathematics, Engineering, or a related field  • Experience presenting to groups and facilitating  • Must be available to provide scheduled and ad hoc evening and weekend functional support  • Must be able to obtain a Position of Trust designation security clearance, U.S. Citizenship required • 3.25 Cumulative GPA Preferred Qualifications:  • 3.7 Cumulative GPA • Experience documenting IT or technical procedures • Minimum of 1+ years of relevant experience  • Minimum of 1+ years of experience with PeopleSoft technology  • Basic familiarity with PeopleSoft Human Capital Management • Federal HR experience to include personnel action processing (PAR), manager/employee self service, performance management, compensation, AWE, and/or learning management  • Strong SQL skills  • Experience working within an Agile framework  Northrop Grumman is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. For our complete EEO/AA and Pay Transparency statement, please visit www.northropgrumman.com/EEO . U.S. Citizenship is required for most positions.",TRUE,TRUE,FALSE
Data Entry Specialist,Salem Solutions,"Washington, DC","CANDIDATES MUST HAVE A DOJ CLEARANCE IN ORDER TO BE CONSIDERED!THIS IS A CONTRACT THAT COULD LAST 12 MONTHS OR MORE BASED ON RENEWAL CAPABILITIES.This is work using a computer and keyboard transcribing information, working under supervision and following specific procedures and instructions the Data Entry Operator I works from various standardized source documents that have been coded and require little or no selecting, coding or interpreting of data.Transfer data from paper formats into computer files or database systems using keyboards, data recorders or optical scannersType in data provided directly from customersMay create spreadsheets with large numbers of figures without mistakesVerify data by comparing it to source documentsUpdate existing dataRetrieve data from the database or electronic files as requestedPerform regular backups to ensure data preservationSort and organize paperwork after entering data to ensure it is not loApplicants will be required to have or the ability to obtain a Public Trust Clearance.Job Type: Full-timeRequired experience:Data Entry: 1 yearRequired education:High schoolRequired license or certification:DOJ clearance",TRUE,FALSE,TRUE
