source,target
3.8.1.2: Tuberculosis treatment success rate,Number of cases referred from other countries
3.8.1.2: Tuberculosis treatment success rate,Number of TB cases with HIV infection
3.8.1.2: Tuberculosis treatment success rate,Number of drug resistant TB patients
3.8.1.2: Tuberculosis treatment success rate,Number of X?DR TB cases
3.8.1.3: People living with HIV enrolled in ART (%),Number of people with HIV who initiated antiretroviral therapy and are known to have been on it continuously for at least 12 months
3.8.1.3: People living with HIV enrolled in ART (%),Number of people with HIV who initiated antiretroviral therapy and are known to have been on it continuously for at least 24 month
3.8.1.3: People living with HIV enrolled in ART (%),Number of people with HIV who initiated antiretroviral therapy and are known to have been on it continuously for at least 36 months
3.8.1.3: People living with HIV enrolled in ART (%),Number of people living with advanced HIV infection who received antiretroviral therapy in accordance with the nationally approved treatment protocol
3.8.1.4: Population aged 18 years and above with raised blood glucose who are currently taking medication (%),"[Percentage of respondents currently taking insulin and oral medication, among those previously
diagnosed]"
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",Received BCG
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",BCG day
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",BCG month
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",BCG year
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",Received DPT 1
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",DPT 1 day
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",DPT 1 month
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",DPT 1 year
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",Received POLIO 1
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",POLIO 1 day
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",POLIO 1 month
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",POLIO 1 year
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",Received DPT 2
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",DPT 2 day
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",DPT 2 month
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",DPT 2 year
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",Received POLIO 2
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",POLIO 2 day
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",POLIO 2 month
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",POLIO 2 year
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",Received DPT 3
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",DPT 3 day
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",DPT 3 month
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",DPT 3 year
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",Received POLIO 3
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",POLIO 3 day
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",POLIO 3 month
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",POLIO 3 year
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",Received MEASLES
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",MEASLES day
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",MEASLES month
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",MEASLES year
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",Ever had vaccination
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",Number of children under one year immunized with BCG
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",Number of children under one year immunized with DPT?HepB?Hib1
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",Number of children under one year immunized with DPT?HepB?Hib2
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",Number of children under one year immunized with DPT?HepB?Hib3
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",Number of children under one year immunized with Polio 1
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",Number of children under one year immunized with Polio 2
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",Number of children under one year immunized with Polio 3
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",Number of children under one year immunized with PCV 1
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",Number of children under one year immunized with PCV 2
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",Number of children under one year immunized with PCV 3
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",Number of children under one year immunized with IPV
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",Number of children under one year immunized with measles/rubella
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",Number of children aged 12?23 months immunized with measles/rubella 1
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",Number of children aged 12?23 months immunized with measles/rubella 2
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)",Number of children aged 12?23 months immunized with JE
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)","Number of children under one year fully immunized as per NIP schedule (BCG, DPT?Hep B?Hib?3, OPV?3 and Measles/Rubella, PCV3)"
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)", have immunization card
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)", received vaccine: bcg
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)", received vaccine: dpt1
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)", received vaccine: dpt2
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)", received vaccine: dpt3
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)", received vaccine: polio 1
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)", received vaccine: polio 2
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)", received vaccine: polio 3
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)", received vaccine: measles
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)", received vaccine: hp-b 1
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)", received vaccine: hp-b 2
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)", received vaccine: hp-b 3
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)", received bcg vaccine
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)", received polio vaccine
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)", when first polio vaccine received
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)", no. of time polio vaccine received
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)", received dpt vaccine
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)", no. of time dpt vaccine received
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)", received measles vaccine
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)", received hp-b vaccine
"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)", place of immunization
3.8.2.3: ART Coverage (%),Number of health facilities that provide ART services
3.8.2.3: ART Coverage (%),Number of people with HIV who initiated antiretroviral therapy and are known to have been on it continuously for at least 12 months
3.8.2.3: ART Coverage (%),Number of people with HIV who initiated antiretroviral therapy and are known to have been on it continuously for at least 24 month
3.8.2.3: ART Coverage (%),Number of people with HIV who initiated antiretroviral therapy and are known to have been on it continuously for at least 36 months
3.8.2.3: ART Coverage (%),Number of people living with advanced HIV infection who received antiretroviral therapy in accordance with the nationally approved treatment protocol
"3.9.1: Mortality attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe water, sanitation and hygiene for all WASH Services (%)","Number of deaths, by disease"
"3.9.1: Mortality attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe water, sanitation and hygiene for all WASH Services (%)",No. of Deaths
3.a.1: Age-standardized prevalence of current tobacco use among persons aged 15 years and older,[Daily Smoking Status]
3.a.1: Age-standardized prevalence of current tobacco use among persons aged 15 years and older,[Mean Duration of Smoking Among Current Daily Smokers]
3.a.1: Age-standardized prevalence of current tobacco use among persons aged 15 years and older,[Mean amount of Tobacco Used by Daily Smokers]
3.a.1: Age-standardized prevalence of current tobacco use among persons aged 15 years and older,[Current smokers and types of Tobacco used]
3.a.1: Age-standardized prevalence of current tobacco use among persons aged 15 years and older,[Former Daily Smokers among all respondents]
3.a.1: Age-standardized prevalence of current tobacco use among persons aged 15 years and older,[Current Smokers who have attempted to stop or been advised by doctor to stop Smoking]
3.a.1: Age-standardized prevalence of current tobacco use among persons aged 15 years and older,[Smokeless Tobacco Used]
3.a.1: Age-standardized prevalence of current tobacco use among persons aged 15 years and older,[Former Daily Smokeless Tobacco Users]
3.a.1: Age-standardized prevalence of current tobacco use among persons aged 15 years and older,[Mean Times of Smokeless Tobacco use by Type]
3.a.1: Age-standardized prevalence of current tobacco use among persons aged 15 years and older,[Current users of smokeless tobacco and product used]
3.a.1: Age-standardized prevalence of current tobacco use among persons aged 15 years and older,Smokes cigarettes
3.a.1: Age-standardized prevalence of current tobacco use among persons aged 15 years and older,Smokes pipe
3.a.1: Age-standardized prevalence of current tobacco use among persons aged 15 years and older,Uses chewing tobacco
3.a.1: Age-standardized prevalence of current tobacco use among persons aged 15 years and older,Uses snuff
3.a.1: Age-standardized prevalence of current tobacco use among persons aged 15 years and older,Smokes bidi
3.a.1: Age-standardized prevalence of current tobacco use among persons aged 15 years and older,Smokes other
3.a.1: Age-standardized prevalence of current tobacco use among persons aged 15 years and older,Does not use tobacco
3.a.1: Age-standardized prevalence of current tobacco use among persons aged 15 years and older,Number of cigarettes in last 24 hours
3.b.1: Percentage of ODA out of health sector budget,Actual Commitments by Sectors
3.b.1: Percentage of ODA out of health sector budget,Actual Disbursements by Sectors
3.b.1: Percentage of ODA out of health sector budget,Actual Expenditures by Sectors
3.b.2: Percent of ODA spent in health system research and development - - - - -,Actual Commitments by Sectors
3.b.2: Percent of ODA spent in health system research and development - - - - -,Actual Disbursements by Sectors
3.b.2: Percent of ODA spent in health system research and development - - - - -,Actual Expenditures by Sectors
3.c.1: Health worker population ratio (per 1000 population),Number of doctors
3.c.1: Health worker population ratio (per 1000 population),Number of nurses
3.c.1: Health worker population ratio (per 1000 population),Number of paramedics
3.c.1: Health worker population ratio (per 1000 population),Number of Female Community Health Volunteers (FCHVs)
3.c.2: Expenditure on health as a proportion of total budget expenditure,Budget
3.d.2: Percentage of health facilities reporting on disease outbreak within 24 hours,Number of health facilities (public and private) reporting to HMIS
4.1.1: Net enrolment rate in primary education (%),[Net Enrolment Rate at Primary Education]
4.1.2: Primary completion rate (%),[Completion Rate at Primary Level]
4.1.3: Proportion of pupils enrolled in grade one who reach grade eight (%),[Net Enrolment Rate at Grade 9-10]
4.1.4: Ratio of girls (to boys) enrolled in grade one who reach grade eight,[Net Enrolment Rate at Grade 9-10]
4.1.5: Ratio of girls (to boys) enrolled in grade one who reach grade twelve,[Net Enrolment Rate at Grade 9-10]
4.1.6: Ratio of students to teacher in basic education (up to 8 level),[Pupil Teacher Ratio]
4.1.7: Ratio of students to teacher in secondary education (up to 12 level),[Pupil Teacher Ratio]
4.1.8: Proportion of trained teachers in primary and secondary education (% of total teachers),[Number of Teachers with Required Qualification and Training]
4.1.8: Proportion of trained teachers in primary and secondary education (% of total teachers),[Number of Teachers with Required Certification]
"4.1.9: Learning Achievement / Score (Math, Nepali and English) for Class",[Average Score of Students in Core Subjects]
4.1.10: Gross Enrollment secondary education (grade 9 to 12),[Gross Enrolment Rate at Grade 9-10]
4.1.10: Gross Enrollment secondary education (grade 9 to 12),[Gross Enrolment Rate at Grade 11-12]
4.2.3: Attendance to early childhood education (Gross Enrollment) (%),[Net Enrolment Rate at ECED/Pre-Primary Level]
4.3.1: Ratio of girls enrollment in technical and vocational education,[Enrolment in programs]
4.3.2: Ratio of girls enrollment in tertiary education (graduate level),[Enrolment by level]
"4.4.1: Youth and adults having technical and vocation skills (number in ‘000, annual)",[Enrolment in programs]
4.4.2: Working age population with technical and vocational training (%),[Enrolment in programs]
4.4.3: Internet users (percent of adult population),Dialup Subscription by Service Operators
4.4.3: Internet users (percent of adult population),Wireless Internet Subscription by Service Operators
4.4.3: Internet users (percent of adult population),Cable modem/optical fibre subscription by Service Operators
4.4.3: Internet users (percent of adult population),ADSL internet subscription by Service Operators
4.4.3: Internet users (percent of adult population),"GPRS, EDGE, WCDMA subscription by Service Operators"
4.4.3: Internet users (percent of adult population),"CDMA 1X, EVDO subscription by Service Operators"
4.4.3: Internet users (percent of adult population),WiMAX subscription by Service Operators
4.4.3: Internet users (percent of adult population),VSAT based Internet subscription by Service Operators
4.5.1: Gender parity index (GPI) (primary school),[Gross Intake Rate]
4.5.1: Gender parity index (GPI) (primary school),[Gross Enrolment Rate at Primary Education]
4.5.2: Gender Parity Index (GPI) (secondary school),[Gross Intake Rate]
4.5.2: Gender Parity Index (GPI) (secondary school),[Gross Enrolment Rate at Grade 9-10]
4.5.2: Gender Parity Index (GPI) (secondary school),[Gross Enrolment Rate at Grade 11-12]
4.5.3: Gender Parity Index (GPI) based on literacy (above 15 years),Level of education
4.6.1: Literacy rate of 15-24 years old (%),Level of education
4.6.2: Literacy rate of 15-24 years old (women) (%),Level of education
4.6.3: Numeracy all (who can read and write numeric terms) of 15 years and older (%),Level of education
4.6.4: Numeracy of female (who can read and write numeric terms) of 15 years and older (%),Level of education
"4.c.1: Proportion of teachers in primary education who have received at least the minimum organized teacher training, (%)",[Number of Teachers with Required Qualification and Training]
"4.c.2: Proportion of teachers in basic education who have received at least the minimum organized teacher training, (%)",[Number of Teachers with Required Certification]
5.1.1: Wage Equality for Similar Work, cash received (rs.)
5.1.1: Wage Equality for Similar Work, value of in-kind - rs/whole period
5.1.1: Wage Equality for Similar Work, received as salary/month
5.1.1: Wage Equality for Similar Work, received as transport/month
5.1.1: Wage Equality for Similar Work, received as bonus/year
5.1.1: Wage Equality for Similar Work, received as uniform/year
5.1.1: Wage Equality for Similar Work, received as payments/year
5.1.2: Gender Inequality Index,Number of maternal deaths in the community and facilities
5.1.2: Gender Inequality Index,Number of maternal deaths in facilities
5.1.2: Gender Inequality Index,Number of maternal deaths due to direct obstetric complications in health facilities
5.1.2: Gender Inequality Index,Total children ever-born and non-live births
5.1.2: Gender Inequality Index,Age of respondent at 1st birth
5.1.2: Gender Inequality Index,Level of education
5.1.2: Gender Inequality Index, highest level completed
5.1.2: Gender Inequality Index,Members elected in constitutional bodies
5.1.2: Gender Inequality Index,Hours Worked During Last 7 Days in Agriculture
5.1.2: Gender Inequality Index,Hours Worked During Last 7 Days in Non-Agriculture
5.1.2: Gender Inequality Index,Hours Worked During Last 7 Days in Own Business
5.1.2: Gender Inequality Index,Hours Worked During Last 7 Days in Own Agriculture
5.1.2: Gender Inequality Index,Hours Worked During Last 7 Days in Food Processing
5.1.2: Gender Inequality Index,Hours Worked During Last 7 Days in Handicrafts
5.1.2: Gender Inequality Index,Hours Worked During Last 7 Days in Construction & Repairs
5.1.2: Gender Inequality Index,Hours Worked During Last 7 Days in Fetching Water
5.1.2: Gender Inequality Index,Hours Worked During Last 7 Days in Firewood Collection
5.1.2: Gender Inequality Index,Hours Worked During Last 7 Days in Other Activities
5.1.2: Gender Inequality Index,Hours Worked During Last 7 Days (For Economic Activity)
5.1.2: Gender Inequality Index,Hours Worked During Last 7 Days in Cooking/Serving Food for Household
5.1.2: Gender Inequality Index,Hours Worked During Last 7 Days in Cleaning Utensils/House
5.1.2: Gender Inequality Index,Hours Worked During Last 7 Days in Minor Household Repairs
5.1.2: Gender Inequality Index,Hours Worked During Last 7 Days in Shopping for Household
5.1.2: Gender Inequality Index,Hours Worked During Last 7 Days in Caring for the Old/Sick/Infirm
5.1.2: Gender Inequality Index,Hours Worked During Last 7 Days in Child Care
5.1.2: Gender Inequality Index,Hours Worked During Last 7 Days in Other Volunteer/Community Services
5.1.2: Gender Inequality Index,Hours Worked During Last 7 Days for House/Community
5.1.2: Gender Inequality Index,Length of Time has been Available for Work
5.1.3: Gender Empowerment Measurement (Index),Members elected in constitutional bodies
5.1.3: Gender Empowerment Measurement (Index),[Enrolment in programs]
5.1.3: Gender Empowerment Measurement (Index),[Enrolment by level]
5.1.3: Gender Empowerment Measurement (Index), cash received (rs.)
5.1.3: Gender Empowerment Measurement (Index), value of in-kind - rs/whole period
5.1.3: Gender Empowerment Measurement (Index), received as salary/month
5.1.3: Gender Empowerment Measurement (Index), received as transport/month
5.1.3: Gender Empowerment Measurement (Index), received as bonus/year
5.1.3: Gender Empowerment Measurement (Index), received as uniform/year
5.1.3: Gender Empowerment Measurement (Index), received as payments/year
5.1.3: Gender Empowerment Measurement (Index), yearly income
5.1.3: Gender Empowerment Measurement (Index), total income from livestock
5.1.3: Gender Empowerment Measurement (Index), amount received from selling equipments (rs.)
5.1.3: Gender Empowerment Measurement (Index), net revenues from entreprises
5.1.3: Gender Empowerment Measurement (Index), amount of interest
5.1.3: Gender Empowerment Measurement (Index), rent received in 12 months (rs.)
5.1.3: Gender Empowerment Measurement (Index), value of sold assets (rs)
5.1.3: Gender Empowerment Measurement (Index), value a year ago (rs.)
5.1.3: Gender Empowerment Measurement (Index), cash received in remittance (rs.)
5.1.3: Gender Empowerment Measurement (Index), in-kind received in remittance (rs.)
5.2.1: Sex ratio at birth (female to male),No. of Births
5.2.3: Women aged 15-49 years who experience Physical / sexual violence,Ever been humiliated by husband/partner
5.2.3: Women aged 15-49 years who experience Physical / sexual violence,Ever been threatened with harm by husband/partner
5.2.3: Women aged 15-49 years who experience Physical / sexual violence,Ever been insulted or made to feel bad by husband/partner
5.2.3: Women aged 15-49 years who experience Physical / sexual violence,Experienced any emotional violence (D103x series)***
5.2.3: Women aged 15-49 years who experience Physical / sexual violence,"Ever been pushed, shook or had something thrown by husband/partner"
5.2.3: Women aged 15-49 years who experience Physical / sexual violence,Ever been slapped by husband/partner
5.2.3: Women aged 15-49 years who experience Physical / sexual violence,Ever been punched with fist or hit by something harmful by husband/partner
5.2.3: Women aged 15-49 years who experience Physical / sexual violence,Ever been kicked or dragged by husband/partner
5.2.3: Women aged 15-49 years who experience Physical / sexual violence,Ever been strangled or burnt by husband/partner
5.2.3: Women aged 15-49 years who experience Physical / sexual violence,Ever been threatened with knife/gun or other weapon by husband/partner
5.2.3: Women aged 15-49 years who experience Physical / sexual violence,Ever been physically forced into unwanted sex by husband/partner
5.2.3: Women aged 15-49 years who experience Physical / sexual violence,Ever been forced into other unwanted sexual acts by husband/partner
5.2.3: Women aged 15-49 years who experience Physical / sexual violence,Ever had arm twisted or hair pulled by husband/partner
5.2.3: Women aged 15-49 years who experience Physical / sexual violence,"Experienced any less severe violence (D105A, D105B, D105C, D105J) by husband/par"
5.2.3: Women aged 15-49 years who experience Physical / sexual violence,Experienced any severe violence (D105D-F) by husband/partner
5.2.3: Women aged 15-49 years who experience Physical / sexual violence,Experienced any sexual violence (D105H-I) by husband/partner
5.2.3: Women aged 15-49 years who experience Physical / sexual violence,[Domestic Violence]
5.2.4: Girls Trafficking (in number),[Human Trafficking]
5.3.1: Women aged 15-19 years who are married or in union (%),Marital Status
5.3.2: Lifetime Physical and/or Sexual violence (%),Ever been humiliated by husband/partner
5.3.2: Lifetime Physical and/or Sexual violence (%),Ever been threatened with harm by husband/partner
5.3.2: Lifetime Physical and/or Sexual violence (%),Ever been insulted or made to feel bad by husband/partner
5.3.2: Lifetime Physical and/or Sexual violence (%),Experienced any emotional violence (D103x series)***
5.3.2: Lifetime Physical and/or Sexual violence (%),"Ever been pushed, shook or had something thrown by husband/partner"
5.3.2: Lifetime Physical and/or Sexual violence (%),Ever been slapped by husband/partner
5.3.2: Lifetime Physical and/or Sexual violence (%),Ever been punched with fist or hit by something harmful by husband/partner
5.3.2: Lifetime Physical and/or Sexual violence (%),Ever been kicked or dragged by husband/partner
5.3.2: Lifetime Physical and/or Sexual violence (%),Ever been strangled or burnt by husband/partner
5.3.2: Lifetime Physical and/or Sexual violence (%),Ever been threatened with knife/gun or other weapon by husband/partner
5.3.2: Lifetime Physical and/or Sexual violence (%),Ever been physically forced into unwanted sex by husband/partner
5.3.2: Lifetime Physical and/or Sexual violence (%),Ever been forced into other unwanted sexual acts by husband/partner
5.3.2: Lifetime Physical and/or Sexual violence (%),Ever had arm twisted or hair pulled by husband/partner
5.3.2: Lifetime Physical and/or Sexual violence (%),"Experienced any less severe violence (D105A, D105B, D105C, D105J) by husband/par"
5.3.2: Lifetime Physical and/or Sexual violence (%),Experienced any severe violence (D105D-F) by husband/partner
5.3.2: Lifetime Physical and/or Sexual violence (%),Experienced any sexual violence (D105H-I) by husband/partner
5.3.3: Discrimination for Chhaupadi and mensturation (%),When did you last menstrual period start?
5.3.3: Discrimination for Chhaupadi and mensturation (%),Have to live in different house during menstrual period
5.3.3: Discrimination for Chhaupadi and mensturation (%),Have to live in different room of same house during menstrual period
