Recipient Organization,deliverychannel,,
Mexico,Public sector,,
Mexico Red Cross,Red Cross,,
MfAS,Other,,
MIC EU Civil Protection,Public sector,,
Micronesia Red Cross,Red Cross,,
"Micronesia,  Federated States of",Public sector,,
Microsoft,Other,,
Midwest Canvas Corporation,Other,,
Migros,Other,,
Mildmay,NGOs and CSOs,,
Milinda Moragoda institute for people's empowerment,NGOs and CSOs,,
Millenium Project Hunger Task Force,Multilateral,,
Millennium Relief and Development,NGOs and CSOs,,
Miloserdie (Mercy)  ,NGOs and CSOs,,
Mine Action Canada,NGOs and CSOs,,
Mine Action Group,Other,,
Mine Action Programme for Afghanistan,Other,,
Mine Clearance and Planning Agency,NGOs and CSOs,,
Mine Detection Centre,NGOs and CSOs,,
Mines Advisory Group,NGOs and CSOs,,
Mingalar Myanmar,NGOs and CSOs,,
Ministry for Transportation and Infrastructure,Public sector,,
Ministry of Agriculture and Irrigation,Public sector,,
"Ministry of Agriculture, Irrigation and Livestock Afghanistan",Public sector,,
Ministry of Defense of Germany,Public sector,,
Ministry of Environment and University of Zurich,Other,,
Ministry of Foreign Affairs,Other,,
Ministry of Rural Rehabilitation and Development Afghanistan,Public sector,,
Minneapolis Foundation,NGOs and CSOs,,
Minority Rights Group InterNational,NGOs and CSOs,,
MINUSTAH,Multilateral,,
MIR - MUXO Impact Relief,Other,,
MIRC Corporate,Other,,
Misereor,Other,,
Misericordia InterNational Center Day Care,Other,,
Mision para Cristo,Other,,
MISOLA,NGOs and CSOs,,
"Mission 21, Basle",Other,,
Mission am Nill,NGOs and CSOs,,
Mission Armenia,Other,,
Mission Austria - Päpstliche Missionswerke in österreich,Other,,
Mission Aviation Fellowship,NGOs and CSOs,,
Mission East,NGOs and CSOs,,
Mission Enfance,NGOs and CSOs,,
Mission Ost - DNK,NGOs and CSOs,,
Missionnaires du Divin Maître,Other,,
Missionnaires du Divin Maître/Shabunda,Other,,
Missionsärztliches Institut Würzburg,NGOs and CSOs,,
Missionszentrale der Franziskaner e.V.,Other,,
Mitsubishi Electric,Other,,
"Mitsui USA, Inc.",Other,,
MoAAH/FAO,Other,,
Mobilink Foundation,NGOs and CSOs,,
Mohamed Bin Rashid Al Maktoum Humanitarian and Charity Establishment,NGOs and CSOs,,
Moldova,Public sector,,
Molson Coors Brewing Company,Other,,
"Molycorp, Inc.",Other,,
Monaco,Public sector,,
Monaco Aide et Presence,Other,,
Monaco Red Cross,Red Cross,,
MoneyGram InterNational,Other,,
Mongolia,Public sector,,
Mongolia Red Cross,Red Cross,,
Mongolian Red Cross,Red Cross,,
Monitoring Evaluation And Training Agency,NGOs and CSOs,,
Monsanto Co.,Other,,
Montenegro,Public sector,,
Monterey Institute of InterNational Studies,NGOs and CSOs,,
MONUC,Multilateral,,
Moody's,Other,,
Moravian Church,Other,,
Morgan Stanley,Other,,
Morija,Other,,
Moroccan Red Crescent,Red Cross,,
Morocco,Public sector,,
Morocco Red Crescent,Red Cross,,
Mosaic Company,Other,,
Mother and Children Development Aid,Other,,
Mothers of Chechnya,Other,,
Motorola Foundation,NGOs and CSOs,,
Movement Centre of Jeju Citizen to Cooperation between South and North,NGOs and CSOs,,
"Movimiento por la Paz, el Desarme y la Libertad",NGOs and CSOs,,
"Movimiento Por La Paz, El Desarme Y La Libertad, (E)",NGOs and CSOs,,
MOVIMONDO,NGOs and CSOs,,
Movitel,Other,,
Mozambique,Public sector,,
Mozambique Red Cross,Red Cross,,
Mozambique Red Cross Society,Red Cross,,
"MPDL - Movimiento por la Paz, el Desarme y la Libertad",NGOs and CSOs,,
MPDL - PRTM,NGOs and CSOs,,
MRCA - Medical Refresher Course for Afghan,NGOs and CSOs,,
MRCA / AMI,Other,,
MRRD/UNICEF,Other,,
MRRD/UNOPS,Other,,
MS Denmark,Public sector,,
MSD-DK,Other,,
MSI,Other,,
MSZ,Other,,
Mubadiroon Organisation,Other,,
Mubarak for Relief and Development Organization,NGOs and CSOs,,
Muhammadiyah,Other,,
Mulrany InterNational,Other,,
Multi-Donor Fund Facility for Disaster Recovery-Indonesia,Multilateral,,
Multi-Donor Trust Fund ,Multilateral,,
Multi-Donor Trust Fund for the Sudan,Multilateral,,
Multi-Donor Trust Fund for the Sudan ,Multilateral,,
Multi-Donor Trust Fund for the Sudan South,Multilateral,,
Multilateral Agencies,Other,,
MultiNational Interim Force,Multilateral,,
Multiple Partners,Other,,
Museke Foundation,NGOs and CSOs,,
Muslim Aid,NGOs and CSOs,,
Muslim Aid and GlobalMedic,NGOs and CSOs,,
Mvuramanzi Trust,NGOs and CSOs,,
Mwelekeo Trust,NGOs and CSOs,,
Myanmar,Public sector,,
Myanmar Business Coalition on AIDS,NGOs and CSOs,,
Myanmar NGO Contingency Plan Steering Committee,NGOs and CSOs,,
Myanmar Red Cross,Red Cross,,
Myanmar Red Cross Society,Red Cross,,
"NABA""A",Other,,
NAC,Other,,
Nachbar in Not,Other,,
NACSA - National Commission for Social Action - Sierra Leone  ,Public sector,,
NaCSA/World Bank,Multilateral,,
Nærings- og Handelsdepartementet,Other,,
Næringslivets Hovedorganisasjon,Other,,
Nahda Makers Organization,NGOs and CSOs,,
Nahdlatul Ulamu,Other,,
Najat Charitable Society,NGOs and CSOs,,
Namibia,Public sector,,
Namibia CARES Movement,NGOs and CSOs,,
Namibia Red Cross,Red Cross,,
Namibian Red Cross,Red Cross,,
Nasjonalt Folkehelseinstitutt,NGOs and CSOs,,
Nathan Associates,Other,,
Nathan Cummings Foundation,NGOs and CSOs,,
National Agency for the Prohibition of Traffic in Persons - Nigeria,Public sector,,
National Agricultural Cooperative Federation,NGOs and CSOs,,
National Anti War Front,Other,,
National Bank of Canada,Other,,
National Basketball Association,Other,,
National Center for the Prevention of HIV/AIDS,Other,,
National Coalition of NGOs for Inter-Korea Agricultural Development and Cooperation,NGOs and CSOs,,
"National COMMISSION FOR DEMINING AND REHABILITATION, JORDAN",Public sector,,
National Commission for Human Development,Other,,
National Commission for Lebanese Women,Public sector,,
National Committee for Demining and Rehabilitation,Other,,
National Committee for Disaster Management,Other,,
National Council of Churches in Australia,Other,,
National Council of Churches of Kenya,Other,,
National Council of Saemaul Undong Movement,NGOs and CSOs,,
National Democratic Institute,NGOs and CSOs,,
National Democratic Institute for InterNational Affairs/InterNational Republican Institute,Other,,
National Development Organization,Other,,
National Disaster Response Coordinating Council,Public sector,,
National Emergency Commission of Costa Rica,Public sector,,
"National Fishery Society, Peru",Other,,
National Football League,Other,,
National Foundation for Development and Human Rights,NGOs and CSOs,,
National Grid,Other,,
National Institution of Social Care & Vocational Training,NGOs and CSOs,,
National Integrated & DevelopmeDewant Association (NIDA-Pakistan),NGOs and CSOs,,
National Integrated Development Agency,NGOs and CSOs,,
National Office for Electoral Process,Public sector,,
National Peace Corps Association,NGOs and CSOs,,
National Primary Health Care Development Agency,Public sector,,
National Radio Appeal,Other,,
National Relief Committee,Other,,
National Rural Support Programme,Other,,
National Society for Earthquake Technology,NGOs and CSOs,,
National Society for Rehabilitation,Other,,
National Space Agency of Ukraine,Public sector,,
Nationwide Insurance Foundation,NGOs and CSOs,,
NATO / PfP,Multilateral,,
Natur Environments & Wildlife Society and Calcutta Foundation,Other,,
Natures Way,Other,,
Naval Medical Research Unit,NGOs and CSOs,,
Nawayee Rehabilitation and Development Organization for Afghan Women,Other,,
Near East Foundation,NGOs and CSOs,,
NEC Corporation,Other,,
Nehemia Christenhilfsdienst e.V.,NGOs and CSOs,,
Neighborhood Disaster Volunteers,Other,,
Neighbors Initiative Alliance,NGOs and CSOs,,
NEM Insurance Company,Other,,
NEMA - National Emergency Management Agency,Public sector,,
Nepal,Public sector,,
Nepal Red Cross Society,Red Cross,,
NEPCom,Other,,
Nestle,Other,,
Nestle USA,Other,,
Netherlands,Public sector,,
Netherlands Embassy in Namibia,Public sector,,
Netherlands Red Cross,Red Cross,,
Netherlands Refugee Foundation,NGOs and CSOs,,
"NetSol Technologies, Inc",Other,,
Network on Humanitarian Assistance,NGOs and CSOs,,
NETZ,Other,,
New Consultancy and Relief Organization,Other,,
New Iraqi Woman Organization,NGOs and CSOs,,
New Ireland PDC,Multilateral,,
New South Wales Relief Fund,Public sector,,
New York Life Insurance Company,Other,,
New York Yankees,Other,,
New Zealand,Public sector,,
New Zealand Red Cross,Red Cross,,
Newman Foundation,NGOs and CSOs,,
News Corp.,Other,,
Next Step AS,Other,,
Next Step Productions,NGOs and CSOs,,
Nextel Peru,Other,,
Ngazi Moja Foundation,NGOs and CSOs,,
NGO Consortium,NGOs and CSOs,,
NGO Coordination Committee in Iraq,NGOs and CSOs,,
NGO FORUM,NGOs and CSOs,,
NGO Fridsro,NGOs and CSOs,,
NGO Mondo,NGOs and CSOs,,
NGO Ninez y Vida,NGOs and CSOs,,
NGO Safety Program,NGOs and CSOs,,
NGO Security Programme,NGOs and CSOs,,
NGOs (details not yet provided),NGOs and CSOs,,
NGOs; Red Cross (details not yet provided) ,Other,,
NGOs; Red Cross/Red Crescent (details not yet provided),Other,,
Nicaragua,Public sector,,
Nicaragua Red Cross,Red Cross,,
Nicaraguan Forestry Institute,Public sector,,
Nicaraguan Red Cross,Red Cross,,
Niger,Public sector,,
Niger Red Cross,Red Cross,,
Nigeria,Public sector,,
Nigeria Red Cross,Red Cross,,
Nigerian Red Cross Society,Red Cross,,
NIISO,Other,,
Nike,Other,,
Nikon,Other,,
Nile Hope,NGOs and CSOs,,
Nile Hope Development Forum,Other,,
Nile Mission,Other,,
Nile People's Peace Conference,NGOs and CSOs,,
Niños de la Tierra,Other,,
Ninôs del Cusco,Public sector,,
Nintendo,Other,,
Nippon Foundation,NGOs and CSOs,,
Nippon InterNational Cooperation for Community Development,NGOs and CSOs,,
NIRAS,Other,,
NiSource Charitable Foundation,NGOs and CSOs,,
Nissan Corporation,Other,,
NMIAD,Other,,
No channel specified,Other,,
Nobels Fredssenter,NGOs and CSOs,,
Nokia,Other,,
Nomadic Assistance for Peace and Development,Other,,
Nomads Development and Environmental Conservation,Other,,
NOMECO,Other,,
Nomura Group,Other,,
Non Violent Peace Force ,NGOs and CSOs,,
Non Violent Peace Force Sri Lanka ,Other,,
Non-Aligned Movement Institute for the Empowerment of Women,NGOs and CSOs,,
Nonviolence InterNational,NGOs and CSOs,,
Nonviolent Peaceforce,NGOs and CSOs,,
Noor Al Hussein Foundation,NGOs and CSOs,,
NOOR Dubai,Other,,
Nordic Demining Research Forum,NGOs and CSOs,,
Nordic Institute of Asian Studies,NGOs and CSOs,,
Nordic InterNational Rescue Foundation,NGOs and CSOs,,
Norfund,Public sector,,
Norges Fredslag,Other,,
Norges Geotekniske Institutt,NGOs and CSOs,,
Norges Juristforbund,Other,,
Normeca AS,Other,,
Norsk forbund f. utv.hemmede,Other,,
Norsk Fredssenter,NGOs and CSOs,,
Norsk Luthersk Misjonssamband,NGOs and CSOs,,
Norsk PEN,Other,,
Norsk Ressursbank for demokrati og menneskerettigheter,NGOs and CSOs,,
Norsk senter for menneskerettigheter,NGOs and CSOs,,
Norsk tamilsk helse organisasjon,Other,,
Norsk Vietnamesisk Senter,Other,,
Norske Menneskerettighetsfond,NGOs and CSOs,,
Norske PEN,Other,,
Norske Pinsemenigheters Ytremisjon,NGOs and CSOs,,
Norske Redningshunder,NGOs and CSOs,,
North Atlantic Treaty Organization,Multilateral,,
Northeast Asia Forest Forum,NGOs and CSOs,,
Northern Aid,NGOs and CSOs,,
Northern Trust Corporation,Other,,
Northfield Bank Foundation,NGOs and CSOs,,
Northland Foundation,NGOs and CSOs,,
Northrop Grumman Corp,Other,,
North-South Institute,NGOs and CSOs,,
Northwest Medical Teams InterNational,NGOs and CSOs,,
Northwest Woolen Mills,Other,,
Northwestern Mutual Corp.,Other,,
NORWAC - Norwegian Aid Committee,NGOs and CSOs,,
Norway,Public sector,,
Norway Red Cross,Red Cross,,
Norway Royal Ministry of Foreign Affairs,Public sector,,
Norwegian Afghanistan Committee,NGOs and CSOs,,
Norwegian Aid Committee,NGOs and CSOs,,
Norwegian Church Aid,NGOs and CSOs,,
Norwegian Mission Association,NGOs and CSOs,,
Norwegian Pentecostal Movement,Other,,
Norwegian People's Aid,NGOs and CSOs,,
Norwegian Project Office-Rural Rehabilitation Association for Afghanistan,NGOs and CSOs,,
Norwegian Red Cross,Red Cross,,
Norwegian Refugee Council,NGOs and CSOs,,
Norwegian Search and Rescue,Public sector,,
Norwegian Tamils Health Organisation,Other,,
Not on our Watch,NGOs and CSOs,,
Novartis,Other,,
Novellus Systems,Other,,
NOVIB,NGOs and CSOs,,
Novo Nordisk,Other,,
NTNU,NGOs and CSOs,,
NU,Other,,
"Nuba Mountain Relief, Rehabilitation and Development Organization",NGOs and CSOs,,
Nuba Mountains International Association for Development,NGOs and CSOs,,
Nuer Peace Council,NGOs and CSOs,,
Nukepills,Other,,
NUPI - Norsk utenr.pol. inst. ,NGOs and CSOs,,
Nurani Dunia,NGOs and CSOs,,
NYSE Euronext,Other,,
OAP,Other,,
Objectif Tiers Monde,NGOs and CSOs,,
Observatorio San Calixo,Other,,
OCAPROCE,NGOs and CSOs,,
Occidental Petroleum,Other,,
OCHA / IRIN,Multilateral,,
OCHA / ISDR,Multilateral,,
OCHA / REACT,Multilateral,,
OCHA NGO Funds,NGOs and CSOs,,
OCHA/UNDP,Multilateral,,
OCHA/UNDP/ ISDR,Multilateral,,
OCHA/UNEP,Multilateral,,
Ockenden InterNational,NGOs and CSOs,,
Oeuvre d'Orient,NGOs and CSOs,,
Oeuvres hospitalières françaises de l'Ordre de Malte,NGOs and CSOs,,
Office Depot,Other,,
Office for Drug Control and Crime Prevention,Other,,
Office for Intellectual Freedom ,Other,,
Office for the Coordination of Humanitarian Affairs,Multilateral,,
Office of Preparedness for Disasters and Emergencies,Public sector,,
Office of the High Commissioner for Human Rights,Multilateral,,
Office of the Humanitarian Coordinator,Multilateral,,
Office of the Representative of Denmark to Afghanistan,Public sector,,
Office of the Representative of the Dalai Lama,Public sector,,
Office of the Resident and Humanitarian Coordinator,Multilateral,,
Office of the United Nations Special Coordinator for the Middle East Peace Process,Multilateral,,
Official Development Assistance,Other,,
Oficina Panamericana de la Salud ,Multilateral,,
Òganizasyon Fanm tou Nèf Balan,Other,,
OIC Aid Committee for the Child Victims of Tsunami,Other,,
OIKOS - Intercooperação e Desenvolvimento ,NGOs and CSOs,,
Oil for Food Programme,Multilateral,,
OIP - Office of the Iraq Programme,Multilateral,,
OJAZ Foundation,NGOs and CSOs,,
Okedongmu Children in Korea,NGOs and CSOs,,
Oklahoma City Community Foundation,NGOs and CSOs,,
öKO HIMAL,Other,,
Olympic Aid,NGOs and CSOs,,
Oman,Public sector,,
Oman Charitable Organisation,Other,,
Omega Plus,Other,,
Omidyar Fund,Other,,
One Buddhism,NGOs and CSOs,,
One Korea Buddhist Movement,NGOs and CSOs,,
One Shekel Campaign in WB,NGOs and CSOs,,
"One UN Fund, EFW",Multilateral,,
OneBeacon Charitable Trust,Other,,
ONG Actions,Other,,
ONGD - FNEL,NGOs and CSOs,,
"Onnuri Church, Rep. of Korea",NGOs and CSOs,,
ONUA - HRD,Multilateral,,
öö Volkshilfe,NGOs and CSOs,,
OPEC Fund for InterNational Development,Multilateral,,
Open Continent,Other,,
Open Doors,Other,,
Open Society Foundation,NGOs and CSOs,,
Open Society Institute,NGOs and CSOs,,
Open Society Institute Assistance Foundation,NGOs and CSOs,,
Operation Blessing InterNational,NGOs and CSOs,,
Operation Helping Hand of Tampa,Other,,
"Operation Helping Hands, American Samoa",NGOs and CSOs,,
Operation Lifeline Sudan,Other,,
Operation Mercy,NGOs and CSOs,,
Operation Save Innocent Lives,NGOs and CSOs,,
Operation USA,NGOs and CSOs,,
Opération villages roumains,Other,,
Operations Team,Other,,
Opportunities Industrialisation Centres InterNational,NGOs and CSOs,,
ORA e. V. Deutsher Hilfsfonds,NGOs and CSOs,,
ORA InterNational Lobito,NGOs and CSOs,,
Order of Malta,Public sector,,
Oregon Community Foundation,NGOs and CSOs,,
Organisation de la conférence islamique ,Other,,
Organisation for Economic Co-operation and Development,Multilateral,,
Organisation for Mine Awareness and Reconstruction,Other,,
Organisation for Mine Clearance and Afghan Rehabilitation / Mine Detection Dog Centre,NGOs and CSOs,,
Organisation InterNationale de la Francophonie,NGOs and CSOs,,
Organisation Marocaine Des Droits de l'homme,NGOs and CSOs,,
Organisation of Islamic Cooperation,Other,,
Organisation of Rural Associations for Progress,NGOs and CSOs,,
Organisation of the Islamic Conference,Multilateral,,
Organization Catholique Pour la Promotion Humaine,NGOs and CSOs,,
Organization for African Unity,Multilateral,,
Organization for Security & Cooperation in Europe,Multilateral,,
Organization for Social Development Initiatives,NGOs and CSOs,,
Organization of American States,Multilateral,,
Organization of Arab Red Crescent and Red Cross Society,Red Cross,,
Organization of Petroleum Exporting Countries Fund,Multilateral,,
Orphans and Divorced Rights Association,Other,,
Orthodox Church in America,Other,,
OshKosh Corp.,Other,,
Oslo Coalition on Freedom of Religion or Belief,Other,,
Oslosenteret for fred og menneskerettigheter,Other,,
österreichisches Nord-Süd-Institut,NGOs and CSOs,,
Other income,Other,,
Ottawa Convention Sponsorship Programme,Other,,
Ottawa Convention Sponsorship Programme ,Other,,
Overseas Development Institute,NGOs and CSOs,,
OXFAM,NGOs and CSOs,,
Oxfam America,NGOs and CSOs,,
OXFAM Australia,NGOs and CSOs,,
OXFAM Belgium,NGOs and CSOs,,
OXFAM Canada,NGOs and CSOs,,
OXFAM GB,NGOs and CSOs,,
OXFAM Hong Kong,NGOs and CSOs,,
Oxfam India,NGOs and CSOs,,
OXFAM InterNational,NGOs and CSOs,,
OXFAM Ireland,NGOs and CSOs,,
Oxfam Italia,NGOs and CSOs,,
OXFAM Netherlands (NOVIB),NGOs and CSOs,,
OXFAM Quebec,NGOs and CSOs,,
OXFAM Solidarite,NGOs and CSOs,,
OXFAM/Community Aid Abroad (OXFAM-Australia),NGOs and CSOs,,
Oxford Research Group,NGOs and CSOs,,
Oxford University,NGOs and CSOs,,
PA_05,Other,,
PACCAR Inc.,Other,,
Pacific Islands Forum,Multilateral,,
Packard Foundation,NGOs and CSOs,,
Pact Inc.,Other,,
PACT Myanmar,NGOs and CSOs,,
PACTEC,NGOs and CSOs,,
"PADCO, WWCIS, ASI",Other,,
PAICMA,Public sector,,
PAIMAN Alumni Trust,Other,,
Pain Pour Les Déshérités (PPLD),Other,,
Pak Rural Development Program,Other,,
Pakistan,Public sector,,
Pakistan Association  in Dubai,Other,,
Pakistan Humanitarian Forum (consortium),NGOs and CSOs,,
Pakistan Red Crescent,Red Cross,,
Pakistan Red Crescent Society,Red Cross,,
Pakistan Telecommunication Company LTD.,Other,,
Pakistan Village Development Program,NGOs and CSOs,,
Pakistansk Velferdsorganisasjon Norge,Other,,
Palau,Public sector,,
Palau Red Cross,Red Cross,,
Palau Red Cross Society,Red Cross,,
Palestinakomiteen i Norge,NGOs and CSOs,,
Palestine Red Crescent Society,Red Cross,,
Palestine Right to Return Coalition,NGOs and CSOs,,
Palestine Solidarity Organisation in Sweden,NGOs and CSOs,,
Palestinian Agricultural Relief Committees,NGOs and CSOs,,
Palestinian Al Nakheel Association for Progress and Development,NGOs and CSOs,,
Palestinian Association for Development and Reconstruction,NGOs and CSOs,,
Palestinian Authority,Public sector,,
Palestinian Center of Organic Agriculture,NGOs and CSOs,,
Palestinian Environmental Friends,NGOs and CSOs,,
Palestinian Farmers Union,Other,,
Palestinian Human Rights Monitoring Group,NGOs and CSOs,,
Palestinian Hydrological Group,NGOs and CSOs,,
Palestinian Medical Relief Society,NGOs and CSOs,,
Palestinian Peace Coalition,Other,,
Palestinian Peace Coalition ,Other,,
Palestinian Red Crescent Society,Red Cross,,
"Palestinian territory, occupied",Public sector,,
Pan American Development Foundation,NGOs and CSOs,,
Pan American Health and Education Foundation,NGOs and CSOs,,
Panalpina Airfreight Incorporated,Other,,
Panama,Public sector,,
Panamanian Red Cross,Red Cross,,
Pan-American Health Organization (World Health Organization),Multilateral,,
Panasonic,Other,,
Panhealth Care Organization,NGOs and CSOs,,
Panzi Hospital,Other,,
PAP,Other,,
Papua New Guinea,Public sector,,
Papua New Guinea Red Cross,Red Cross,,
Papua New Guinea Red Cross Society,Red Cross,,
"Paradigm of Consciousness Ministries, Inc. ",NGOs and CSOs,,
Paraguay,Public sector,,
Paraguay Red Cross,Red Cross,,
Paraguayan Red Cross,Red Cross,,
PARCIC,NGOs and CSOs,,
PARD,Other,,
Parliamentarians for Global Action,NGOs and CSOs,,
Parliamentary Forum,Other,,
Paroecia Latina S.Catharinae,Other,,
Parroquia Jesus Redentor,Other,,
Partage,NGOs and CSOs,,
Parthenon Trust,NGOs and CSOs,,
Participatory Educational Awareness and Community Empowerment,Other,,
Participatory Integrated Development Society,NGOs and CSOs,,
Participatory Rural Development Society,NGOs and CSOs,,
Partner Aid InterNational,NGOs and CSOs,,
Partner Aid International e.V.,NGOs and CSOs,,
PARTNERS,Other,,
Partners in Health,NGOs and CSOs,,
Partners in Rural Development,NGOs and CSOs,,
Partnership Africa Canada,NGOs and CSOs,,
Partnership Center for Development and Democracy,NGOs and CSOs,,
Partnership for Pastoralists Development Association,Other,,
Partnership for Peace,Multilateral,,
Pastoral Social,Other,,
Pastoralist Concern Association Ethiopia,NGOs and CSOs,,
Pastoralist Consultants InterNational,Other,,
Pastoralist Development Organization,Other,,
Pastoralist Integrated Support Programme,NGOs and CSOs,,
Pathfinder InterNational,NGOs and CSOs,,
Patient Friendly Society,Other,,
Patient's Help Fund,NGOs and CSOs,,
Pattan Development Organization,NGOs and CSOs,,
Patton Boggs LLP ,Other,,
Paul Hastings,Other,,
Pax Christi e.V,NGOs and CSOs,,
PCPM - Polish Center for InterNational Aid,NGOs and CSOs,,
PCPM - Polish Center for InterNational Aid ,NGOs and CSOs,,
Peace Action Society Organisation for Somalia,NGOs and CSOs,,
Peace and Conflict Institution,NGOs and CSOs,,
Peace and Development Organization,NGOs and CSOs,,
Peace Brigades InterNational,NGOs and CSOs,,
Peace Building Fund,Multilateral,,
Peace Corps,Public sector,,
Peace Corps Organization,Public sector,,
Peace Keeping Funds,Multilateral,,
Peace Winds,NGOs and CSOs,,
Peace Winds Japan,NGOs and CSOs,,
Peacekeeping Forces,Multilateral,,
PEGASE,Public sector,,
Pelayanan Advokasi untuk Keadilan dan Perdamaian Indonesia,Other,,
Pema Medical Charity,Other,,
PEN InterNational,Other,,
Pentair,Other,,
Pentecostal Churches of Uganda,Other,,
Pentecostal Foreign Mission,NGOs and CSOs,,
People in Aid,NGOs and CSOs,,
People in Need ,NGOs and CSOs,,
People in Peril,NGOs and CSOs,,
Peoples Democracy Platform,Other,,
Peoples Empowerment and Consulting Enterprise,NGOs and CSOs,,
Peoples' Organization for Development and Rehabilitation,NGOs and CSOs,,
PepsiCo Foundation,NGOs and CSOs,,
Père Jaar,Other,,
Periodic Review  - TCG ,Other,,
Perkumpulan Paluma Nusantara,Other,,
Perry Ellis InterNational,Other,,
Perspectives pour la Santé et le Développement,Other,,
Peru,Public sector,,
Peru Rail,Other,,
Peru Red Cross,Red Cross,,
Peruvian Private Enterprise Colchones Paraiso,Other,,
Peruvian Red Cross,Red Cross,,
Petits Frères et Soeurs,Other,,
Petroleos de Venezuela,Other,,
Pew Charitable Trusts ,Other,,
Pfizer,Other,,
Pharmaciens et Aide humanitaire,Other,,
Pharmaciens Sans Frontieres - Comite InterNational,NGOs and CSOs,,
Pharmaciens sans Frontières (France),NGOs and CSOs,,
Pharmaciens sans frontières (PSF),NGOs and CSOs,,
Philadelphia Insurance Companies,Other,,
Philani Maswati Organization,Other,,
Philippine Business for Social Progress,Other,,
Philippine Red Cross ,Red Cross,,
Philippines,Public sector,,
Philippines National Red Cross ,Red Cross,,
PHRO - Palestinian Human Rights Organisation ,NGOs and CSOs,,
Physicians Across Continents,NGOs and CSOs,,
Physicians for Human Rights,NGOs and CSOs,,
PIAL,Other,,
PIDAD,Other,,
Pietrantoni Mendez & Alvarez LLP,Other,,
PIPA,Other,,
Pirelli & C. Societa per Azioni,Other,,
Plan Benin,NGOs and CSOs,,
Plan Canada,NGOs and CSOs,,
Plan Haiti,NGOs and CSOs,,
Plan Indonesia ,NGOs and CSOs,,
Plan InterNational,NGOs and CSOs,,
Plan Ireland,NGOs and CSOs,,
Plan Mali,NGOs and CSOs,,
Plan Niger,NGOs and CSOs,,
Plan Norge,NGOs and CSOs,,
Plan Sudan,NGOs and CSOs,,
Plan Sweden,NGOs and CSOs,,
Plan Timor-Leste,NGOs and CSOs,,
Plan UK,NGOs and CSOs,,
Plan USA,NGOs and CSOs,,
PLANAT,Public sector,,
Planeta,NGOs and CSOs,,
Planete Urgence,NGOs and CSOs,,
"Planned Parenthood Federation, InterNational",Other,,
Planning and Development Collaborative InterNational,Other,,
"Plateforme d""insertion par l""humanitaire",Other,,
PLO DoRA,Other,,
PMU-Interlife,NGOs and CSOs,,
Point of Peace,NGOs and CSOs,,
PokerStars,Other,,
Poland,Public sector,,
Poland Red Cross,Red Cross,,
Polish Center for International Aid,NGOs and CSOs,,
Polish Humanitarian Action,NGOs and CSOs,,
Polish Humanitarian Organisation,NGOs and CSOs,,
Polish Red Cross,Red Cross,,
Politidirektoratet,Other,,
Pompiers sans frontières,NGOs and CSOs,,
"Population Leadership Program, the University of Washington",NGOs and CSOs,,
Population Services InterNational,NGOs and CSOs,,
Portugal,Public sector,,
Portugal Red Cross,Red Cross,,
Portuguese Institute for Cooperation,Public sector,,
Portuguese Red Cross,Red Cross,,
Posko Atambua,Other,,
PotashCorp,Other,,
Potsdam Kommunikation,NGOs and CSOs,,
Pour une Syrie libre,NGOs and CSOs,,
Practical Action ( formerly Intermediate Technology Development Group),NGOs and CSOs,,
Practical Action (formerly Intermediate Technology Development Group),NGOs and CSOs,,
PRADET,NGOs and CSOs,,
Praktisk Solidarites,NGOs and CSOs,,
PRB,Other,,
Prefecto of the Department of La Paz,Public sector,,
Prem Rawat Foundation,NGOs and CSOs,,
Premiere Urgence,NGOs and CSOs,,
Première Urgence - Aide Médicale InterNationale,NGOs and CSOs,,
PREPARED,Other,,
Presbyterian Church in Ireland,NGOs and CSOs,,
Presbyterian Church of Korea,Other,,
Presbyterian Disaster Assistance,Other,,
Press Emblem Campaign,Other,,
Press Trust / IDI,Other,,
PriceWaterhouseCoopers,Other,,
PRIMA SYNERGIE,Other,,
Primate's World Relief and Development Fund,NGOs and CSOs,,
Prime Minister's National Relief Fund/India,Public sector,,
Princess Cruises,Other,,
"Principal Financial Group Foundation, Inc",Other,,
"PRIO - InterNational Peace Research Institute, Oslo",NGOs and CSOs,,
Private (individuals & organisations),Other,,
Private Agencies Collaborating Together,NGOs and CSOs,,
Private Agencies Collaborating Together ,NGOs and CSOs,,
Private Voluntary Organizations,Other,,
"Pro Pac, Inc.",Other,,
Procter & Gamble Inc.,Other,,
Progedes-Nicaragua,Other,,
Programme Against Malnutrition,NGOs and CSOs,,
Programme de Promotion de Soins de Santé Primaires (PPSSP),Other,,
Programme d'Intégration et de Développement du Peuple pygmée au Kiwu ,Other,,
Programme for Emergency Education and Reconstruction ,Other,,
Progressio,NGOs and CSOs,,
Progressive Interventions,Other,,
Project Aparajita - VHAI,NGOs and CSOs,,
Project Concern InterNational,NGOs and CSOs,,
Project HOPE,NGOs and CSOs,,
PROMAN,Other,,
PROMARK,Other,,
Promoting Recovery in Zimbabwe,Public sector,,
Protos,NGOs and CSOs,,
Protracted Relief Programme Partners (Zimbabwe),NGOs and CSOs,,
Provea - Venezolano de Educación-Acción en Derechos Humanos,NGOs and CSOs,,
ProVention,Other,,
Proximity Designs (formerly International Development Enterprises),Other,,
"Prudential Financial, Inc.",Other,,
PSF-France/Clermont-Ferrand,Other,,
PSO,Other,,
