Donor,codename,New code,recipient,checks
Los Angeles County Search and Rescue,DAC governments,,DAC governments,TRUE
Louis Berger,private sector corporations,,private sector corporations,TRUE
Louis Vutton,private sector corporations,,private sector corporations,TRUE
Louisville Gas & Electric and Kentucky Utilities Co.,private sector corporations,,private sector corporations,TRUE
Louvain-Developpement,NGOs,,NGOs,TRUE
Lowe's Companies Inc.,private sector corporations,,private sector corporations,TRUE
LPDS - Dr. Soetomo Press Institute,academia/think/research,,academia/think/research,TRUE
LSN - Landmine Survivors Network ,NGOs,,NGOs,TRUE
LSQC,other,,other,TRUE
Lubrizol,private sector corporations,,private sector corporations,TRUE
Luchetti,private sector corporations,,private sector corporations,TRUE
Ludwig Boltzmann Institute of Human Rights,academia/think/research,,academia/think/research,TRUE
Lupin,private sector corporations,,private sector corporations,TRUE
Lutheran Development Service,NGOs,,NGOs,TRUE
Lutheran World Federation,NGOs,,NGOs,TRUE
Lutheran World Relief,NGOs,,NGOs,TRUE
Lutheran World Relief (LWR/Canada),NGOs,,NGOs,TRUE
Lutherischer Weltbund Deutsches Nationalkomitee,NGOs,,NGOs,TRUE
Luxembourg,DAC governments,,DAC governments,TRUE
Luxembourg Red Cross,red cross,,red cross,TRUE
M&T Bank,private sector corporations,,private sector corporations,TRUE
M. J. Murdock Charitable Trust,other,,other,TRUE
M.A.C. AIDS Fund,other,,other,TRUE
MAAG,DAC governments,,DAC governments,TRUE
MAAMS,other,,other,TRUE
Ma'an,private individual organisations,,private individual organisations,TRUE
MA'AN Development Center,academia/think/research,,academia/think/research,TRUE
Maarouf Saad Social and Cultural Foundation,foundations,NGOs,NGOs,FALSE
MAB Consulting,private sector corporations,,private sector corporations,TRUE
Macedonia Centre for InterNational Cooperation,NDD,NGOs,NGOs,FALSE
"Macedonia, Former Yugoslav Republic of ",NDD,,National government,FALSE
"Macedonia, FYR Red Cross",red cross,,red cross,TRUE
Madagascar,NDD,,National government,FALSE
Madagascar Red Cross,red cross,,red cross,TRUE
MADERA,NGOs,,NGOs,TRUE
Madrasati,NGOs,,NGOs,TRUE
Mag. Raheb,other,,other,TRUE
MAGE SOLAR,private sector corporations,,private sector corporations,TRUE
Magen David Adom,NGOs,,NGOs,TRUE
Magna Deti v nudzi [Magna Children at Risk],NGOs,,NGOs,TRUE
Mahvash and Jahangir Siddiqui Foundation,NGOs,,NGOs,TRUE
MAI,other,,other,TRUE
Maison Shalom Ruyigi,NGOs,,NGOs,TRUE
Majulah Indonesia Tanah Airku,other,,other,TRUE
Mala Sirena,other,,other,TRUE
Malagasy Red Cross,red cross,,red cross,TRUE
Malagasy Red Cross Society,red cross,,red cross,TRUE
Malaria Consortium,NGOs,,NGOs,TRUE
Malawi,NDD,,National government,FALSE
Malawi Economic Justice Network,other,,other,TRUE
Malawi Red Cross,red cross,,red cross,TRUE
Malawi Red Cross Society,red cross,,red cross,TRUE
Malaysia,NDD,,National government,FALSE
Malaysia Red Crescent Society,red cross,,red cross,TRUE
Malaysia Red Cross,red cross,,red cross,TRUE
Maldive Red Cross,red cross,,red cross,TRUE
Maldives,NDD,,National government,FALSE
Mali,NDD,,National government,FALSE
Mali Red Cross,red cross,,red cross,TRUE
Malilangwe Trust,NGOs,,NGOs,TRUE
Malta,NDD,,National government,FALSE
Malta Red Cross,red cross,,red cross,TRUE
Malta Red Cross Society,red cross,,red cross,TRUE
Maltese Aid Agency,NDD,,National government,FALSE
Malteser InterNational,NGOs,,NGOs,TRUE
Man in Need,other,,other,TRUE
Management Sciences for Health,NGOs,,NGOs,TRUE
Management Services for Health,other,,other,TRUE
Management Systems InterNational,private sector corporations,,private sector corporations,TRUE
Mani Tese,NGOs,,NGOs,TRUE
Manitoba Council for InterNational Co-operation,private individual organisations,,private individual organisations,TRUE
MANNA,NGOs,,NGOs,TRUE
MANNET (consulting company),private sector corporations,,private sector corporations,TRUE
Manulife Financial Corporation,private sector corporations,,private sector corporations,TRUE
MAPACT,other,,other,TRUE
MapAction,NGOs,,NGOs,TRUE
Marathon Oil Company,private sector corporations,,private sector corporations,TRUE
Marie Stopes InterNational,NGOs,,NGOs,TRUE
Marsh Arabs,other,,other,TRUE
Marshall Legacy Institute,academia/think/research,,academia/think/research,TRUE
Massachusetts Mutual Life Insurance Company,private sector corporations,,private sector corporations,TRUE
MassMutual Financial Group,private sector corporations,,private sector corporations,TRUE
Mastercard Foundation,foundations,,foundations,TRUE
Matrix,other,,other,TRUE
Matrix InterNational,private sector corporations,,private sector corporations,TRUE
Mattel,private sector corporations,,private sector corporations,TRUE
Mauritania,NDD,,National government,FALSE
Mauritanian Red Crescent,red cross,,red cross,TRUE
Mauritius,NDD,,National government,FALSE
Mauritius Red Cross,red cross,,red cross,TRUE
Mauritius Red Cross Society,red cross,,red cross,TRUE
Mavambo Orphan Care,NGOs,,NGOs,TRUE
Maxim G Rochester and Leighton McKnight,private sector corporations,,private sector corporations,TRUE
MAXIMUS,private sector corporations,,private sector corporations,TRUE
Mayer Brown,private sector corporations,,private sector corporations,TRUE
Mazda,private sector corporations,,private sector corporations,TRUE
McAfee,private sector corporations,,private sector corporations,TRUE
McDonald's Corporation,private sector corporations,,private sector corporations,TRUE
McGregor Fund,foundations,,foundations,TRUE
McKesson Corporation,private sector corporations,,private sector corporations,TRUE
MDC / TMAC,other,,other,TRUE
MEDAIR,NGOs,,NGOs,TRUE
Medecins d'Afrique,NGOs,,NGOs,TRUE
Médecins du Monde,NGOs,,NGOs,TRUE
Médecins du Monde Belgium,NGOs,,NGOs,TRUE
Médecins du Monde Canada,NGOs,,NGOs,TRUE
Médecins du Monde France,NGOs,,NGOs,TRUE
Médecins du Monde Greece,NGOs,,NGOs,TRUE
Médecins du Monde Suisse,NGOs,,NGOs,TRUE
Médecins sans Frontières,NGOs,,NGOs,TRUE
Médecins sans Frontières - Belgium,NGOs,,NGOs,TRUE
Médecins sans Frontières - Canada,NGOs,,NGOs,TRUE
Médecins sans Frontières - France,NGOs,,NGOs,TRUE
Médecins sans Frontières - Luxembourg,NGOs,,NGOs,TRUE
Médecins sans Frontières - Netherlands,NGOs,,NGOs,TRUE
Médecins sans Frontières - Norway,NGOs,,NGOs,TRUE
Médecins sans Frontières - Switzerland,NGOs,,NGOs,TRUE
MEDECO,private sector corporations,,private sector corporations,TRUE
Media Action Intl.,NGOs,,NGOs,TRUE
Media Frontiers,NGOs,,NGOs,TRUE
Media21,private sector corporations,,private sector corporations,TRUE
Medica Mondiale,NGOs,,NGOs,TRUE
Medical Aid for Palestinians,NGOs,,NGOs,TRUE
Medical Aids for Children of DPRK,other,,other,TRUE
Medical Assistance Programs InterNational,NGOs,,NGOs,TRUE
Medical Emergency Relief InterNational,NGOs,,NGOs,TRUE
Medical Emergency Relief InterNational Charitable Trust,NGOs,,NGOs,TRUE
Medical Relief Society,NGOs,,NGOs,TRUE
Medical Research Council,academia/think/research,,academia/think/research,TRUE
Medical Teams InterNational ,NGOs,,NGOs,TRUE
Medico International,NGOs,,NGOs,TRUE
Medico Intl.,NGOs,,NGOs,TRUE
Medicor Foundation,foundations,,foundations,TRUE
Medicos del Mundo,NGOs,,NGOs,TRUE
Medicos del Mundo Argentina,NGOs,,NGOs,TRUE
Medicos do Mundo,NGOs,,NGOs,TRUE
Medicos en catastrofe (MEC),NGOs,,NGOs,TRUE
Medicos sin Fronteras,NGOs,,NGOs,TRUE
Medicuba en Salud,NGOs,,NGOs,TRUE
MediCuba-Suisse,NGOs,,NGOs,TRUE
Medicus Mundi,NGOs,,NGOs,TRUE
Medilor,NGOs,,NGOs,TRUE
Medina,other,,other,TRUE
Mediothek für Afghanistan e.V,NGOs,,NGOs,TRUE
Medishare,private individual organisations,,private individual organisations,TRUE
Meds & Food for Kids,NGOs,,NGOs,TRUE
Medshare,NGOs,,NGOs,TRUE
Medtronic Foundation,foundations,,foundations,TRUE
Mekka Association,NGOs,,NGOs,TRUE
Mekong River Commission,Other multi,,Other multi,TRUE
MEMISA - Action médicale missionnaire ,NGOs,,NGOs,TRUE
Memorial Human Rights Centre,other,,other,TRUE
MEN,other,,other,TRUE
Menasha Corporation ,private sector corporations,,private sector corporations,TRUE
Mennonite Central Committee,NGOs,,NGOs,TRUE
Menschen für,NGOs,,NGOs,TRUE
Menschen Gegen Minen,NGOs,,NGOs,TRUE
Mensen in Nood Caritas,NGOs,,NGOs,TRUE
Mentor Initiative,NGOs,,NGOs,TRUE
MENTOR-Malaria Emergency Technical and Operational Response (Johns Hopkins Univ.),other,,other,TRUE
Merck & Co. Inc.,private sector corporations,,private sector corporations,TRUE
MERCY - USA FOR AID AND DEVELOPMENT,private individual organisations,NGOs,NGOs,FALSE
Mercy Corps ,NGOs,,NGOs,TRUE
Mercy Corps Scotland,NGOs,,NGOs,TRUE
Mercy Hands for Humanitarian Aid,NGOs,,NGOs,TRUE
Mercy Malaysia,NGOs,,NGOs,TRUE
Mercy Relief,NGOs,,NGOs,TRUE
"Mercy Relief, Singapore",NGOs,,NGOs,TRUE
Mercy Ships,NGOs,,NGOs,TRUE
Mercy-USA for Aid and Development,NGOs,,NGOs,TRUE
Merove-Pierre Et Associes,private sector corporations,,private sector corporations,TRUE
Merrill Lynch ,private sector corporations,,private sector corporations,TRUE
Merti Integrated Development Programme,NGOs,,NGOs,TRUE
MetaCorp,private sector corporations,,private sector corporations,TRUE
Meteorologisk Institutt,DAC governments,,DAC governments,TRUE
Metta Foundation,foundations,NGOs,NGOs,FALSE
Mexican Red Cross,red cross,,red cross,TRUE
Mexico,NDD,,National government,FALSE
Mexico Red Cross,red cross,,red cross,TRUE
MfAS,other,,other,TRUE
MIC EU Civil Protection,EC,,EC,TRUE
Micronesia Red Cross,red cross,,red cross,TRUE
"Micronesia,  Federated States of",NDD,,National government,FALSE
Microsoft,private sector corporations,,private sector corporations,TRUE
Midwest Canvas Corporation,private sector corporations,,private sector corporations,TRUE
Migros,private sector corporations,,private sector corporations,TRUE
Mildmay,NGOs,,NGOs,TRUE
Milinda Moragoda institute for people's empowerment,academia/think/research,,academia/think/research,TRUE
Millenium Project Hunger Task Force,UN Multi,,UN Multi,TRUE
Millennium Relief and Development,NGOs,,NGOs,TRUE
Miloserdie (Mercy)  ,NGOs,,NGOs,TRUE
Mine Action Canada,NGOs,,NGOs,TRUE
Mine Action Group,other,,other,TRUE
Mine Action Programme for Afghanistan,other,,other,TRUE
Mine Clearance and Planning Agency,NGOs,,NGOs,TRUE
Mine Detection Centre,other,NGOs,NGOs,FALSE
Mines Advisory Group,NGOs,,NGOs,TRUE
Mingalar Myanmar,NGOs,,NGOs,TRUE
Ministry for Transportation and Infrastructure,NDD,,National government,FALSE
Ministry of Agriculture and Irrigation,NDD,,National government,FALSE
"Ministry of Agriculture, Irrigation and Livestock Afghanistan",NDD,,National government,FALSE
Ministry of Defense of Germany,DAC governments,,DAC governments,TRUE
Ministry of Environment and University of Zurich,other,,other,TRUE
Ministry of Foreign Affairs,other,,other,TRUE
Ministry of Rural Rehabilitation and Development Afghanistan,NDD,,National government,FALSE
Minneapolis Foundation,foundations,,foundations,TRUE
Minority Rights Group InterNational,NGOs,,NGOs,TRUE
MINUSTAH,UN Multi,,UN Multi,TRUE
MIR - MUXO Impact Relief,other,,other,TRUE
MIRC Corporate,private sector corporations,,private sector corporations,TRUE
Misereor,private individual organisations,,private individual organisations,TRUE
Misericordia InterNational Center Day Care,other,,other,TRUE
Mision para Cristo,private individual organisations,,private individual organisations,TRUE
MISOLA,NGOs,,NGOs,TRUE
"Mission 21, Basle",private individual organisations,,private individual organisations,TRUE
Mission am Nill,private individual organisations,NGOs,NGOs,FALSE
Mission Armenia,private individual organisations,,private individual organisations,TRUE
Mission Austria - Päpstliche Missionswerke in österreich,private individual organisations,,private individual organisations,TRUE
Mission Aviation Fellowship,private individual organisations,NGOs,NGOs,FALSE
Mission East,NGOs,,NGOs,TRUE
Mission Enfance,NGOs,,NGOs,TRUE
Mission Ost - DNK,NGOs,,NGOs,TRUE
Missionnaires du Divin Maître,private individual organisations,,private individual organisations,TRUE
Missionnaires du Divin Maître/Shabunda,other,,other,TRUE
Missionsärztliches Institut Würzburg,academia/think/research,,academia/think/research,TRUE
Missionszentrale der Franziskaner e.V.,private individual organisations,,private individual organisations,TRUE
Mitsubishi Electric,private sector corporations,,private sector corporations,TRUE
"Mitsui USA, Inc.",private sector corporations,,private sector corporations,TRUE
MoAAH/FAO,other,,other,TRUE
Mobilink Foundation,foundations,,foundations,TRUE
Mohamed Bin Rashid Al Maktoum Humanitarian and Charity Establishment,foundations,,foundations,TRUE
Moldova,NDD,,National government,FALSE
Molson Coors Brewing Company,private sector corporations,,private sector corporations,TRUE
"Molycorp, Inc.",private sector corporations,,private sector corporations,TRUE
Monaco,NDD,,National government,FALSE
Monaco Aide et Presence,private individual organisations,,private individual organisations,TRUE
Monaco Red Cross,red cross,,red cross,TRUE
MoneyGram InterNational,private sector corporations,,private sector corporations,TRUE
Mongolia,NDD,,National government,FALSE
Mongolia Red Cross,red cross,,red cross,TRUE
Mongolian Red Cross,red cross,,red cross,TRUE
Monitoring Evaluation And Training Agency,NGOs,,NGOs,TRUE
Monsanto Co.,private sector corporations,,private sector corporations,TRUE
Montenegro,NDD,,National government,FALSE
Monterey Institute of InterNational Studies,academia/think/research,,academia/think/research,TRUE
MONUC,UN Multi,,UN Multi,TRUE
Moody's,private sector corporations,,private sector corporations,TRUE
Moravian Church,private individual organisations,,private individual organisations,TRUE
Morgan Stanley,private sector corporations,,private sector corporations,TRUE
Morija,other,,other,TRUE
Moroccan Red Crescent,red cross,,red cross,TRUE
Morocco,NDD,,National government,FALSE
Morocco Red Crescent,red cross,,red cross,TRUE
Mosaic Company,private sector corporations,,private sector corporations,TRUE
Mother and Children Development Aid,other,,other,TRUE
Mothers of Chechnya,private individual organisations,,private individual organisations,TRUE
Motorola Foundation,foundations,,foundations,TRUE
Movement Centre of Jeju Citizen to Cooperation between South and North,NGOs,,NGOs,TRUE
"Movimiento por la Paz, el Desarme y la Libertad",NGOs,,NGOs,TRUE
"Movimiento Por La Paz, El Desarme Y La Libertad, (E)",NGOs,,NGOs,TRUE
MOVIMONDO,NGOs,,NGOs,TRUE
Movitel,private sector corporations,,private sector corporations,TRUE
Mozambique,NDD,,National government,FALSE
Mozambique Red Cross,red cross,,red cross,TRUE
Mozambique Red Cross Society,red cross,,red cross,TRUE
"MPDL - Movimiento por la Paz, el Desarme y la Libertad",NGOs,,NGOs,TRUE
MPDL - PRTM,NGOs,,NGOs,TRUE
MRCA - Medical Refresher Course for Afghan,other,NGOs,NGOs,FALSE
MRCA / AMI,other,,other,TRUE
MRRD/UNICEF,other,,other,TRUE
MRRD/UNOPS,other,,other,TRUE
MS Denmark,DAC governments,,DAC governments,TRUE
MSD-DK,private sector corporations,,private sector corporations,TRUE
MSI,other,,other,TRUE
MSZ,other,,other,TRUE
Mubadiroon Organisation,private individual organisations,,private individual organisations,TRUE
Mubarak for Relief and Development Organization,NGOs,,NGOs,TRUE
Muhammadiyah,private individual organisations,,private individual organisations,TRUE
Mulrany InterNational,private sector corporations,,private sector corporations,TRUE
Multi-Donor Fund Facility for Disaster Recovery-Indonesia,Other pooled,,Other pooled,TRUE
Multi-Donor Trust Fund ,Other pooled,,Other pooled,TRUE
Multi-Donor Trust Fund for the Sudan,Other pooled,,Other pooled,TRUE
Multi-Donor Trust Fund for the Sudan ,Other pooled,,Other pooled,TRUE
Multi-Donor Trust Fund for the Sudan South,Other pooled,,Other pooled,TRUE
Multilateral Agencies,other,,other,TRUE
MultiNational Interim Force,UN Multi,,UN Multi,TRUE
Multiple Partners,other,,other,TRUE
Museke Foundation,foundations,,foundations,TRUE
Muslim Aid,NGOs,,NGOs,TRUE
Muslim Aid and GlobalMedic,NGOs,,NGOs,TRUE
Mvuramanzi Trust,NGOs,,NGOs,TRUE
Mwelekeo Trust,NGOs,,NGOs,TRUE
Myanmar,NDD,,National government,FALSE
Myanmar Business Coalition on AIDS,NGOs,,NGOs,TRUE
Myanmar NGO Contingency Plan Steering Committee,NGOs,,NGOs,TRUE
Myanmar Red Cross,red cross,,red cross,TRUE
Myanmar Red Cross Society,red cross,,red cross,TRUE
"NABA""A",other,,other,TRUE
NAC,other,,other,TRUE
Nachbar in Not,other,,other,TRUE
NACSA - National Commission for Social Action - Sierra Leone  ,NDD,,National government,FALSE
NaCSA/World Bank,Other multi,,Other multi,TRUE
Nærings- og Handelsdepartementet,other,,other,TRUE
Næringslivets Hovedorganisasjon,private individual organisations,,private individual organisations,TRUE
Nahda Makers Organization,NGOs,,NGOs,TRUE
Nahdlatul Ulamu,private individual organisations,,private individual organisations,TRUE
Najat Charitable Society,NGOs,,NGOs,TRUE
Namibia,NDD,,National government,FALSE
Namibia CARES Movement,NGOs,,NGOs,TRUE
Namibia Red Cross,red cross,,red cross,TRUE
Namibian Red Cross,red cross,,red cross,TRUE
Nasjonalt Folkehelseinstitutt,academia/think/research,,academia/think/research,TRUE
Nathan Associates,private sector corporations,,private sector corporations,TRUE
Nathan Cummings Foundation,foundations,,foundations,TRUE
National Agency for the Prohibition of Traffic in Persons - Nigeria,NDD,,National government,FALSE
National Agricultural Cooperative Federation,NGOs,,NGOs,TRUE
National Anti War Front,other,,other,TRUE
National Bank of Canada,private sector corporations,,private sector corporations,TRUE
National Basketball Association,private individual organisations,,private individual organisations,TRUE
National Center for the Prevention of HIV/AIDS,other,,other,TRUE
National Coalition of NGOs for Inter-Korea Agricultural Development and Cooperation,NGOs,,NGOs,TRUE
"National COMMISSION FOR DEMINING AND REHABILITATION, JORDAN",NDD,,National government,FALSE
National Commission for Human Development,private individual organisations,,private individual organisations,TRUE
National Commission for Lebanese Women,NDD,,National government,FALSE
National Committee for Demining and Rehabilitation,other,,other,TRUE
National Committee for Disaster Management,other,,other,TRUE
National Council of Churches in Australia,private individual organisations,,private individual organisations,TRUE
National Council of Churches of Kenya,private individual organisations,,private individual organisations,TRUE
National Council of Saemaul Undong Movement,NGOs,,NGOs,TRUE
National Democratic Institute,NGOs,,NGOs,TRUE
National Democratic Institute for InterNational Affairs/InterNational Republican Institute,other,,other,TRUE
National Development Organization,other,,other,TRUE
National Disaster Response Coordinating Council,NDD,,National government,FALSE
National Emergency Commission of Costa Rica,NDD,,National government,FALSE
"National Fishery Society, Peru",private sector corporations,,private sector corporations,TRUE
National Football League,private individual organisations,,private individual organisations,TRUE
National Foundation for Development and Human Rights,foundations,NGOs,NGOs,FALSE
National Grid,private sector corporations,,private sector corporations,TRUE
National Institution of Social Care & Vocational Training,NGOs,,NGOs,TRUE
National Integrated & DevelopmeDewant Association (NIDA-Pakistan),NGOs,,NGOs,TRUE
National Integrated Development Agency,NGOs,,NGOs,TRUE
National Office for Electoral Process,NDD,,National government,FALSE
National Peace Corps Association,NGOs,,NGOs,TRUE
National Primary Health Care Development Agency,NDD,,National government,FALSE
National Radio Appeal,other,,other,TRUE
National Relief Committee,private individual organisations,,private individual organisations,TRUE
National Rural Support Programme,other,,other,TRUE
National Society for Earthquake Technology,academia/think/research,,academia/think/research,TRUE
National Society for Rehabilitation,other,,other,TRUE
National Space Agency of Ukraine,NDD,,National government,FALSE
Nationwide Insurance Foundation,foundations,,foundations,TRUE
NATO / PfP,Other multi,,Other multi,TRUE
Natur Environments & Wildlife Society and Calcutta Foundation,other,,other,TRUE
Natures Way,private sector corporations,,private sector corporations,TRUE
Naval Medical Research Unit,academia/think/research,,academia/think/research,TRUE
Nawayee Rehabilitation and Development Organization for Afghan Women,private individual organisations,,private individual organisations,TRUE
Near East Foundation,foundations,,foundations,TRUE
NEC Corporation,private sector corporations,,private sector corporations,TRUE
Nehemia Christenhilfsdienst e.V.,NGOs,,NGOs,TRUE
Neighborhood Disaster Volunteers,other,,other,TRUE
Neighbors Initiative Alliance,NGOs,,NGOs,TRUE
NEM Insurance Company,private sector corporations,,private sector corporations,TRUE
NEMA - National Emergency Management Agency,NDD,,National government,FALSE
Nepal,NDD,,National government,FALSE
Nepal Red Cross Society,red cross,,red cross,TRUE
NEPCom,private sector corporations,,private sector corporations,TRUE
Nestle,private sector corporations,,private sector corporations,TRUE
Nestle USA,private sector corporations,,private sector corporations,TRUE
Netherlands,DAC governments,,DAC governments,TRUE
Netherlands Embassy in Namibia,DAC governments,,DAC governments,TRUE
Netherlands Red Cross,red cross,,red cross,TRUE
Netherlands Refugee Foundation,foundations,,foundations,TRUE
"NetSol Technologies, Inc",private sector corporations,,private sector corporations,TRUE
Network on Humanitarian Assistance,other,NGOs,academia/think/research,FALSE
NETZ,other,,other,TRUE
New Consultancy and Relief Organization,other,,other,TRUE
New Iraqi Woman Organization,NGOs,,NGOs,TRUE
New Ireland PDC,Other multi,,Other multi,TRUE
New South Wales Relief Fund,DAC governments,,DAC governments,TRUE
New York Life Insurance Company,private sector corporations,,private sector corporations,TRUE
New York Yankees,private individual organisations,,private individual organisations,TRUE
New Zealand,DAC governments,,DAC governments,TRUE
New Zealand Red Cross,red cross,,red cross,TRUE
Newman Foundation,foundations,,foundations,TRUE
News Corp.,private sector corporations,,private sector corporations,TRUE
Next Step AS,other,,other,TRUE
Next Step Productions,NGOs,,NGOs,TRUE
Nextel Peru,private sector corporations,,private sector corporations,TRUE
Ngazi Moja Foundation,foundations,,foundations,TRUE
NGO Consortium,NGOs,,NGOs,TRUE
NGO Coordination Committee in Iraq,NGOs,,NGOs,TRUE
NGO FORUM,NGOs,,NGOs,TRUE
NGO Fridsro,NGOs,,NGOs,TRUE
NGO Mondo,NGOs,,NGOs,TRUE
NGO Ninez y Vida,NGOs,,NGOs,TRUE
NGO Safety Program,NGOs,,NGOs,TRUE
NGO Security Programme,NGOs,,NGOs,TRUE
NGOs (details not yet provided),NGOs,,NGOs,TRUE
NGOs; Red Cross (details not yet provided) ,other,,other,TRUE
NGOs; Red Cross/Red Crescent (details not yet provided),other,,other,TRUE
Nicaragua,NDD,,National government,FALSE
Nicaragua Red Cross,red cross,,red cross,TRUE
Nicaraguan Forestry Institute,NDD,,National government,FALSE
Nicaraguan Red Cross,red cross,,red cross,TRUE
Niger,NDD,,National government,FALSE
Niger Red Cross,red cross,,red cross,TRUE
Nigeria,NDD,,National government,FALSE
Nigeria Red Cross,red cross,,red cross,TRUE
Nigerian Red Cross Society,red cross,,red cross,TRUE
NIISO,other,,other,TRUE
Nike,private sector corporations,,private sector corporations,TRUE
Nikon,private sector corporations,,private sector corporations,TRUE
Nile Hope,NGOs,,NGOs,TRUE
Nile Hope Development Forum,private individual organisations,,private individual organisations,TRUE
Nile Mission,other,,other,TRUE
Nile People's Peace Conference,NGOs,,NGOs,TRUE
Niños de la Tierra,private individual organisations,,private individual organisations,TRUE
Ninôs del Cusco,NDD,,National government,FALSE
Nintendo,private sector corporations,,private sector corporations,TRUE
Nippon Foundation,foundations,,foundations,TRUE
Nippon InterNational Cooperation for Community Development,NGOs,,NGOs,TRUE
NIRAS,private sector corporations,,private sector corporations,TRUE
NiSource Charitable Foundation,foundations,,foundations,TRUE
Nissan Corporation,private sector corporations,,private sector corporations,TRUE
NMIAD,other,,other,TRUE
No channel specified,other,,other,TRUE
Nobels Fredssenter,academia/think/research,,academia/think/research,TRUE
Nokia,private sector corporations,,private sector corporations,TRUE
Nomadic Assistance for Peace and Development,other,,other,TRUE
Nomads Development and Environmental Conservation,other,,other,TRUE
NOMECO,private sector corporations,,private sector corporations,TRUE
Nomura Group,private sector corporations,,private sector corporations,TRUE
Non Violent Peace Force ,NGOs,,NGOs,TRUE
Non Violent Peace Force Sri Lanka ,other,,other,TRUE
Non-Aligned Movement Institute for the Empowerment of Women,academia/think/research,,academia/think/research,TRUE
Nonviolence InterNational,NGOs,,NGOs,TRUE
Nonviolent Peaceforce,NGOs,,NGOs,TRUE
Noor Al Hussein Foundation,foundations,,foundations,TRUE
NOOR Dubai,private individual organisations,,private individual organisations,TRUE
Nordic Demining Research Forum,academia/think/research,,academia/think/research,TRUE
Nordic Institute of Asian Studies,academia/think/research,,academia/think/research,TRUE
Nordic InterNational Rescue Foundation,foundations,,foundations,TRUE
Norfund,DAC governments,,DAC governments,TRUE
Norges Fredslag,other,,other,TRUE
Norges Geotekniske Institutt,academia/think/research,,academia/think/research,TRUE
Norges Juristforbund,other,,other,TRUE
Normeca AS,private sector corporations,,private sector corporations,TRUE
Norsk forbund f. utv.hemmede,other,,other,TRUE
Norsk Fredssenter,foundations,,foundations,TRUE
Norsk Luthersk Misjonssamband,NGOs,,NGOs,TRUE
Norsk PEN,private individual organisations,,private individual organisations,TRUE
Norsk Ressursbank for demokrati og menneskerettigheter,academia/think/research,,academia/think/research,TRUE
Norsk senter for menneskerettigheter,academia/think/research,,academia/think/research,TRUE
Norsk tamilsk helse organisasjon,other,,other,TRUE
Norsk Vietnamesisk Senter,other,,other,TRUE
Norske Menneskerettighetsfond,NGOs,,NGOs,TRUE
Norske PEN,private individual organisations,,private individual organisations,TRUE
Norske Pinsemenigheters Ytremisjon,NGOs,,NGOs,TRUE
Norske Redningshunder,NGOs,,NGOs,TRUE
North Atlantic Treaty Organization,Other multi,,Other multi,TRUE
Northeast Asia Forest Forum,NGOs,,NGOs,TRUE
Northern Aid,NGOs,,NGOs,TRUE
Northern Trust Corporation,private sector corporations,,private sector corporations,TRUE
Northfield Bank Foundation,foundations,,foundations,TRUE
Northland Foundation,foundations,,foundations,TRUE
Northrop Grumman Corp,private sector corporations,,private sector corporations,TRUE
North-South Institute,academia/think/research,,academia/think/research,TRUE
Northwest Medical Teams InterNational,NGOs,,NGOs,TRUE
Northwest Woolen Mills,private sector corporations,,private sector corporations,TRUE
Northwestern Mutual Corp.,private sector corporations,,private sector corporations,TRUE
NORWAC - Norwegian Aid Committee,NGOs,,NGOs,TRUE
Norway,DAC governments,,DAC governments,TRUE
Norway Red Cross,red cross,,red cross,TRUE
Norway Royal Ministry of Foreign Affairs,DAC governments,,DAC governments,TRUE
Norwegian Afghanistan Committee,NGOs,,NGOs,TRUE
Norwegian Aid Committee,private individual organisations,NGOs,NGOs,FALSE
Norwegian Church Aid,NGOs,,NGOs,TRUE
Norwegian Mission Association,NGOs,,NGOs,TRUE
Norwegian Pentecostal Movement,private individual organisations,,private individual organisations,TRUE
Norwegian People's Aid,NGOs,,NGOs,TRUE
Norwegian Project Office-Rural Rehabilitation Association for Afghanistan,NGOs,,NGOs,TRUE
Norwegian Red Cross,red cross,,red cross,TRUE
Norwegian Refugee Council,NGOs,,NGOs,TRUE
Norwegian Search and Rescue,DAC governments,,DAC governments,TRUE
Norwegian Tamils Health Organisation,private individual organisations,,private individual organisations,TRUE
Not on our Watch,NGOs,,NGOs,TRUE
Novartis,private sector corporations,,private sector corporations,TRUE
Novellus Systems,private sector corporations,,private sector corporations,TRUE
NOVIB,NGOs,,NGOs,TRUE
Novo Nordisk,private sector corporations,,private sector corporations,TRUE
NTNU,academia/think/research,,academia/think/research,TRUE
NU,other,,other,TRUE
"Nuba Mountain Relief, Rehabilitation and Development Organization",NGOs,,NGOs,TRUE
Nuba Mountains International Association for Development,NGOs,,NGOs,TRUE
Nuer Peace Council,NGOs,,NGOs,TRUE
Nukepills,private sector corporations,,private sector corporations,TRUE
NUPI - Norsk utenr.pol. inst. ,academia/think/research,,academia/think/research,TRUE
Nurani Dunia,foundations,,foundations,TRUE
NYSE Euronext,private sector corporations,,private sector corporations,TRUE
OAP,other,,other,TRUE
Objectif Tiers Monde,NGOs,,NGOs,TRUE
Observatorio San Calixo,private individual organisations,,private individual organisations,TRUE
OCAPROCE,NGOs,,NGOs,TRUE
Occidental Petroleum,private sector corporations,,private sector corporations,TRUE
OCHA / IRIN,UN Multi,,UN Multi,TRUE
OCHA / ISDR,UN Multi,,UN Multi,TRUE
OCHA / REACT,UN Multi,,UN Multi,TRUE
