Recipient Organization,recipientcodename,
Korean-American Association,private individual organisations,
Kosovo Force (NATO)/Civil-Military Co-operation,other,
KPR,other,
Kraft Foods Foundation,foundations,
Kresge Foundation,foundations,
Kriminalomsorg.utdanningssent,other,
Kristna Freds,NGOs,
Kroger Co. Foundation,foundations,
Kubota Corporation,private sector corporations,
Kuehne & Nagel,private sector corporations,
Kurdish Human Rights Project,private individual organisations,
Kurdistan Reconstruction and Development Society,NGOs,
Kuwait,National government,
Kuwait Joint Relief Committee,private individual organisations,
Kuwait Red Crescent Society,red cross,
Kuwaiti Patients Helping Fund,private individual organisations,
Kuwaiti Social Reform Society,private individual organisations,
Kuwaiti Society for Relief,Red Cross,
Kvekerhjelp,private individual organisations,
Kyocera Corporation,private sector corporations,
Kyrgyzstan,National government,
Kyrgyzstan Red Crescent,red cross,
L.L. Bean,private sector corporations,
La chaine de l'espoir,NGOs,
La ligue démocratique pour les droits de la femme,NGOs,
Lacha Community and Economic Development,NGOs,
LAG - Latin-Amerikagruppene i Norge,NGOs,
L'Agora/Madani Dia,other,
Lambi Fund of Haiti,other,
Lamset Shifa,NGOs,
Lance Armstrong Foundation,foundations,
Land O'Lakes,private sector corporations,
Land Research Center ,academia/think/research,
Landistar Express America,private sector corporations,
Landmine Action,NGOs,
Landmine Survivors Initiatives,NGOs,
Landmine Survivors Network,NGOs,
LandsAid e.V.,NGOs,
Landsforeningen for lesbisk og homofil frigjøring,private individual organisations,
"Landsorganisasjonen i Norge, 3",private individual organisations,
"Landsorganisasjonen i Norge, internasj. sekret.",other,
Landstar Express America,private sector corporations,
Lao (People's Democratic Republic),National government,
Lao Red Cross,red cross,
Las Dignas,NGOs,
Las Qorey Concern,NGOs,
Latin American Benevolent Foundation,foundations,
Latter Day Saints,NGOs,
Latter-Day Saint Charities,private individual organisations,
Latvia,National government,
Latvia Red Cross,red cross,
Latvian Red Cross,red cross,
Lay Volunteers InterNational Association,NGOs,
Lazarus-Hilfswerk e.V.,NGOs,
Lead Against Marginality and Poverty,NGOs,
LEAD Trust,other,
"Leadership, Management and Sustainability Program",DAC governments,
League of Arab States,National government,
Lebanese Association for Popular Action,NGOs,
Lebanese Red Cross,red cross,
Lebanon,National government,
Lebanon Support,NGOs,
LEGO Foundation,foundations,
Leonardo DiCaprio Foundation,foundations,
Leprosy Aid Switzerland,NGOs,
Les Amis du Liban,private individual organisations,
Les Amis du Tibet,private individual organisations,
Les Sarments de Lavaux,NGOs,
Lesotho,National government,
Lesotho Ministry of Agriculture and CARE Lesotho,National government,
Levi Strauss Foundation,foundations,
LG Electronic Inc.,private sector corporations,
LH/ACT,other,
Liberia,National government,
"Liberia Dujar Association, Sweden",NGOs,
Liberia Reconstruction Trust Fund,other,
Liberia WASH Consortium,other,
Liberian Red Cross,red cross,
Liberian Red Cross Society,red cross,
Libya,National government,
Libya Red Crescent,red cross,
Libyan Relief Committee,other,
Lichtbrücke e.V,NGOs,
LIDEAS DRC,other,
Liechtenstein,National government,
Liechtenstein Red Cross,red cross,
Life and Peace Institute,academia/think/research,
Life for Relief and Development,NGOs,
Life for Syria,other,
Life InterNational,private individual organisations,
Life With Dignity,private individual organisations,
Liggett Vector Brands Inc.,private sector corporations,
Light Force InterNational,NGOs,
Lighthouse Association,NGOs,
Lihir Gold Limited,private sector corporations,
Lima Airport Partners,private sector corporations,
Limited Brands,private sector corporations,
Limmatstiftung Zurich,foundations,
Lindner Foundation Uganda,foundations,
Linkage Trust,NGOs,
Lion Aid,NGOs,
LIONS CLUB,foundations,
Lions Clubs InterNational Foundation,foundations,
Lipsey Water,private sector corporations,
Lisa and Douglas Goldman Fund,foundations,
Lithuania,National government,
Lithuania Red Cross,red cross,
Lithuanian Red Cross Society,red cross,
Living Waters,private individual organisations,
Lloyd A. Fry Foundation,foundations,
Lms Water Systems (France),private sector corporations,
Local Action Organization,NGOs,
Lockheed Martin,private sector corporations,
Logenix,private sector corporations,
Lois Berger,private sector corporations,
Los Angeles County Search and Rescue,DAC governments,
Louis Berger,private sector corporations,
Louis Vutton,private sector corporations,
Louisville Gas & Electric and Kentucky Utilities Co.,private sector corporations,
Louvain-Developpement,NGOs,
Lowe's Companies Inc.,private sector corporations,
LPDS - Dr. Soetomo Press Institute,academia/think/research,
LSN - Landmine Survivors Network ,NGOs,
LSQC,other,
Lubrizol,private sector corporations,
Luchetti,private sector corporations,
Ludwig Boltzmann Institute of Human Rights,academia/think/research,
Lupin,private sector corporations,
Lutheran Development Service,NGOs,
Lutheran World Federation,NGOs,
Lutheran World Relief,NGOs,
Lutheran World Relief (LWR/Canada),NGOs,
Lutherischer Weltbund Deutsches Nationalkomitee,NGOs,
Luxembourg,DAC governments,
Luxembourg Red Cross,red cross,
M&T Bank,private sector corporations,
M. J. Murdock Charitable Trust,other,
M.A.C. AIDS Fund,other,
MAAG,DAC governments,
MAAMS,other,
Ma'an,private individual organisations,
MA'AN Development Center,academia/think/research,
Maarouf Saad Social and Cultural Foundation,NGOs,
MAB Consulting,private sector corporations,
Macedonia Centre for InterNational Cooperation,NGOs,
"Macedonia, Former Yugoslav Republic of ",National government,
"Macedonia, FYR Red Cross",red cross,
Madagascar,National government,
Madagascar Red Cross,red cross,
MADERA,NGOs,
Madrasati,NGOs,
Mag. Raheb,other,
MAGE SOLAR,private sector corporations,
Magen David Adom,NGOs,
Magna Deti v nudzi [Magna Children at Risk],NGOs,
Mahvash and Jahangir Siddiqui Foundation,NGOs,
MAI,other,
Maison Shalom Ruyigi,NGOs,
Majulah Indonesia Tanah Airku,other,
Mala Sirena,other,
Malagasy Red Cross,red cross,
Malagasy Red Cross Society,red cross,
Malaria Consortium,NGOs,
Malawi,National government,
Malawi Economic Justice Network,other,
Malawi Red Cross,red cross,
Malawi Red Cross Society,red cross,
Malaysia,National government,
Malaysia Red Crescent Society,red cross,
Malaysia Red Cross,red cross,
Maldive Red Cross,red cross,
Maldives,National government,
Mali,National government,
Mali Red Cross,red cross,
Malilangwe Trust,NGOs,
Malta,National government,
Malta Red Cross,red cross,
Malta Red Cross Society,red cross,
Maltese Aid Agency,National government,
Malteser InterNational,NGOs,
Man in Need,other,
Management Sciences for Health,NGOs,
Management Services for Health,other,
Management Systems InterNational,private sector corporations,
Mani Tese,NGOs,
Manitoba Council for InterNational Co-operation,private individual organisations,
MANNA,NGOs,
MANNET (consulting company),private sector corporations,
Manulife Financial Corporation,private sector corporations,
MAPACT,other,
MapAction,NGOs,
Marathon Oil Company,private sector corporations,
Marie Stopes InterNational,NGOs,
Marsh Arabs,other,
Marshall Legacy Institute,academia/think/research,
Massachusetts Mutual Life Insurance Company,private sector corporations,
MassMutual Financial Group,private sector corporations,
Mastercard Foundation,foundations,
Matrix,other,
Matrix InterNational,private sector corporations,
Mattel,private sector corporations,
Mauritania,National government,
Mauritanian Red Crescent,red cross,
Mauritius,National government,
Mauritius Red Cross,red cross,
Mauritius Red Cross Society,red cross,
Mavambo Orphan Care,NGOs,
Maxim G Rochester and Leighton McKnight,private sector corporations,
MAXIMUS,private sector corporations,
Mayer Brown,private sector corporations,
Mazda,private sector corporations,
McAfee,private sector corporations,
McDonald's Corporation,private sector corporations,
McGregor Fund,foundations,
McKesson Corporation,private sector corporations,
MDC / TMAC,other,
MEDAIR,NGOs,
Medecins d'Afrique,NGOs,
Médecins du Monde,NGOs,
Médecins du Monde Belgium,NGOs,
Médecins du Monde Canada,NGOs,
Médecins du Monde France,NGOs,
Médecins du Monde Greece,NGOs,
Médecins du Monde Suisse,NGOs,
Médecins sans Frontières,NGOs,
Médecins sans Frontières - Belgium,NGOs,
Médecins sans Frontières - Canada,NGOs,
Médecins sans Frontières - France,NGOs,
Médecins sans Frontières - Luxembourg,NGOs,
Médecins sans Frontières - Netherlands,NGOs,
Médecins sans Frontières - Norway,NGOs,
Médecins sans Frontières - Switzerland,NGOs,
MEDECO,private sector corporations,
Media Action Intl.,NGOs,
Media Frontiers,NGOs,
Media21,private sector corporations,
Medica Mondiale,NGOs,
Medical Aid for Palestinians,NGOs,
Medical Aids for Children of DPRK,other,
Medical Assistance Programs InterNational,NGOs,
Medical Emergency Relief InterNational,NGOs,
Medical Emergency Relief InterNational Charitable Trust,NGOs,
Medical Relief Society,NGOs,
Medical Research Council,academia/think/research,
Medical Teams InterNational ,NGOs,
Medico International,NGOs,
Medico Intl.,NGOs,
Medicor Foundation,foundations,
Medicos del Mundo,NGOs,
Medicos del Mundo Argentina,NGOs,
Medicos do Mundo,NGOs,
Medicos en catastrofe (MEC),NGOs,
Medicos sin Fronteras,NGOs,
Medicuba en Salud,NGOs,
MediCuba-Suisse,NGOs,
Medicus Mundi,NGOs,
Medilor,NGOs,
Medina,other,
Mediothek für Afghanistan e.V,NGOs,
Medishare,private individual organisations,
Meds & Food for Kids,NGOs,
Medshare,NGOs,
Medtronic Foundation,foundations,
Mekka Association,NGOs,
Mekong River Commission,Other multi,
MEMISA - Action médicale missionnaire ,NGOs,
Memorial Human Rights Centre,other,
MEN,other,
Menasha Corporation ,private sector corporations,
Mennonite Central Committee,NGOs,
Menschen für,NGOs,
Menschen Gegen Minen,NGOs,
Mensen in Nood Caritas,NGOs,
Mentor Initiative,NGOs,
MENTOR-Malaria Emergency Technical and Operational Response (Johns Hopkins Univ.),other,
Merck & Co. Inc.,private sector corporations,
MERCY - USA FOR AID AND DEVELOPMENT,NGOs,
Mercy Corps ,NGOs,
Mercy Corps Scotland,NGOs,
Mercy Hands for Humanitarian Aid,NGOs,
Mercy Malaysia,NGOs,
Mercy Relief,NGOs,
"Mercy Relief, Singapore",NGOs,
Mercy Ships,NGOs,
Mercy-USA for Aid and Development,NGOs,
Merove-Pierre Et Associes,private sector corporations,
Merrill Lynch ,private sector corporations,
Merti Integrated Development Programme,NGOs,
MetaCorp,private sector corporations,
Meteorologisk Institutt,DAC governments,
Metta Foundation,NGOs,
Mexican Red Cross,red cross,
Mexico,National government,
Mexico Red Cross,red cross,
MfAS,other,
MIC EU Civil Protection,EC,
Micronesia Red Cross,red cross,
"Micronesia,  Federated States of",National government,
Microsoft,private sector corporations,
Midwest Canvas Corporation,private sector corporations,
Migros,private sector corporations,
Mildmay,NGOs,
Milinda Moragoda institute for people's empowerment,academia/think/research,
Millenium Project Hunger Task Force,UN Multi,
Millennium Relief and Development,NGOs,
Miloserdie (Mercy)  ,NGOs,
Mine Action Canada,NGOs,
Mine Action Group,other,
Mine Action Programme for Afghanistan,other,
Mine Clearance and Planning Agency,NGOs,
Mine Detection Centre,NGOs,
Mines Advisory Group,NGOs,
Mingalar Myanmar,NGOs,
Ministry for Transportation and Infrastructure,National government,
Ministry of Agriculture and Irrigation,National government,
"Ministry of Agriculture, Irrigation and Livestock Afghanistan",National government,
Ministry of Defense of Germany,DAC governments,
Ministry of Environment and University of Zurich,other,
Ministry of Foreign Affairs,other,
Ministry of Rural Rehabilitation and Development Afghanistan,National government,
Minneapolis Foundation,foundations,
Minority Rights Group InterNational,NGOs,
MINUSTAH,UN Multi,
MIR - MUXO Impact Relief,other,
MIRC Corporate,private sector corporations,
Misereor,private individual organisations,
Misericordia InterNational Center Day Care,other,
Mision para Cristo,private individual organisations,
MISOLA,NGOs,
"Mission 21, Basle",private individual organisations,
Mission am Nill,NGOs,
Mission Armenia,private individual organisations,
Mission Austria - Päpstliche Missionswerke in österreich,private individual organisations,
Mission Aviation Fellowship,NGOs,
Mission East,NGOs,
Mission Enfance,NGOs,
Mission Ost - DNK,NGOs,
Missionnaires du Divin Maître,private individual organisations,
Missionnaires du Divin Maître/Shabunda,other,
Missionsärztliches Institut Würzburg,academia/think/research,
Missionszentrale der Franziskaner e.V.,private individual organisations,
Mitsubishi Electric,private sector corporations,
"Mitsui USA, Inc.",private sector corporations,
MoAAH/FAO,other,
Mobilink Foundation,foundations,
Mohamed Bin Rashid Al Maktoum Humanitarian and Charity Establishment,foundations,
Moldova,National government,
Molson Coors Brewing Company,private sector corporations,
"Molycorp, Inc.",private sector corporations,
Monaco,National government,
Monaco Aide et Presence,private individual organisations,
Monaco Red Cross,red cross,
MoneyGram InterNational,private sector corporations,
Mongolia,National government,
Mongolia Red Cross,red cross,
Mongolian Red Cross,red cross,
Monitoring Evaluation And Training Agency,NGOs,
Monsanto Co.,private sector corporations,
Montenegro,National government,
Monterey Institute of InterNational Studies,academia/think/research,
MONUC,UN Multi,
Moody's,private sector corporations,
Moravian Church,private individual organisations,
Morgan Stanley,private sector corporations,
Morija,other,
Moroccan Red Crescent,red cross,
Morocco,National government,
Morocco Red Crescent,red cross,
Mosaic Company,private sector corporations,
Mother and Children Development Aid,other,
Mothers of Chechnya,private individual organisations,
Motorola Foundation,foundations,
Movement Centre of Jeju Citizen to Cooperation between South and North,NGOs,
"Movimiento por la Paz, el Desarme y la Libertad",NGOs,
"Movimiento Por La Paz, El Desarme Y La Libertad, (E)",NGOs,
MOVIMONDO,NGOs,
Movitel,private sector corporations,
Mozambique,National government,
Mozambique Red Cross,red cross,
Mozambique Red Cross Society,red cross,
"MPDL - Movimiento por la Paz, el Desarme y la Libertad",NGOs,
MPDL - PRTM,NGOs,
MRCA - Medical Refresher Course for Afghan,NGOs,
MRCA / AMI,other,
MRRD/UNICEF,other,
MRRD/UNOPS,other,
MS Denmark,DAC governments,
MSD-DK,private sector corporations,
MSI,other,
MSZ,other,
Mubadiroon Organisation,private individual organisations,
Mubarak for Relief and Development Organization,NGOs,
Muhammadiyah,private individual organisations,
Mulrany InterNational,private sector corporations,
Multi-Donor Fund Facility for Disaster Recovery-Indonesia,Other pooled,
Multi-Donor Trust Fund ,Other pooled,
Multi-Donor Trust Fund for the Sudan,Other pooled,
Multi-Donor Trust Fund for the Sudan ,Other pooled,
Multi-Donor Trust Fund for the Sudan South,Other pooled,
Multilateral Agencies,other,
MultiNational Interim Force,UN Multi,
Multiple Partners,other,
Museke Foundation,foundations,
Muslim Aid,NGOs,
Muslim Aid and GlobalMedic,NGOs,
Mvuramanzi Trust,NGOs,
Mwelekeo Trust,NGOs,
Myanmar,National government,
Myanmar Business Coalition on AIDS,NGOs,
Myanmar NGO Contingency Plan Steering Committee,NGOs,
Myanmar Red Cross,red cross,
Myanmar Red Cross Society,red cross,
"NABA""A",other,
NAC,other,
Nachbar in Not,other,
NACSA - National Commission for Social Action - Sierra Leone  ,National government,
NaCSA/World Bank,Other multi,
Nærings- og Handelsdepartementet,other,
Næringslivets Hovedorganisasjon,private individual organisations,
Nahda Makers Organization,NGOs,
Nahdlatul Ulamu,private individual organisations,
Najat Charitable Society,NGOs,
Namibia,National government,
Namibia CARES Movement,NGOs,
Namibia Red Cross,red cross,
Namibian Red Cross,red cross,
Nasjonalt Folkehelseinstitutt,academia/think/research,
Nathan Associates,private sector corporations,
Nathan Cummings Foundation,foundations,
National Agency for the Prohibition of Traffic in Persons - Nigeria,National government,
National Agricultural Cooperative Federation,NGOs,
National Anti War Front,other,
National Bank of Canada,private sector corporations,
National Basketball Association,private individual organisations,
National Center for the Prevention of HIV/AIDS,other,
National Coalition of NGOs for Inter-Korea Agricultural Development and Cooperation,NGOs,
"National COMMISSION FOR DEMINING AND REHABILITATION, JORDAN",National government,
National Commission for Human Development,private individual organisations,
National Commission for Lebanese Women,National government,
National Committee for Demining and Rehabilitation,other,
National Committee for Disaster Management,other,
National Council of Churches in Australia,private individual organisations,
National Council of Churches of Kenya,private individual organisations,
National Council of Saemaul Undong Movement,NGOs,
National Democratic Institute,NGOs,
National Democratic Institute for InterNational Affairs/InterNational Republican Institute,other,
National Development Organization,other,
National Disaster Response Coordinating Council,National government,
National Emergency Commission of Costa Rica,National government,
"National Fishery Society, Peru",private sector corporations,
National Football League,private individual organisations,
National Foundation for Development and Human Rights,NGOs,
National Grid,private sector corporations,
National Institution of Social Care & Vocational Training,NGOs,
National Integrated & DevelopmeDewant Association (NIDA-Pakistan),NGOs,
National Integrated Development Agency,NGOs,
National Office for Electoral Process,National government,
National Peace Corps Association,NGOs,
National Primary Health Care Development Agency,National government,
National Radio Appeal,other,
National Relief Committee,private individual organisations,
National Rural Support Programme,other,
National Society for Earthquake Technology,academia/think/research,
National Society for Rehabilitation,other,
National Space Agency of Ukraine,National government,
Nationwide Insurance Foundation,foundations,
NATO / PfP,Other multi,
Natur Environments & Wildlife Society and Calcutta Foundation,other,
Natures Way,private sector corporations,
Naval Medical Research Unit,academia/think/research,
Nawayee Rehabilitation and Development Organization for Afghan Women,private individual organisations,
Near East Foundation,foundations,
NEC Corporation,private sector corporations,
Nehemia Christenhilfsdienst e.V.,NGOs,
Neighborhood Disaster Volunteers,other,
Neighbors Initiative Alliance,NGOs,
NEM Insurance Company,private sector corporations,
NEMA - National Emergency Management Agency,National government,
Nepal,National government,
Nepal Red Cross Society,red cross,
NEPCom,private sector corporations,
Nestle,private sector corporations,
Nestle USA,private sector corporations,
Netherlands,DAC governments,
Netherlands Embassy in Namibia,DAC governments,
Netherlands Red Cross,red cross,
Netherlands Refugee Foundation,foundations,
"NetSol Technologies, Inc",private sector corporations,
Network on Humanitarian Assistance,academia/think/research,
NETZ,other,
New Consultancy and Relief Organization,other,
New Iraqi Woman Organization,NGOs,
New Ireland PDC,Other multi,
New South Wales Relief Fund,DAC governments,
New York Life Insurance Company,private sector corporations,
New York Yankees,private individual organisations,
New Zealand,DAC governments,
New Zealand Red Cross,red cross,
Newman Foundation,foundations,
News Corp.,private sector corporations,
Next Step AS,other,
Next Step Productions,NGOs,
Nextel Peru,private sector corporations,
Ngazi Moja Foundation,foundations,
NGO Consortium,NGOs,
NGO Coordination Committee in Iraq,NGOs,
NGO FORUM,NGOs,
NGO Fridsro,NGOs,
NGO Mondo,NGOs,
NGO Ninez y Vida,NGOs,
NGO Safety Program,NGOs,
NGO Security Programme,NGOs,
NGOs (details not yet provided),NGOs,
NGOs; Red Cross (details not yet provided) ,other,
NGOs; Red Cross/Red Crescent (details not yet provided),other,
Nicaragua,National government,
Nicaragua Red Cross,red cross,
Nicaraguan Forestry Institute,National government,
Nicaraguan Red Cross,red cross,
Niger,National government,
Niger Red Cross,red cross,
Nigeria,National government,
Nigeria Red Cross,red cross,
Nigerian Red Cross Society,red cross,
NIISO,other,
Nike,private sector corporations,
Nikon,private sector corporations,
Nile Hope,NGOs,
Nile Hope Development Forum,private individual organisations,
Nile Mission,other,
Nile People's Peace Conference,NGOs,
Niños de la Tierra,private individual organisations,
Ninôs del Cusco,National government,
Nintendo,private sector corporations,
Nippon Foundation,foundations,
Nippon InterNational Cooperation for Community Development,NGOs,
NIRAS,private sector corporations,
NiSource Charitable Foundation,foundations,
Nissan Corporation,private sector corporations,
NMIAD,other,
No channel specified,other,
Nobels Fredssenter,academia/think/research,
Nokia,private sector corporations,
Nomadic Assistance for Peace and Development,other,
Nomads Development and Environmental Conservation,other,
NOMECO,private sector corporations,
Nomura Group,private sector corporations,
Non Violent Peace Force ,NGOs,
Non Violent Peace Force Sri Lanka ,other,
Non-Aligned Movement Institute for the Empowerment of Women,academia/think/research,
Nonviolence InterNational,NGOs,
Nonviolent Peaceforce,NGOs,
Noor Al Hussein Foundation,foundations,
NOOR Dubai,private individual organisations,
Nordic Demining Research Forum,academia/think/research,
Nordic Institute of Asian Studies,academia/think/research,
Nordic InterNational Rescue Foundation,foundations,
Norfund,DAC governments,
Norges Fredslag,other,
Norges Geotekniske Institutt,academia/think/research,
Norges Juristforbund,other,
Normeca AS,private sector corporations,
Norsk forbund f. utv.hemmede,other,
Norsk Fredssenter,foundations,
Norsk Luthersk Misjonssamband,NGOs,
Norsk PEN,private individual organisations,
Norsk Ressursbank for demokrati og menneskerettigheter,academia/think/research,
Norsk senter for menneskerettigheter,academia/think/research,
Norsk tamilsk helse organisasjon,other,
Norsk Vietnamesisk Senter,other,
Norske Menneskerettighetsfond,NGOs,
Norske PEN,private individual organisations,
Norske Pinsemenigheters Ytremisjon,NGOs,
Norske Redningshunder,NGOs,
North Atlantic Treaty Organization,Other multi,
Northeast Asia Forest Forum,NGOs,
Northern Aid,NGOs,
Northern Trust Corporation,private sector corporations,
Northfield Bank Foundation,foundations,
Northland Foundation,foundations,
Northrop Grumman Corp,private sector corporations,
North-South Institute,academia/think/research,
Northwest Medical Teams InterNational,NGOs,
Northwest Woolen Mills,private sector corporations,
Northwestern Mutual Corp.,private sector corporations,
NORWAC - Norwegian Aid Committee,NGOs,
Norway,DAC governments,
Norway Red Cross,red cross,
Norway Royal Ministry of Foreign Affairs,DAC governments,
Norwegian Afghanistan Committee,NGOs,
Norwegian Aid Committee,NGOs,
Norwegian Church Aid,NGOs,
Norwegian Mission Association,NGOs,
Norwegian Pentecostal Movement,private individual organisations,
Norwegian People's Aid,NGOs,
Norwegian Project Office-Rural Rehabilitation Association for Afghanistan,NGOs,
Norwegian Red Cross,red cross,
Norwegian Refugee Council,NGOs,
Norwegian Search and Rescue,DAC governments,
Norwegian Tamils Health Organisation,private individual organisations,
Not on our Watch,NGOs,
Novartis,private sector corporations,
Novellus Systems,private sector corporations,
NOVIB,NGOs,
Novo Nordisk,private sector corporations,
NTNU,academia/think/research,
NU,other,
"Nuba Mountain Relief, Rehabilitation and Development Organization",NGOs,
Nuba Mountains International Association for Development,NGOs,
Nuer Peace Council,NGOs,
Nukepills,private sector corporations,
NUPI - Norsk utenr.pol. inst. ,academia/think/research,
Nurani Dunia,foundations,
NYSE Euronext,private sector corporations,
OAP,other,
Objectif Tiers Monde,NGOs,
Observatorio San Calixo,private individual organisations,
OCAPROCE,NGOs,
Occidental Petroleum,private sector corporations,
OCHA / IRIN,UN Multi,
OCHA / ISDR,UN Multi,
OCHA / REACT,UN Multi,
OCHA NGO Funds,NGOs,
OCHA/UNDP,UN Multi,
OCHA/UNDP/ ISDR,UN Multi,
OCHA/UNEP,UN Multi,
Ockenden InterNational,NGOs,
Oeuvre d'Orient,NGOs,
Oeuvres hospitalières françaises de l'Ordre de Malte,NGOs,
Office Depot,private sector corporations,
Office for Drug Control and Crime Prevention,other,
Office for Intellectual Freedom ,other,
Office for the Coordination of Humanitarian Affairs,UN Multi,
Office of Preparedness for Disasters and Emergencies,National government,
Office of the High Commissioner for Human Rights,UN Multi,
Office of the Humanitarian Coordinator,UN Multi,
Office of the Representative of Denmark to Afghanistan,DAC governments,
Office of the Representative of the Dalai Lama,National government,
Office of the Resident and Humanitarian Coordinator,UN Multi,
Office of the United Nations Special Coordinator for the Middle East Peace Process,UN Multi,
Official Development Assistance,other,
Oficina Panamericana de la Salud ,UN Multi,
Òganizasyon Fanm tou Nèf Balan,other,
OIC Aid Committee for the Child Victims of Tsunami,other,
OIKOS - Intercooperação e Desenvolvimento ,NGOs,
Oil for Food Programme,UN Multi,
OIP - Office of the Iraq Programme,Other multi,
OJAZ Foundation,NGOs,
Okedongmu Children in Korea,NGOs,
Oklahoma City Community Foundation,foundations,
öKO HIMAL,other,
Olympic Aid,NGOs,
Oman,National government,
Oman Charitable Organisation,other,
Omega Plus,private sector corporations,
Omidyar Fund,private individual organisations,
One Buddhism,NGOs,
One Korea Buddhist Movement,NGOs,
One Shekel Campaign in WB,NGOs,
"One UN Fund, EFW",UN Multi,
OneBeacon Charitable Trust,other,
ONG Actions,other,
ONGD - FNEL,NGOs,
"Onnuri Church, Rep. of Korea",NGOs,
ONUA - HRD,UN Multi,
öö Volkshilfe,NGOs,
OPEC Fund for InterNational Development,Other multi,
Open Continent,other,
Open Doors,private individual organisations,
Open Society Foundation,foundations,
Open Society Institute,foundations,
Open Society Institute Assistance Foundation,foundations,
Operation Blessing InterNational,NGOs,
Operation Helping Hand of Tampa,private individual organisations,
"Operation Helping Hands, American Samoa",NGOs,
Operation Lifeline Sudan,other,
Operation Mercy,NGOs,
Operation Save Innocent Lives,NGOs,
Operation USA,NGOs,
Opération villages roumains,private individual organisations,
Operations Team,other,
Opportunities Industrialisation Centres InterNational,NGOs,
ORA e. V. Deutsher Hilfsfonds,NGOs,
ORA InterNational Lobito,NGOs,
Order of Malta,National government,
Oregon Community Foundation,foundations,
Organisation de la conférence islamique ,private individual organisations,
Organisation for Economic Co-operation and Development,Other multi,
Organisation for Mine Awareness and Reconstruction,other,
Organisation for Mine Clearance and Afghan Rehabilitation / Mine Detection Dog Centre,NGOs,
Organisation InterNationale de la Francophonie,NGOs,
Organisation Marocaine Des Droits de l'homme,NGOs,
Organisation of Islamic Cooperation,private individual organisations,
Organisation of Rural Associations for Progress,NGOs,
Organisation of the Islamic Conference,Other multi,
Organization Catholique Pour la Promotion Humaine,NGOs,
Organization for African Unity,Other multi,
Organization for Security & Cooperation in Europe,Other multi,
Organization for Social Development Initiatives,NGOs,
Organization of American States,Other multi,
Organization of Arab Red Crescent and Red Cross Society,red cross,
Organization of Petroleum Exporting Countries Fund,Other multi,
Orphans and Divorced Rights Association,other,
Orthodox Church in America,private individual organisations,
OshKosh Corp.,private sector corporations,
Oslo Coalition on Freedom of Religion or Belief,private individual organisations,
Oslosenteret for fred og menneskerettigheter,other,
österreichisches Nord-Süd-Institut,academia/think/research,
Other income,other,
Ottawa Convention Sponsorship Programme,other,
Ottawa Convention Sponsorship Programme ,other,
Overseas Development Institute,academia/think/research,
OXFAM,NGOs,
Oxfam America,NGOs,
OXFAM Australia,NGOs,
OXFAM Belgium,NGOs,
OXFAM Canada,NGOs,
OXFAM GB,NGOs,
OXFAM Hong Kong,NGOs,
Oxfam India,NGOs,
OXFAM InterNational,NGOs,
OXFAM Ireland,NGOs,
Oxfam Italia,NGOs,
OXFAM Netherlands (NOVIB),NGOs,
OXFAM Quebec,NGOs,
OXFAM Solidarite,NGOs,
OXFAM/Community Aid Abroad (OXFAM-Australia),NGOs,
Oxford Research Group,academia/think/research,
Oxford University,academia/think/research,
PA_05,other,
PACCAR Inc.,private sector corporations,
Pacific Islands Forum,Other multi,
Packard Foundation,foundations,
Pact Inc.,private sector corporations,
PACT Myanmar,NGOs,
PACTEC,NGOs,
"PADCO, WWCIS, ASI",other,
PAICMA,National government,
PAIMAN Alumni Trust,other,
Pain Pour Les Déshérités (PPLD),other,
Pak Rural Development Program,private individual organisations,
Pakistan,National government,
Pakistan Association  in Dubai,private individual organisations,
Pakistan Humanitarian Forum (consortium),NGOs,
Pakistan Red Crescent,red cross,
Pakistan Red Crescent Society,red cross,
Pakistan Telecommunication Company LTD.,private sector corporations,
Pakistan Village Development Program,NGOs,
Pakistansk Velferdsorganisasjon Norge,other,
Palau,National government,
Palau Red Cross,red cross,
Palau Red Cross Society,red cross,
Palestinakomiteen i Norge,NGOs,
Palestine Red Crescent Society,red cross,
Palestine Right to Return Coalition,NGOs,
Palestine Solidarity Organisation in Sweden,NGOs,
Palestinian Agricultural Relief Committees,NGOs,
Palestinian Al Nakheel Association for Progress and Development,NGOs,
Palestinian Association for Development and Reconstruction,NGOs,
Palestinian Authority,National government,
Palestinian Center of Organic Agriculture,NGOs,
Palestinian Environmental Friends,NGOs,
Palestinian Farmers Union,other,
Palestinian Human Rights Monitoring Group,NGOs,
Palestinian Hydrological Group,NGOs,
Palestinian Medical Relief Society,NGOs,
Palestinian Peace Coalition,private individual organisations,
Palestinian Peace Coalition ,other,
Palestinian Red Crescent Society,red cross,
"Palestinian territory, occupied",National government,
Pan American Development Foundation,NGOs,
Pan American Health and Education Foundation,foundations,
Panalpina Airfreight Incorporated,private sector corporations,
Panama,National government,
Panamanian Red Cross,red cross,
Pan-American Health Organization (World Health Organization),UN Multi,
Panasonic,private sector corporations,
Panhealth Care Organization,NGOs,
Panzi Hospital,other,
PAP,other,
Papua New Guinea,National government,
Papua New Guinea Red Cross,red cross,
Papua New Guinea Red Cross Society,red cross,
"Paradigm of Consciousness Ministries, Inc. ",NGOs,
Paraguay,National government,
Paraguay Red Cross,red cross,
Paraguayan Red Cross,red cross,
PARCIC,NGOs,
PARD,other,
