Donor,privatemoney,code,check,private?
Medicos del Mundo Argentina,no,#N/A,,
Medicos do Mundo,no,#N/A,,
Medicos en catastrofe (MEC),no,#N/A,,
Medicos sin Fronteras,no,#N/A,,
Medicuba en Salud,no,#N/A,,
MediCuba-Suisse,no,#N/A,,
Medicus Mundi,no,#N/A,,
Medilor,no,#N/A,,
Medina,no,#N/A,,
Mediothek für Afghanistan e.V,no,#N/A,,
Medishare,private,#N/A,,
Meds & Food for Kids,no,#N/A,,
Medshare,no,#N/A,,
Medtronic Foundation,private,#N/A,,
Mekka Association,no,#N/A,,
Mekong River Commission,no,#N/A,,
MEMISA - Action médicale missionnaire ,no,#N/A,,
Memorial Human Rights Centre,no,#N/A,,
MEN,no,#N/A,,
Menasha Corporation ,private,#N/A,,
Mennonite Central Committee,no,#N/A,,
Menschen für,no,#N/A,,
Menschen Gegen Minen,no,#N/A,,
Mensen in Nood Caritas,no,#N/A,,
Mentor Initiative,no,#N/A,,
MENTOR-Malaria Emergency Technical and Operational Response (Johns Hopkins Univ.),no,#N/A,,
Merck & Co. Inc.,private,#N/A,,
MERCY - USA FOR AID AND DEVELOPMENT,private,MERCY - USA FOR AID AND DEVELOPMENT,NGOs,no
Mercy Corps ,no,#N/A,,
Mercy Corps Scotland,no,#N/A,,
Mercy Hands for Humanitarian Aid,no,#N/A,,
Mercy Malaysia,no,#N/A,,
Mercy Relief,no,#N/A,,
"Mercy Relief, Singapore",no,#N/A,,
Mercy Ships,no,#N/A,,
Mercy-USA for Aid and Development,no,#N/A,,
Merove-Pierre Et Associes,private,#N/A,,
Merrill Lynch ,private,#N/A,,
Merti Integrated Development Programme,no,#N/A,,
MetaCorp,private,#N/A,,
Meteorologisk Institutt,no,#N/A,,
Metta Foundation,private,Metta Foundation,NGOs,no
Mexican Red Cross,no,#N/A,,
Mexico,no,#N/A,,
Mexico Red Cross,no,#N/A,,
MfAS,no,#N/A,,
MIC EU Civil Protection,no,#N/A,,
Micronesia Red Cross,no,#N/A,,
"Micronesia,  Federated States of",no,#N/A,,
Microsoft,private,#N/A,,
Midwest Canvas Corporation,private,#N/A,,
Migros,private,#N/A,,
Mildmay,no,#N/A,,
Milinda Moragoda institute for people's empowerment,no,#N/A,,
Millenium Project Hunger Task Force,no,#N/A,,
Millennium Relief and Development,no,#N/A,,
Miloserdie (Mercy)  ,no,#N/A,,
Mine Action Canada,no,#N/A,,
Mine Action Group,no,#N/A,,
Mine Action Programme for Afghanistan,no,#N/A,,
Mine Clearance and Planning Agency,no,#N/A,,
Mine Detection Centre,no,Mine Detection Centre,NGOs,
Mines Advisory Group,no,#N/A,,
Mingalar Myanmar,no,#N/A,,
Ministry for Transportation and Infrastructure,no,#N/A,,
Ministry of Agriculture and Irrigation,no,#N/A,,
"Ministry of Agriculture, Irrigation and Livestock Afghanistan",no,#N/A,,
Ministry of Defense of Germany,no,#N/A,,
Ministry of Environment and University of Zurich,no,#N/A,,
Ministry of Foreign Affairs,no,#N/A,,
Ministry of Rural Rehabilitation and Development Afghanistan,no,#N/A,,
Minneapolis Foundation,private,#N/A,,
Minority Rights Group InterNational,no,#N/A,,
MINUSTAH,no,#N/A,,
MIR - MUXO Impact Relief,no,#N/A,,
MIRC Corporate,private,#N/A,,
Misereor,private,#N/A,,
Misericordia InterNational Center Day Care,no,#N/A,,
Mision para Cristo,private,#N/A,,
MISOLA,no,#N/A,,
"Mission 21, Basle",private,#N/A,,
Mission am Nill,private,Mission am Nill,NGOs,no
Mission Armenia,private,#N/A,,
Mission Austria - Päpstliche Missionswerke in österreich,private,#N/A,,
Mission Aviation Fellowship,private,Mission Aviation Fellowship,NGOs,no
Mission East,no,#N/A,,
Mission Enfance,no,#N/A,,
Mission Ost - DNK,no,#N/A,,
Missionnaires du Divin Maître,private,#N/A,,
Missionnaires du Divin Maître/Shabunda,no,#N/A,,
Missionsärztliches Institut Würzburg,no,#N/A,,
Missionszentrale der Franziskaner e.V.,private,#N/A,,
Mitsubishi Electric,private,#N/A,,
"Mitsui USA, Inc.",private,#N/A,,
MoAAH/FAO,no,#N/A,,
Mobilink Foundation,private,#N/A,,
Mohamed Bin Rashid Al Maktoum Humanitarian and Charity Establishment,private,#N/A,,
Moldova,no,#N/A,,
Molson Coors Brewing Company,private,#N/A,,
"Molycorp, Inc.",private,#N/A,,
Monaco,no,#N/A,,
Monaco Aide et Presence,private,#N/A,,
Monaco Red Cross,no,#N/A,,
MoneyGram InterNational,private,#N/A,,
Mongolia,no,#N/A,,
Mongolia Red Cross,no,#N/A,,
Mongolian Red Cross,no,#N/A,,
Monitoring Evaluation And Training Agency,no,#N/A,,
Monsanto Co.,private,#N/A,,
Montenegro,no,#N/A,,
Monterey Institute of InterNational Studies,no,#N/A,,
MONUC,no,#N/A,,
Moody's,private,#N/A,,
Moravian Church,private,#N/A,,
Morgan Stanley,private,#N/A,,
Morija,no,#N/A,,
Moroccan Red Crescent,no,#N/A,,
Morocco,no,#N/A,,
Morocco Red Crescent,no,#N/A,,
Mosaic Company,private,#N/A,,
Mother and Children Development Aid,no,#N/A,,
Mothers of Chechnya,private,#N/A,,
Motorola Foundation,private,#N/A,,
Movement Centre of Jeju Citizen to Cooperation between South and North,no,#N/A,,
"Movimiento por la Paz, el Desarme y la Libertad",no,#N/A,,
"Movimiento Por La Paz, El Desarme Y La Libertad, (E)",no,#N/A,,
MOVIMONDO,no,#N/A,,
Movitel,private,#N/A,,
Mozambique,no,#N/A,,
Mozambique Red Cross,no,#N/A,,
Mozambique Red Cross Society,no,#N/A,,
"MPDL - Movimiento por la Paz, el Desarme y la Libertad",no,#N/A,,
MPDL - PRTM,no,#N/A,,
MRCA - Medical Refresher Course for Afghan,no,MRCA - Medical Refresher Course for Afghan,NGOs,
MRCA / AMI,no,#N/A,,
MRRD/UNICEF,no,#N/A,,
MRRD/UNOPS,no,#N/A,,
MS Denmark,no,#N/A,,
MSD-DK,private,#N/A,,
MSI,no,#N/A,,
MSZ,no,#N/A,,
Mubadiroon Organisation,private,#N/A,,
Mubarak for Relief and Development Organization,no,#N/A,,
Muhammadiyah,private,#N/A,,
Mulrany InterNational,private,#N/A,,
Multi-Donor Fund Facility for Disaster Recovery-Indonesia,no,#N/A,,
Multi-Donor Trust Fund ,no,#N/A,,
Multi-Donor Trust Fund for the Sudan,no,#N/A,,
Multi-Donor Trust Fund for the Sudan ,no,#N/A,,
Multi-Donor Trust Fund for the Sudan South,no,#N/A,,
Multilateral Agencies,no,#N/A,,
MultiNational Interim Force,no,#N/A,,
Multiple Partners,no,#N/A,,
Museke Foundation,private,#N/A,,
Muslim Aid,no,#N/A,,
Muslim Aid and GlobalMedic,no,#N/A,,
Mvuramanzi Trust,no,#N/A,,
Mwelekeo Trust,no,#N/A,,
Myanmar,no,#N/A,,
Myanmar Business Coalition on AIDS,no,#N/A,,
Myanmar NGO Contingency Plan Steering Committee,no,#N/A,,
Myanmar Red Cross,no,#N/A,,
Myanmar Red Cross Society,no,#N/A,,
"NABA""A",no,#N/A,,
NAC,no,#N/A,,
Nachbar in Not,no,#N/A,,
NACSA - National Commission for Social Action - Sierra Leone  ,no,#N/A,,
NaCSA/World Bank,no,#N/A,,
Nærings- og Handelsdepartementet,no,#N/A,,
Næringslivets Hovedorganisasjon,private,#N/A,,
Nahda Makers Organization,no,#N/A,,
Nahdlatul Ulamu,private,#N/A,,
Najat Charitable Society,no,#N/A,,
Namibia,no,#N/A,,
Namibia CARES Movement,no,#N/A,,
Namibia Red Cross,no,#N/A,,
Namibian Red Cross,no,#N/A,,
Nasjonalt Folkehelseinstitutt,no,#N/A,,
Nathan Associates,private,#N/A,,
Nathan Cummings Foundation,private,#N/A,,
National Agency for the Prohibition of Traffic in Persons - Nigeria,no,#N/A,,
National Agricultural Cooperative Federation,no,#N/A,,
National Anti War Front,no,#N/A,,
National Bank of Canada,private,#N/A,,
National Basketball Association,private,#N/A,,
National Center for the Prevention of HIV/AIDS,no,#N/A,,
National Coalition of NGOs for Inter-Korea Agricultural Development and Cooperation,no,#N/A,,
"National COMMISSION FOR DEMINING AND REHABILITATION, JORDAN",no,#N/A,,
National Commission for Human Development,private,#N/A,,
National Commission for Lebanese Women,no,#N/A,,
National Committee for Demining and Rehabilitation,no,#N/A,,
National Committee for Disaster Management,no,#N/A,,
National Council of Churches in Australia,private,#N/A,,
National Council of Churches of Kenya,private,#N/A,,
National Council of Saemaul Undong Movement,no,#N/A,,
National Democratic Institute,no,#N/A,,
National Democratic Institute for InterNational Affairs/InterNational Republican Institute,no,#N/A,,
National Development Organization,no,#N/A,,
National Disaster Response Coordinating Council,no,#N/A,,
National Emergency Commission of Costa Rica,no,#N/A,,
"National Fishery Society, Peru",private,#N/A,,
National Football League,private,#N/A,,
National Foundation for Development and Human Rights,private,National Foundation for Development and Human Rights,NGOs,no
National Grid,private,#N/A,,
National Institution of Social Care & Vocational Training,no,#N/A,,
National Integrated & DevelopmeDewant Association (NIDA-Pakistan),no,#N/A,,
National Integrated Development Agency,no,#N/A,,
National Office for Electoral Process,no,#N/A,,
National Peace Corps Association,no,#N/A,,
National Primary Health Care Development Agency,no,#N/A,,
National Radio Appeal,no,#N/A,,
National Relief Committee,private,#N/A,,
National Rural Support Programme,no,#N/A,,
National Society for Earthquake Technology,no,#N/A,,
National Society for Rehabilitation,no,#N/A,,
National Space Agency of Ukraine,no,#N/A,,
Nationwide Insurance Foundation,private,#N/A,,
NATO / PfP,no,#N/A,,
Natur Environments & Wildlife Society and Calcutta Foundation,no,#N/A,,
Natures Way,private,#N/A,,
Naval Medical Research Unit,no,#N/A,,
Nawayee Rehabilitation and Development Organization for Afghan Women,private,#N/A,,
Near East Foundation,private,#N/A,,
NEC Corporation,private,#N/A,,
Nehemia Christenhilfsdienst e.V.,no,#N/A,,
Neighborhood Disaster Volunteers,no,#N/A,,
Neighbors Initiative Alliance,no,#N/A,,
NEM Insurance Company,private,#N/A,,
NEMA - National Emergency Management Agency,no,#N/A,,
Nepal,no,#N/A,,
Nepal Red Cross Society,no,#N/A,,
NEPCom,private,#N/A,,
Nestle,private,#N/A,,
Nestle USA,private,#N/A,,
Netherlands,no,#N/A,,
Netherlands Embassy in Namibia,no,#N/A,,
Netherlands Red Cross,no,#N/A,,
Netherlands Refugee Foundation,private,#N/A,,
"NetSol Technologies, Inc",private,#N/A,,
Network on Humanitarian Assistance,no,Network on Humanitarian Assistance,NGOs,
NETZ,no,#N/A,,
New Consultancy and Relief Organization,no,#N/A,,
New Iraqi Woman Organization,no,#N/A,,
New Ireland PDC,no,#N/A,,
New South Wales Relief Fund,no,#N/A,,
New York Life Insurance Company,private,#N/A,,
New York Yankees,private,#N/A,,
New Zealand,no,#N/A,,
New Zealand Red Cross,no,#N/A,,
Newman Foundation,private,#N/A,,
News Corp.,private,#N/A,,
Next Step AS,no,#N/A,,
Next Step Productions,no,#N/A,,
Nextel Peru,private,#N/A,,
Ngazi Moja Foundation,private,#N/A,,
NGO Consortium,no,#N/A,,
NGO Coordination Committee in Iraq,no,#N/A,,
NGO FORUM,no,#N/A,,
NGO Fridsro,no,#N/A,,
NGO Mondo,no,#N/A,,
NGO Ninez y Vida,no,#N/A,,
NGO Safety Program,no,#N/A,,
NGO Security Programme,no,#N/A,,
NGOs (details not yet provided),no,#N/A,,
NGOs; Red Cross (details not yet provided) ,no,#N/A,,
NGOs; Red Cross/Red Crescent (details not yet provided),no,#N/A,,
Nicaragua,no,#N/A,,
Nicaragua Red Cross,no,#N/A,,
Nicaraguan Forestry Institute,no,#N/A,,
Nicaraguan Red Cross,no,#N/A,,
Niger,no,#N/A,,
Niger Red Cross,no,#N/A,,
Nigeria,no,#N/A,,
Nigeria Red Cross,no,#N/A,,
Nigerian Red Cross Society,no,#N/A,,
NIISO,no,#N/A,,
Nike,private,#N/A,,
Nikon,private,#N/A,,
Nile Hope,no,#N/A,,
Nile Hope Development Forum,private,#N/A,,
Nile Mission,no,#N/A,,
Nile People's Peace Conference,no,#N/A,,
Niños de la Tierra,private,#N/A,,
Ninôs del Cusco,no,#N/A,,
Nintendo,private,#N/A,,
Nippon Foundation,private,#N/A,,
Nippon InterNational Cooperation for Community Development,no,#N/A,,
NIRAS,private,#N/A,,
NiSource Charitable Foundation,private,#N/A,,
Nissan Corporation,private,#N/A,,
NMIAD,no,#N/A,,
No channel specified,no,#N/A,,
Nobels Fredssenter,no,#N/A,,
Nokia,private,#N/A,,
Nomadic Assistance for Peace and Development,no,#N/A,,
Nomads Development and Environmental Conservation,no,#N/A,,
NOMECO,private,#N/A,,
Nomura Group,private,#N/A,,
Non Violent Peace Force ,no,#N/A,,
Non Violent Peace Force Sri Lanka ,no,#N/A,,
Non-Aligned Movement Institute for the Empowerment of Women,no,#N/A,,
Nonviolence InterNational,no,#N/A,,
Nonviolent Peaceforce,no,#N/A,,
Noor Al Hussein Foundation,private,#N/A,,
NOOR Dubai,private,#N/A,,
Nordic Demining Research Forum,no,#N/A,,
Nordic Institute of Asian Studies,no,#N/A,,
Nordic InterNational Rescue Foundation,private,#N/A,,
Norfund,no,#N/A,,
Norges Fredslag,no,#N/A,,
Norges Geotekniske Institutt,no,#N/A,,
Norges Juristforbund,no,#N/A,,
Normeca AS,private,#N/A,,
Norsk forbund f. utv.hemmede,no,#N/A,,
Norsk Fredssenter,private,#N/A,,
Norsk Luthersk Misjonssamband,no,#N/A,,
Norsk PEN,private,#N/A,,
Norsk Ressursbank for demokrati og menneskerettigheter,no,#N/A,,
Norsk senter for menneskerettigheter,no,#N/A,,
Norsk tamilsk helse organisasjon,no,#N/A,,
Norsk Vietnamesisk Senter,no,#N/A,,
Norske Menneskerettighetsfond,no,#N/A,,
Norske PEN,private,#N/A,,
Norske Pinsemenigheters Ytremisjon,no,#N/A,,
Norske Redningshunder,no,#N/A,,
North Atlantic Treaty Organization,no,#N/A,,
Northeast Asia Forest Forum,no,#N/A,,
Northern Aid,no,#N/A,,
Northern Trust Corporation,private,#N/A,,
Northfield Bank Foundation,private,#N/A,,
Northland Foundation,private,#N/A,,
Northrop Grumman Corp,private,#N/A,,
North-South Institute,no,#N/A,,
Northwest Medical Teams InterNational,no,#N/A,,
Northwest Woolen Mills,private,#N/A,,
Northwestern Mutual Corp.,private,#N/A,,
NORWAC - Norwegian Aid Committee,no,#N/A,,
Norway,no,#N/A,,
Norway Red Cross,no,#N/A,,
Norway Royal Ministry of Foreign Affairs,no,#N/A,,
Norwegian Afghanistan Committee,no,#N/A,,
Norwegian Aid Committee,private,Norwegian Aid Committee,NGOs,no
Norwegian Church Aid,no,#N/A,,
Norwegian Mission Association,no,#N/A,,
Norwegian Pentecostal Movement,private,#N/A,,
Norwegian People's Aid,no,#N/A,,
Norwegian Project Office-Rural Rehabilitation Association for Afghanistan,no,#N/A,,
Norwegian Red Cross,no,#N/A,,
Norwegian Refugee Council,no,#N/A,,
Norwegian Search and Rescue,no,#N/A,,
Norwegian Tamils Health Organisation,private,#N/A,,
Not on our Watch,no,#N/A,,
Novartis,private,#N/A,,
Novellus Systems,private,#N/A,,
NOVIB,no,#N/A,,
Novo Nordisk,private,#N/A,,
NTNU,no,#N/A,,
NU,no,#N/A,,
"Nuba Mountain Relief, Rehabilitation and Development Organization",no,#N/A,,
Nuba Mountains International Association for Development,no,#N/A,,
Nuer Peace Council,no,#N/A,,
Nukepills,private,#N/A,,
NUPI - Norsk utenr.pol. inst. ,no,#N/A,,
Nurani Dunia,private,#N/A,,
NYSE Euronext,private,#N/A,,
OAP,no,#N/A,,
Objectif Tiers Monde,no,#N/A,,
Observatorio San Calixo,private,#N/A,,
OCAPROCE,no,#N/A,,
Occidental Petroleum,private,#N/A,,
OCHA / IRIN,no,#N/A,,
OCHA / ISDR,no,#N/A,,
OCHA / REACT,no,#N/A,,
OCHA NGO Funds,no,#N/A,,
OCHA/UNDP,no,#N/A,,
OCHA/UNDP/ ISDR,no,#N/A,,
OCHA/UNEP,no,#N/A,,
Ockenden InterNational,no,#N/A,,
Oeuvre d'Orient,no,#N/A,,
Oeuvres hospitalières françaises de l'Ordre de Malte,no,#N/A,,
Office Depot,private,#N/A,,
Office for Drug Control and Crime Prevention,no,#N/A,,
Office for Intellectual Freedom ,no,#N/A,,
Office for the Coordination of Humanitarian Affairs,no,#N/A,,
Office of Preparedness for Disasters and Emergencies,no,#N/A,,
Office of the High Commissioner for Human Rights,no,#N/A,,
Office of the Humanitarian Coordinator,no,#N/A,,
Office of the Representative of Denmark to Afghanistan,no,#N/A,,
Office of the Representative of the Dalai Lama,no,#N/A,,
Office of the Resident and Humanitarian Coordinator,no,#N/A,,
Office of the United Nations Special Coordinator for the Middle East Peace Process,no,#N/A,,
Official Development Assistance,no,#N/A,,
Oficina Panamericana de la Salud ,no,#N/A,,
Òganizasyon Fanm tou Nèf Balan,no,#N/A,,
OIC Aid Committee for the Child Victims of Tsunami,no,#N/A,,
OIKOS - Intercooperação e Desenvolvimento ,no,#N/A,,
Oil for Food Programme,no,#N/A,,
OIP - Office of the Iraq Programme,no,#N/A,,
OJAZ Foundation,no,#N/A,,
Okedongmu Children in Korea,no,#N/A,,
Oklahoma City Community Foundation,private,#N/A,,
öKO HIMAL,no,#N/A,,
Olympic Aid,no,#N/A,,
Oman,no,#N/A,,
Oman Charitable Organisation,no,#N/A,,
Omega Plus,private,#N/A,,
Omidyar Fund,private,#N/A,,
One Buddhism,no,#N/A,,
One Korea Buddhist Movement,no,#N/A,,
One Shekel Campaign in WB,no,#N/A,,
"One UN Fund, EFW",no,#N/A,,
OneBeacon Charitable Trust,no,#N/A,,
ONG Actions,no,#N/A,,
ONGD - FNEL,private,ONGD - FNEL,NGOs,no
"Onnuri Church, Rep. of Korea",no,#N/A,,
ONUA - HRD,no,#N/A,,
öö Volkshilfe,no,#N/A,,
OPEC Fund for InterNational Development,no,#N/A,,
Open Continent,no,#N/A,,
Open Doors,private,#N/A,,
Open Society Foundation,private,#N/A,,
Open Society Institute,private,#N/A,,
Open Society Institute Assistance Foundation,private,#N/A,,
Operation Blessing InterNational,no,#N/A,,
Operation Helping Hand of Tampa,private,#N/A,,
"Operation Helping Hands, American Samoa",no,#N/A,,
Operation Lifeline Sudan,no,#N/A,,
Operation Mercy,no,#N/A,,
Operation Save Innocent Lives,no,#N/A,,
Operation USA,no,#N/A,,
Opération villages roumains,private,#N/A,,
Operations Team,no,#N/A,,
Opportunities Industrialisation Centres InterNational,no,#N/A,,
ORA e. V. Deutsher Hilfsfonds,no,#N/A,,
ORA InterNational Lobito,no,#N/A,,
Order of Malta,no,#N/A,,
Oregon Community Foundation,private,#N/A,,
Organisation de la conférence islamique ,private,#N/A,,
Organisation for Economic Co-operation and Development,no,#N/A,,
Organisation for Mine Awareness and Reconstruction,no,#N/A,,
Organisation for Mine Clearance and Afghan Rehabilitation / Mine Detection Dog Centre,no,#N/A,,
Organisation InterNationale de la Francophonie,no,#N/A,,
Organisation Marocaine Des Droits de l'homme,no,#N/A,,
Organisation of Islamic Cooperation,private,#N/A,,
Organisation of Rural Associations for Progress,private,Organisation of Rural Associations for Progress,NGOs,no
Organisation of the Islamic Conference,no,#N/A,,
Organization Catholique Pour la Promotion Humaine,no,#N/A,,
Organization for African Unity,no,#N/A,,
Organization for Security & Cooperation in Europe,no,#N/A,,
Organization for Social Development Initiatives,no,#N/A,,
Organization of American States,no,#N/A,,
Organization of Arab Red Crescent and Red Cross Society,no,#N/A,,
Organization of Petroleum Exporting Countries Fund,no,#N/A,,
Orphans and Divorced Rights Association,no,#N/A,,
Orthodox Church in America,private,#N/A,,
OshKosh Corp.,private,#N/A,,
Oslo Coalition on Freedom of Religion or Belief,private,#N/A,,
Oslosenteret for fred og menneskerettigheter,no,#N/A,,
österreichisches Nord-Süd-Institut,no,#N/A,,
Other income,no,#N/A,,
Ottawa Convention Sponsorship Programme,no,#N/A,,
Ottawa Convention Sponsorship Programme ,no,#N/A,,
Overseas Development Institute,no,#N/A,,
OXFAM,no,#N/A,,
Oxfam America,no,#N/A,,
OXFAM Australia,no,#N/A,,
OXFAM Belgium,no,#N/A,,
OXFAM Canada,no,#N/A,,
OXFAM GB,no,#N/A,,
OXFAM Hong Kong,no,#N/A,,
Oxfam India,no,#N/A,,
OXFAM InterNational,no,#N/A,,
OXFAM Ireland,no,#N/A,,
Oxfam Italia,no,#N/A,,
OXFAM Netherlands (NOVIB),no,#N/A,,
OXFAM Quebec,no,#N/A,,
OXFAM Solidarite,no,#N/A,,
OXFAM/Community Aid Abroad (OXFAM-Australia),no,#N/A,,
Oxford Research Group,no,#N/A,,
Oxford University,no,#N/A,,
PA_05,no,#N/A,,
PACCAR Inc.,private,#N/A,,
Pacific Islands Forum,no,#N/A,,
Packard Foundation,private,#N/A,,
Pact Inc.,private,#N/A,,
PACT Myanmar,no,#N/A,,
PACTEC,no,#N/A,,
"PADCO, WWCIS, ASI",no,#N/A,,
PAICMA,no,#N/A,,
PAIMAN Alumni Trust,no,#N/A,,
Pain Pour Les Déshérités (PPLD),no,#N/A,,
Pak Rural Development Program,private,#N/A,,
Pakistan,no,#N/A,,
Pakistan Association  in Dubai,private,#N/A,,
Pakistan Humanitarian Forum (consortium),no,#N/A,,
Pakistan Red Crescent,no,#N/A,,
Pakistan Red Crescent Society,no,#N/A,,
Pakistan Telecommunication Company LTD.,private,#N/A,,
Pakistan Village Development Program,no,#N/A,,
Pakistansk Velferdsorganisasjon Norge,no,#N/A,,
Palau,no,#N/A,,
Palau Red Cross,no,#N/A,,
Palau Red Cross Society,no,#N/A,,
Palestinakomiteen i Norge,no,#N/A,,
Palestine Red Crescent Society,no,#N/A,,
Palestine Right to Return Coalition,no,#N/A,,
Palestine Solidarity Organisation in Sweden,no,#N/A,,
Palestinian Agricultural Relief Committees,no,#N/A,,
Palestinian Al Nakheel Association for Progress and Development,no,#N/A,,
Palestinian Association for Development and Reconstruction,no,#N/A,,
Palestinian Authority,no,#N/A,,
Palestinian Center of Organic Agriculture,no,#N/A,,
Palestinian Environmental Friends,no,#N/A,,
Palestinian Farmers Union,no,#N/A,,
Palestinian Human Rights Monitoring Group,no,#N/A,,
Palestinian Hydrological Group,no,#N/A,,
Palestinian Medical Relief Society,no,#N/A,,
Palestinian Peace Coalition,private,#N/A,,
Palestinian Peace Coalition ,no,#N/A,,
Palestinian Red Crescent Society,no,#N/A,,
"Palestinian territory, occupied",no,#N/A,,
Pan American Development Foundation,private,Pan American Development Foundation,NGOs,no
Pan American Health and Education Foundation,private,#N/A,,
Panalpina Airfreight Incorporated,private,#N/A,,
Panama,no,#N/A,,
Panamanian Red Cross,no,#N/A,,
Pan-American Health Organization (World Health Organization),no,#N/A,,
Panasonic,private,#N/A,,
Panhealth Care Organization,no,Panhealth Care Organization,NGOs,
Panzi Hospital,no,#N/A,,
PAP,no,#N/A,,
Papua New Guinea,no,#N/A,,
Papua New Guinea Red Cross,no,#N/A,,
Papua New Guinea Red Cross Society,no,#N/A,,
"Paradigm of Consciousness Ministries, Inc. ",no,#N/A,,
Paraguay,no,#N/A,,
Paraguay Red Cross,no,#N/A,,
Paraguayan Red Cross,no,#N/A,,
PARCIC,no,#N/A,,
PARD,no,#N/A,,
Parliamentarians for Global Action,no,#N/A,,
Parliamentary Forum,no,#N/A,,
Paroecia Latina S.Catharinae,no,#N/A,,
Parroquia Jesus Redentor,private,#N/A,,
Partage,no,#N/A,,
Parthenon Trust,no,#N/A,,
Participatory Educational Awareness and Community Empowerment,no,#N/A,,
Participatory Integrated Development Society,no,#N/A,,
Participatory Rural Development Society,no,#N/A,,
Partner Aid InterNational,no,#N/A,,
Partner Aid International e.V.,no,#N/A,,
PARTNERS,no,#N/A,,
Partners in Health,no,#N/A,,
Partners in Rural Development,no,#N/A,,
Partnership Africa Canada,no,#N/A,,
Partnership Center for Development and Democracy,no,#N/A,,
Partnership for Pastoralists Development Association,private,#N/A,,
Partnership for Peace,no,#N/A,,
Pastoral Social,private,#N/A,,
Pastoralist Concern Association Ethiopia,no,#N/A,,
Pastoralist Consultants InterNational,private,#N/A,,
Pastoralist Development Organization,private,#N/A,,
Pastoralist Integrated Support Programme,no,#N/A,,
Pathfinder InterNational,no,#N/A,,
Patient Friendly Society,no,#N/A,,
Patient's Help Fund,no,#N/A,,
Pattan Development Organization,no,#N/A,,
Patton Boggs LLP ,private,#N/A,,
Paul Hastings,private,#N/A,,
Pax Christi e.V,no,#N/A,,
PCPM - Polish Center for InterNational Aid,no,#N/A,,
PCPM - Polish Center for InterNational Aid ,no,#N/A,,
Peace Action Society Organisation for Somalia,no,#N/A,,
Peace and Conflict Institution,no,#N/A,,
Peace and Development Organization,no,#N/A,,
Peace Brigades InterNational,no,#N/A,,
Peace Building Fund,no,#N/A,,
Peace Corps,no,#N/A,,
Peace Corps Organization,private,Peace Corps Organization,DAC governments,no
Peace Keeping Funds,no,#N/A,,
Peace Winds,no,#N/A,,
Peace Winds Japan,no,#N/A,,
Peacekeeping Forces,no,#N/A,,
PEGASE,no,#N/A,,
Pelayanan Advokasi untuk Keadilan dan Perdamaian Indonesia,no,#N/A,,
Pema Medical Charity,private,#N/A,,
PEN InterNational,private,#N/A,,
Pentair,private,#N/A,,
Pentecostal Churches of Uganda,private,#N/A,,
Pentecostal Foreign Mission,no,#N/A,,
People in Aid,no,#N/A,,
People in Need ,no,#N/A,,
People in Peril,no,#N/A,,
Peoples Democracy Platform,private,#N/A,,
Peoples Empowerment and Consulting Enterprise,no,#N/A,,
Peoples' Organization for Development and Rehabilitation,no,Peoples' Organization for Development and Rehabilitation,NGOs,
PepsiCo Foundation,private,#N/A,,
Père Jaar,no,#N/A,,
Periodic Review  - TCG ,private,#N/A,,
Perkumpulan Paluma Nusantara,no,#N/A,,
Perry Ellis InterNational,private,#N/A,,
Perspectives pour la Santé et le Développement,no,#N/A,,
Peru,no,#N/A,,
Peru Rail,private,#N/A,,
Peru Red Cross,no,#N/A,,
Peruvian Private Enterprise Colchones Paraiso,private,#N/A,,
Peruvian Red Cross,no,#N/A,,
Petits Frères et Soeurs,private,#N/A,,
Petroleos de Venezuela,private,#N/A,,
Pew Charitable Trusts ,no,#N/A,,
Pfizer,private,#N/A,,
Pharmaciens et Aide humanitaire,private,#N/A,,
Pharmaciens Sans Frontieres - Comite InterNational,no,#N/A,,
Pharmaciens sans Frontières (France),no,#N/A,,
Pharmaciens sans frontières (PSF),no,#N/A,,
Philadelphia Insurance Companies,private,#N/A,,
Philani Maswati Organization,private,#N/A,,
Philippine Business for Social Progress,private,#N/A,,
Philippine Red Cross ,no,#N/A,,
Philippines,no,#N/A,,
Philippines National Red Cross ,no,#N/A,,
PHRO - Palestinian Human Rights Organisation ,no,#N/A,,
Physicians Across Continents,no,#N/A,,
Physicians for Human Rights,no,#N/A,,
PIAL,no,#N/A,,
PIDAD,no,#N/A,,
Pietrantoni Mendez & Alvarez LLP,private,#N/A,,
PIPA,no,#N/A,,
Pirelli & C. Societa per Azioni,private,#N/A,,
Plan Benin,no,#N/A,,
Plan Canada,no,#N/A,,
Plan Haiti,no,#N/A,,
Plan Indonesia ,no,#N/A,,
Plan InterNational,no,#N/A,,
Plan Ireland,no,#N/A,,
Plan Mali,no,#N/A,,
Plan Niger,no,#N/A,,
Plan Norge,no,#N/A,,
Plan Sudan,no,#N/A,,
Plan Sweden,no,#N/A,,
Plan Timor-Leste,no,#N/A,,
Plan UK,no,#N/A,,
Plan USA,no,#N/A,,
PLANAT,no,#N/A,,
Planeta,no,#N/A,,
Planete Urgence,no,#N/A,,
"Planned Parenthood Federation, InterNational",private,#N/A,,
Planning and Development Collaborative InterNational,private,#N/A,,
"Plateforme d""insertion par l""humanitaire",no,#N/A,,
PLO DoRA,no,#N/A,,
PMU-Interlife,no,#N/A,,
Point of Peace,private,#N/A,,
