country,continent,regionUN,subregionUN,totalpop2015,under5pop,urbanpop,over65pop,u5mr2009,u5mr2010,u5mr2011,u5mr2012,u5mr2013,yearpov125_1,poverty125_1,yearpov125_2,poverty125_2,yearpov125_3,poverty125_3,yearpov125_4,poverty125_4,yearpov2_1,poverty2_1,yearpov2_2,poverty2_2,yearpov2_3,poverty2_3,yearpov2_4,poverty2_4,yearGDP_1,GDP_1,yearGDP_2,GDP_2,yearGDP_3,GDP_3,yearGDP_4,GDP_4,yearGDP_5,GDP_5,year_gini,value_gini,year_stunting_current,prev_stunting_current,number_stunting_current,current_aarr_stunting,reqd_aarr_stunting,stunting_progress,year_u5overweight,prev_u5overweight,number_u5overweight,current_aarr_u5overweight,reqd_aarr_u5overweight,u5overweight_progress,year_wasting,prev_wasting,number_wasting,wasting_progress,year_sev_wasting,number_sev_wasting,prev_sev_wasting,year_ebf_current,value_ebf_current,EBF_progress,year_lbw,LBW,year_stuntingtrend1,rate_stuntingtrend1,year_stuntingtrend2,rate_stuntingtrend2,year_stuntingtrend3,rate_stuntingtrend3,year_stuntingtrend4,rate_stuntingtrend4,year_stuntingtrend5,rate_stuntingtrend5,year_adolOWOB,AdolOW,AdolOB,year_heightBMI,prev_height145,prev_BMI185,year_adult_OB_OW,ow_male,ow_female,ow_bothsexes,ob_male,ob_female,ob_bothsexes,year_WRAanaemia,WRAanaemia_RATE,WRAanaemia_NUMBER,year_WHAtarget_WRAanaemia,WHAtarget_WRAanaemia1,year_vitA_def,prevalence_vita,year_IodineNutrition,Class_IodineNutrition,year_bloodglucose,BGboth,BGmale,BGfemale,year_bloodpressure,BPboth,BPmale,BPfemale,year_cholesterol,cholesterol_BOTH,cholesterol_MALE,cholesterol_FEMALE,YearMAD,MADTotal,YearMDD,MDDtotal,year_UNICEF_ANC_4,value_UNICEF_ANC_4,year_skilled,value_UNICEF_skilled_att,yearearly,early_BF,year_continued_BF,continued_BF,year_UNpop_Unmet_Needs,UnmetneedTotal,year_EBFtrend_1,EBF_trend_1,Source_EBFtrend1,year_EBFtrend_2,EBF_trend_2,Source_EBFtrend_2,year_EBFtrend_3,EBF_trend_3,Source_EBFtrend_3,year_SAM,SAMcoverage_rate,year_vitA_coverage,vitaminAdosecoverage,year_ORS,ORS,year_DTP,DTP3,year_Iodised,householdconsumingsalt,value_undernourishment1991,value_undernourishment2000,value_undernourishment2010,value_undernourishment2015,fruitandveg_gram1990,fruitandveg_gram2000,fruitandveg_gram2010,fruitandveg_gram2011,value_nonstaples1991,value_nonstaples2000,value_nonstaples2009,value_nonstaples2012,gender_inequality_year,gender_inequality_index,gender_inequality_rank,yearphysician,valuephysician,yearnurse,valuenurse,yearhealthworker,valuehealthworker,year_early_childbearing,early_childbearing,year_femaleED_1,rate_femaleED_1,year_femaleED_2,rate_femaleED_2,year_femaleED_3,rate_femaleED_3,year_femaleED_4,rate_femaleED_4,year_femaleED_5,rate_femaleED_5,water_piped1990,water_othimprov1990,water_unimprov1990,water_surface1990,water_piped2000,water_unimprov2000,water_othimprov2000,water_surface2000,water_piped2015,water_othimprov2015,water_unimprov2015,water_surface2015,san_improved1990,san_shared1990,san_othunimprov1990,san_opendef1990,san_improved2000,san_shared2000,san_othunimprov2000,san_opendef2000,san_improved2015,san_shared2015,san_othunimprov2015,san_opendef2015,totag_ppp1990,toteducation_ppp1990,tothealth_ppp1990,totsp_ppp1990,totag_ppp2000,toteducation_ppp2000,tothealth_ppp2000,totsp_ppp2000,totag_ppp2010,toteducation_ppp2010,tothealth_ppp2010,totsp_ppp2010,totag_ppp2012,toteducation_ppp2012,tothealth_ppp2012,totsp_ppp2012,year_code_bf,Code_breastfeeding,year_RTF,RTF_level1,year_maternityprotection,cat_maternityprotection,year_FFI,Fortification,year_policyrank,undernutritionrank_1to126,overnutritionrank_1to116,year_NCDpolicy,hypertension_policy,diabetes_policy,year_SUN,SUN_Process1,SUN_Process2,SUN_Process3,SUN_Process4,SUN_TotalAccomplished
Saint Lucia,Americas,Latin America and the Caribbean,Caribbean,185,14,15,18,16,16,15,15,15,,,,,,,1995,21,,,,,,,1995,41,2014,9917,2013,10152,2012,10275,2011,10535,2010,10515,2012,41,2012,3,0,,3,,2012,6,1,,0.0,,2012,4,1,on course,2012,0,0.699999988,,,,2011,10.1,,,,,,,,,2012,3,,,,,,,2014,51,63,57,20,34,27,2011,26,13,2011,Currently off course,2013,5,,,2008,11,10,12,2008,42,46,38,2008,38,35,40,,,,,2012,90.3,2012,99,2012,49.6,,,2012,17,,,.,,,.,,,.,2012,,,,,,2013,99,,45.5,,,,,556,559,356,322,,,,,2013,,,2009,0.108,2005,2.025,,,,,2013,88,2012,90,2011,93,2010,95,2009,97,68,25,7,,76,6,18,,87,9,4,,78,6,5,11,83,6,3,8,91,7,0,2,,,,,,,,,,,,,,,,,,.,.,,2011,Partial,,Mandatory,2008,126,116,2010,"Available, fully implemented","Available, fully implemented",,,,,,
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Caribbean,109,9,51,14,21,21,20,20,19,,,,,,,,,,,,,,,,,2014,10131,2013,10177,2012,9997,2011,9883,2010,9935,2003,35,,,,,,,,,,,,,,,,,,,,,,,2011,10.6,,,,,,,,,,,,,,,,,2014,51,61,56,18,31,24,2011,25,7,2011,Currently off course,2013,8,,,2008,12,11,13,2008,41,45,38,2008,36,33,39,,,,,,,2012,99,,,,,,,,,.,,,.,,,.,2012,,,,,,2013,96,,,20.70000076,18.89999962,6.800000191,6.199999809,279,355,981,679,63,58,66,,2013,,,2001,0.525,2001,4.034,2000,0.381,,,2013,101,2012,99,2011,100,2010,109,2009,112,52,36,12,,74,7,19,,,,5,,63,,33,4,73,,23,4,,,,,6.3,15.4,12.9,1.9,2.8,14.7,11.4,9.9,,,,,,,,,,.,.,,2011,Partial,,Mandatory,2013-2025,62,54,.,,,,,,,,
Samoa,Oceania,Oceania,Polynesia,193,24,19,10,19,19,19,18,18,,,,,,,,,,,,,,,,,2014,5525,2013,5502,2012,5654,2011,5675,2010,5405,2006,45,,,,,,,,,,,,,,,,,,,,2009,51,,2009,10.2,,,,,,,,,1999,6,2011,51.7,19.2,,,,2014,69,80,74,36,51,43,2011,18,8,2011,Currently off course,2013,6,,,2008,22,21,24,2008,43,47,39,2008,35,31,38,,,,,2009,58.4,2009,81,2009,87.6,2009,72,2009,47.7,,,.,,,.,2009,51.3,DHS,2012,,,,2009,68,2013,95,,,10.69999981,6.599999905,,,420,485,574,527,68,69,71,,2013,0.517,111,2008,0.452,2008,1.851,,,,5,2012,90,2011,92,2010,94,2009,93,2007,90,74,15,11,0,80,7,14,0,85,14,0,1,93,6,1,0,92,6,2,0,91,6,3,0,,,,,,,,,,,,,,,,,,.,.,,.,,2015,,2012-2016,90,6,2010,"Available, partially implemented","Available, partially implemented",,,,,,
San Marino,Europe,Europe,Southern Europe,32,,94,,4,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,36,,,,,,,,,,,,,,,,,,,,,,,2011,10,,,,,,,,,,,,,,,,,2014,,,,,,,2011,,,2011,,,,,,2008,,,,2008,,,,2008,,,,,,,,,,.,,,,,,,,,,.,,,.,,,.,2012,,,,,,2013,69,,,,,,,,,,,,,,,2013,,,2013,5.1,2013,8.831,,,,,,,,,2011,96,2010,98,2009,97,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,.,,2011,Yes,,No Fortification,,,,.,,,,,,,,
Sao Tome and Principe,Africa,Africa,Middle Africa,203,31,65,6,59,57,55,53,51,,,,,2010,44,2000,28,,,,,2010,73,2000,54,2014,2923,2013,2876,2012,2837,2011,2801,2010,2743,2005,36,2008,32,9,2,5,Off course - Some progress,2008,12,3,-4.300000191,2.9,Off course - No progress,2008,11,3,off course,2008,0,4.900000095,2008,51,Off course no progress,2008,9.9,,,2008,32,2006,29,2000,35,1986,32,,,,2008,1.2,5.1,2014,27,43,35,6,18,12,2011,43,18,2011,Currently off course,2013,48,,,2008,10,9,10,2008,51,53,50,2008,18,16,20,,,,,2008,72.4,2008-2009,82,2008,45.4,2008,92,2009,37.6,2000,56.2,MICS,2006,60.4,MICS,2008-09,51.4,DHS,2012,,2013,67,2009,49,2013,97,2009,64.8,22.89999962,21.5,6.199999809,6.599999905,234,571,631,629,48,50,53,,2013,,,2004,0.491,2004,1.867,2004,2.267,2008-2009,25,2013,85,2012,76,2011,65,2010,53,2009,54,,,,,23,6,55,16,33,64,1,2,,,,,21,4,5,71,35,6,5,54,,,,,,,,,,,,,,,,,2014,No information,2003,Medium low,2011,No,,No Fortification,2012-2016,75,116,2010,Not available,Not available,,,,,,
Saudi Arabia,Asia,Asia,Western Asia,29898,2864,83,6,18,17,17,16,16,,,,,,,,,,,,,,,,,2014,52096,2013,51294,2012,50916,2011,49230,2010,45598,2010,57,2005,9,261,,3,,2005,6,171,,0.0,,2005,12,332,off course,2005,0,4.5,,,,2012,8.8,,,,,,,2005,9,1994,21,,,,,,,2014,68,72,70,30,41,35,2011,40,2832,2011,Currently off course,2013,9,1994-5,Optimal iodine nutrition,2008,22,22,22,2008,41,43,39,2008,39,36,42,,,,,,,2008,97,,,,,,,,,.,,,.,,,.,2012,,,,,,2013,98,,,,,,,695,505,477,498,51,49,50,,2013,0.321,56,2012,2.491,2012,4.867,,,,,2013,117,2012,113,2011,109,2010,104,2009,96,58,34,8,,63,5,32,,,,3,,92,,3,5,97,,0,3,100,,0,0,,,,,,,,,,,,,,,,,2014,Law,2003,Medium low,2011,No,,Mandatory,2015-2019,126,116,2010,"Available, not implemented","Available, not implemented",,,,,,
Senegal,Africa,Africa,Western Africa,14967,2494,44,6,71,66,62,58,55,2011,34,2005,34,2001,44,1994,53,2011,60,2005,60,2001,71,1994,79,2014,2206,2013,2185,2012,2174,2011,2163,2010,2182,,,2014,19,473,-12,5,Off course - No progress,2014,1,32,-36.27999878,5.5,On course - At risk,2014,6,142,off course,2014,0,0.699999988,2014,33,Off course no progress,2010,18.6,2014,19,2013,19,2012,16,2011,29,2005,20,,,,2010,0.2,18.6,2014,22,38,30,5,15,10,2011,58,1795,2011,Currently off course,2013,40,1996-7,Moderate iodine deficiency,2008,10,9,11,2008,45,47,44,2008,21,20,23,2010,9,2010,27.4,2012,46.5,2010-2011,65,2010,48,2010,97,2013,29.3,2010-2011,39,DHS,2012-13,37.5,DHS,2014,33,DHS,2012,50.6,2013,99,2012,17.2,2013,92,2011,43,24.5,29.39999962,13.60000038,24.60000038,108,159,214,200,35,39,40,,2013,0.537,119,2008,0.059,2008,0.42,,,2012-2013,18,2011,39,2010,34,2008,27,2006,21,2005,19,18,42,39,1,31,32,37,1,53,26,20,1,36,11,16,37,40,12,20,28,48,15,23,14,5.1,,,,7.5,,,,7.6,,,,9.1,,,,2014,Many provisions law,2003,Medium,2011,Yes,,Mandatory,2013-2017,10,29,2010,Not available,"Available, partially implemented",2014,64,62,55,62,61
Serbia,Europe,Europe,Southern Europe,9424,455,58,30,8,8,7,7,7,2010,0,2009,0,2008,0,2007,0,2010,0,2009,1,2008,0,2007,1,2014,12717,2013,12889,2012,12505,2011,12572,2010,12301,,,2014,6,28,2,2,On course - Good progress,2014,14,64,2.839999914,6.1,Off course - Some progress,2014,4,18,on course,2014,0,1.100000024,2014,13,Off course no progress,2011,6.1,,,,,2014,6,2010,7,2005,8,,,,,,,2014,60,49,55,19,21,20,2011,25,590,2011,Currently off course,,,,,2008,9,10,8,2008,47,50,43,2008,50,47,52,2014,72,2014,89.6,2010,94.2,2010,100,2014,50.8,2014,25,2014,14.9,2005,15.1,MICS,2010,13.7,MICS,2014,12.8,MICS,2012,,,,2010,36,2013,95,2007,32.2,,,,,,,510,571,,,61,,2013,,,2009,2.114,,,,,,3,2013,96,2012,93,2011,92,2010,92,2009,93,,,1,0,80,1,20,0,94,5,1,0,97,1,2,0,97,1,2,0,96,1,3,0,,,,,,,,,3.0,13.4,0.9,38.9,3.3,12.4,0.8,37.1,,.,2003,Medium,2011,Yes,,No Fortification,2010-2020,126,116,2010,"Available, fully implemented","Available, fully implemented",,,,,,
Seychelles,Africa,Africa,Eastern Africa,94,8,55,16,14,14,14,14,14,,,,,2006,0,1999,0,,,,,2006,2,1999,0,2014,25038,2013,24805,2012,23685,2011,22556,2010,20364,,,2012,8,1,,3,,2012,10,1,,2.8,,2012,4,0,on course,2012,0,1.200000048,,,,,,,,,,,,2012,8,1988,8,2007,24.5,10.6,,,,2014,47,63,55,17,36,26,2011,21,5,2011,Currently off course,2013,25,,,2008,14,14,13,2008,46,50,42,2008,58,59,55,,,,,,,.,,,,,,,,,,.,,,.,,,.,2012,,,,,,2013,98,,,,,,,,,,,,,,,2013,,,2012,1.067,2012,4.808,,,,,2012,80,2011,79,2010,77,2009,81,2008,82,,,1,4,,1,96,4,94,2,1,4,98,,1,1,98,,1,1,98,,1,1,,,,,2.9,7.3,6.9,14.1,1.5,10.9,11.6,6.0,0.7,13.0,11.2,13.6,,.,2003,Medium,2011,Yes,,No Fortification,2012-2020,106,37,2010,"Available, fully implemented","Available, fully implemented",,,,,,
Sierra Leone,Africa,Africa,Western Africa,6319,949,41,5,181,175,171,166,161,,,2011,57,2003,59,1989,63,,,2011,83,2003,82,1989,75,2014,1959,2013,1865,2012,1582,2011,1400,2010,1347,,,2013,38,354,5,4,On course - Good progress,2013,9,83,4.75,2.0,Off course - Some progress,2013,9,88,off course,2013,0,4.300000191,2013,32,Off course no progress,2010,10.5,2013,38,2010,45,2008,37,2005,47,2000,38,,,,2013,2,8.2,2014,18,34,26,3,12,8,2011,45,671,2011,Currently off course,2013,53,,,2008,10,9,10,2008,49,49,49,2008,16,14,18,2013,7,2013,16.1,2010,74.7,2013,60,2013,53.8,2013,86,2013,25,2008,11.2,DHS,2010,31.6,MICS,2013,32,DHS,2012,30.4,2013,99,2013,85.1,2013,92,2010,62.6,42.79999924,38,29,22.29999924,213,216,263,256,39,36,37,,2013,0.643,141,2010,0.022,2010,0.166,2010,0.022,,38,,,2013,42,2012,47,2011,39,2001,22,6,31,23,40,6,21,41,32,5,58,16,21,10,23,47,20,11,26,41,22,13,31,32,24,3.0,13.3,9.6,2.3,,,,,,,,,,,,,2014,Measure drafted awaiting final approval,2003,Medium high,.,,,Mandatory,2013-2018,15,91,2010,Not available,Not available,2014,75,58,53,44,58
Singapore,Asia,Asia,South-Eastern Asia,5619,290,100,22,3,3,3,3,3,,,,,,,,,,,,,,,,,2014,78958,2013,77721,2012,75630,2011,74949,2010,72056,,,,,,,,,,,,,,,,,,,,,,,,,2011,9.5,,,,,,,,,2000,4,,,,,,,2014,38,28,33,6,7,6,2011,22,297,2011,Currently off course,,,,,2008,6,8,5,2008,35,38,31,2008,58,56,59,,,,,,,1998,100,,,,,,,,,.,,,.,,,.,2012,,,,,,2013,97,,,,,,,,,,,,,,,2013,0.09,15,2013,1.95,2013,5.76,,,,,,,,,,,,,,,100,0,0,0,100,0,0,0,100,0,0,0,99,,1,0,100,,0,0,100,,0,0,0.7,14.4,4.6,2.1,0.7,12.4,5.1,3.5,0.2,21.0,8.1,7.7,0.3,21.3,9.9,13.2,2014,Some provisions voluntary,.,,2011,Yes,,No Fortification,2015-2030,126,116,2010,"Available, fully implemented","Available, fully implemented",,,,,,
Slovakia,Europe,Europe,Eastern Europe,5458,289,55,27,8,8,8,8,7,2011,0,2010,0,2009,0,2008,0,2011,0,2010,1,2009,0,2008,0,2014,26355,2013,25759,2012,25424,2011,25066,2010,24438,,,,,,,,,,,,,,,,,,,,,,,,,2012,7.9,,,,,,,,,,,,,,,,,2014,66,56,61,25,27,26,2011,23,331,2011,Currently off course,,,2002,Optimal iodine nutrition,2008,10,11,9,2008,46,50,42,2008,53,53,52,,,,,,,2010,99,,,,,,,,,.,,,.,,,.,2012,,,,,,2013,98,,,,,,,,407,428,430,,62,65,,2013,0.164,32,2012,3.32,2012,6.066,,,,,2012,94,2011,94,2010,93,2009,92,2008,92,94,6,0,0,95,0,4,0,98,2,0,0,99,1,0,0,99,1,0,0,99,1,0,0,,,,,3.5,6.9,10.0,4.1,3.8,11.2,16.0,7.0,3.7,10.2,16.3,6.6,2014,Being studied,2003,Medium high,2011,Yes,,No Fortification,2014-2020,126,116,2010,"Available, fully implemented","Available, fully implemented",,,,,,
Slovenia,Europe,Europe,Southern Europe,2079,105,50,35,4,3,3,3,3,,,,,,,,,,,,,,,,,2014,28059,2013,27368,2012,27682,2011,28492,2010,28377,,,,,,,,,,,,,,,,,,,,,,,,,2012,6,,,,,,,,,,,,,,,,,2014,66,55,61,25,26,25,2011,24,113,2011,Currently off course,,,,,2008,10,11,9,2008,46,50,42,2008,56,57,55,,,,,,,2010,100,,,,,1995,9.2,,,.,,,.,,,.,2012,,,,,,2013,95,,,,,,,,641,552,568,58,61,63,,2013,0.021,1,,,,,,,,,2012,97,2011,97,2010,97,2009,98,2008,98,100,0,0,0,100,0,0,0,99,1,0,0,99,1,0,0,99,1,0,0,99,1,0,0,,,,,2.0,13.4,13.8,37.1,1.0,13.4,14.0,37.7,0.9,13.3,14.5,36.8,2014,Many provisions law,2003,Medium,2011,Yes,,No Fortification,2014-2015,126,116,2010,"Available, fully implemented","Available, fully implemented",,,,,,
Solomon Islands,Oceania,Oceania,Melanesia,584,82,22,7,33,33,32,31,30,,,,,,,,,,,,,,,,,2014,2030,2013,2041,2012,2024,2011,1975,2010,1787,,,2007,33,25,,5,,2007,3,2,,0.0,,2007,4,3,on course,2007,0,1.399999976,2007,74,,2007,12.5,,,,,,,2007,33,1989,34,2011,20,2.2,,,,2014,53,67,60,22,34,28,2011,25,34,2011,Currently off course,2013,8,,,2008,18,17,18,2008,37,39,36,2008,33,30,37,,,,,2007,64.6,2007,86,2007,75,2007,84,2007,11.1,,,.,,,.,2007,73.7,DHS,2012,,,,2007,37.7,2013,83,,,24.79999924,15,10.89999962,11.30000019,193,153,198,189,35,30,33,,2013,,,2009,0.224,2009,2.053,,,,15,2012,47,2011,46,2010,45,2007,32,2006,31,,,,,23,13,56,8,26,55,12,7,,,,,26,,17,57,30,,16,54,,,,,,,,,,,,,,,,,,.,.,,2011,Partial,,Mandatory,2011-2020,27,22,2010,Not available,"Available, partially implemented",,,,,,
Somalia,Africa,Africa,Eastern Africa,11123,2033,40,6,164,159,155,150,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,26,461,0,6,Off course - Some progress,2009,3,52,14.86999989,0.0,On course - Good progress,2009,15,265,off course,2009,0,5,2009,5,Off course no progress,,,,,,,2009,26,2006,42,2000,29,,,,,,,2014,15,27,21,2,7,5,2011,43,934,2011,Currently off course,2013,60,,,2008,8,8,8,2008,46,48,45,2008,25,24,26,,,,,2006,6.3,2006,33,2006,26.3,2006,50,,,2000,9,MICS,2006,9.1,MICS,2009,5.3,NS,2012,,,,2006,13.21815119,2013,42,2009,3.9,,,,,119,88,91,88,,,,,2013,,,2006,0.035,2006,0.114,,,,,,,,,,,,,2007,5,0,,,,4,56,19,21,,,,,,,,,22,15,11,53,,,,,,,,,,,,,,,,,,,,,2014,No action,.,,2011,Yes,,No Fortification,2012-2016,56,116,2010,Not available,Not available,,,,,,
South Africa,Africa,Africa,Southern Africa,53491,5268,64,11,63,53,48,45,44,2011,9,2009,14,2006,17,2000,26,2011,26,2009,31,2006,35,2000,43,2014,12446,2013,12454,2012,12375,2011,12291,2010,12087,,,2008,24,1305,2,3,Off course - Some progress,,,,-13.05000019,,,2008,5,257,on course,,,,2003,8,,,,2008,24,2004,33,1999,30,1995,29,1994,32,,,,,,,2014,43,64,54,16,37,27,2011,28,3725,2011,Currently off course,2013,45,1998,Optimal iodine nutrition,2008,12,12,12,2008,46,48,44,2008,36,32,38,,,,,2008,87.1,2003,91,2003,61.1,2003,66,2004,13.8,,,.,1998,6.9,DHS,2003,8.3,DHS,2012,,2013,42,2003,40,2013,65,,,,,,,234,235,216,231,45,43,47,,2013,0.461,94,2013,0.776,2013,5.114,2004,0.203,2003-2004,15,2013,114,2012,103,2011,100,2010,97,2009,95,56,27,4,13,62,5,25,9,73,20,4,3,51,17,18,14,57,19,14,10,66,22,8,4,,,,,0.4,3.5,2.4,0.3,0.5,3.0,3.9,0.1,0.6,4.9,2.8,10.7,2014,Law,2003,High,2011,Yes,,Mandatory,2012-2030,30,31,2010,"Available, fully implemented","Available, fully implemented",,,,,,
South Sudan,Africa,Africa,Eastern Africa,12152,1882,19,7,116,111,107,103,99,,,,,,,,,,,,,,,,,2014,2574,2013,1965,2012,1810,2011,3505,2010,3838,,,2010,31,498,4,6,Off course - Some progress,2010,6,96,13.85999966,0.0,On course - Good progress,2010,23,364,off course,2010,0,9.899999619,2010,45,,,,,,,,,,2010,31,2006,36,,,,,,,2014,22,34,28,4,11,8,2011,,,2011,,,,,,2008,,,,2008,,,,2008,,,,,,,,2010,17.3,2010,19,2010,48.1,2010,82,2010,26.3,,,.,,,.,2010,45.1,MICS,2012,4.7,2013,66,2010,38.6,2013,45,2010,45.3,,,,,,,,,,,,,2013,,,,,,,,,,28,,,,,,,,,,,,,,,,,0,,2,57,17,24,,,,,,,,,7,4,15,74,,,,,,,,,,,,,,,,,,.,.,,.,,2015,,,,,.,,,2014,17,22,23,19,20
Spain,Europe,Europe,Southern Europe,47199,2469,78,36,5,5,4,4,4,,,,,,,,,,,,,,,,,2014,32270,2013,31681,2012,31971,2011,32674,2010,32994,,,,,,,,,,,,,,,,,,,,,,,,,2012,8.2,,,,,,,,,,,,,,,,,2014,66,56,61,23,25,24,2011,18,2049,2011,Currently off course,,,1995-02,Optimal iodine nutrition,2008,10,11,9,2008,37,42,32,2008,56,59,53,,,,,,,.,,,,,,1995,11.8,,,.,,,.,,,.,2012,,,,,,2013,96,,,,,,,900,752,620,557,71,74,74,,2013,0.1,16,2013,4.949,2013,5.665,,,,,2012,131,2011,129,2010,126,2009,122,2008,122,99,1,0,0,99,0,1,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,1.1,8.6,,,1.5,11.2,13.3,33.3,1.1,10.7,14.3,36.8,1.2,9.4,12.9,35.4,2014,Many provisions law,2003,Medium high,2011,Yes,,No Fortification,2014-2017,126,114,2010,"Available, fully implemented","Available, fully implemented",,,,,,
Sri Lanka,Asia,Asia,Southern Asia,21612,1881,16,18,11,11,10,10,10,2009,4,2006,7,2002,14,1995,16,2009,24,2006,29,2002,40,1995,47,2014,10043,2013,9426,2012,8856,2011,8112,2010,7572,,,2012,15,275,1,3,Off course - Some progress,2012,1,11,3.769999981,0.0,On course - Good progress,2012,21,401,off course,2012,0,3,2006,76,,2006,17,2012,15,2009,19,2007,17,2000,18,1995,26,2008,4.5,0.5,,,,2014,18,32,25,3,10,7,2011,26,1401,2011,Currently off course,2013,6,2000-01,Optimal iodine nutrition,2008,9,9,9,2008,39,42,37,2008,36,33,38,,,,,2006,92.5,2006-2007,99,2006,79.9,2006,92,2007,7.3,1993,17.1,DHS,2000,52.6,DHS,2006-2007,75.8,DHS,2012,10.8,2013,92,2006,50.4,2013,99,2006,92.4,30.60000038,29.89999962,26,22,188,198,201,212,40,44,42,43,2013,0.383,75,2010,0.68,2010,1.641,,,2006-2007,4,,,,,2012,102,2011,101,2010,98,12,56,25,7,21,16,59,4,34,62,4,0,71,3,13,13,81,4,8,7,95,4,1,0,5.8,10.5,5.4,13.1,4.3,9.6,6.4,11.2,5.6,8.4,6.0,8.7,,,,,2014,Law,2003,High,2011,Partial,,No Fortification,2010-2016,76,74,2010,"Available, partially implemented","Available, partially implemented",2014,46,52,52,59,52
Sudan,Africa,Africa,Northern Africa,39613,5850,34,7,85,83,81,79,77,,,,,,,2009,20,,,,,,,2009,44,2014,3940,2013,3903,2012,3856,2011,3524,2010,3282,,,2014,38,2208,-2,5,Off course - No progress,2014,3,173,4.119999886,0.0,On course - Good progress,2014,16,942,off course,,,,2014,55,on course,,,,,,,2014,38,2010,35,2006,38,2012,11.4,3.6,,,,2014,22,34,28,4,11,8,2011,32,3399,2011,Currently off course,2013,44,1997,Mild iodine deficiency,2008,8,9,8,2008,46,48,42,2008,33,33,33,,,,,2010,47.1,2010,23,2010,73.2,2010,88,2010,28.9,,,.,2010,41,NS,2014,55.4,MICS,2012,9.1,2013,0,2010,22,2013,93,2010,9.5,,,,,,,,,,,,,2013,0.628,140,2008,0.28,2008,0.84,2004,0.169,,14,2012,39,2011,35,2010,39,2009,38,2008,35,32,35,25,8,29,29,33,9,,,,,27,7,28,38,25,7,26,42,,,,,3.7,14.1,4.0,0.1,,,,,,,,,,,,,2014,Few provisions law,2003,Medium high,2011,No,,No Fortification,2007-2012,126,116,2010,"Available, not implemented","Available, partially implemented",,,,,,
Suriname,Americas,Latin America and the Caribbean,South America,548,47,71,13,26,25,24,24,23,,,,,,,1999,16,,,,,,,1999,27,2013,15556,2012,15254,2011,14942,2010,14325,2009,13747,,,2010,9,4,5,3,On course - Good progress,2010,4,2,-3.440000057,0.0,On course - At risk,2010,5,2,off course,2010,0,0.800000012,2010,3,Off course no progress,2010,13.9,,,,,2010,9,2006,11,2000,15,2009,19.3,6.6,,,,2014,54,63,59,19,33,26,2011,25,35,2011,Currently off course,2013,8,,,2008,13,12,14,2008,41,44,37,2008,36,32,39,,,,,2010,66.8,2010,91,2010,44.7,2010,23,2010,16.9,2000,8.7,MICS,2006,2.2,MICS,2010,2.8,MICS,2012,,,,2010,42.4,2013,86,,,15.5,14.10000038,8.699999809,8,363,364,422,403,49,55,56,,2013,0.463,95,2004,0.911,2004,5.877,,,,,2013,86,2011,97,2009,83,2008,86,2007,85,,,,,76,3,13,8,66,29,1,4,,,,,81,10,2,8,79,10,5,6,,,,,,,,,,,,,,,,,,.,2003,High,.,,,Mandatory,2012-2016,117,34,2010,"Available, partially implemented","Available, partially implemented",,,,,,
Swaziland,Africa,Africa,Southern Africa,1286,172,21,7,108,94,87,82,80,,,2009,39,2000,43,1994,79,,,2009,59,2000,64,1994,89,2014,6058,2013,5998,2012,5910,2011,5846,2010,5862,,,2014,26,44,5,4,On course - Good progress,2014,9,15,4.230000019,2.3,Off course - Some progress,2014,2,3,on course,2014,0,0.400000006,2014,64,on course,2010,8.7,2014,26,2010,31,2008,40,2006,30,2000,37,2013,16.6,4,2006,0.9,1.8,2014,27,55,41,8,28,18,2011,28,87,2011,Currently off course,2013,31,1998,Optimal iodine nutrition,2008,11,9,12,2008,47,49,45,2008,31,29,33,,,,,2010,76.6,2010,82,2010,54.5,2010,60,2010,13,2008,32.7,NS,2010,44.1,MICS,2014,63.8,MICS,2012,13.8,2013,31,2010,57,2013,98,2010,51.6,15.89999962,21.70000076,23.60000038,26.79999924,327,170,285,289,44,46,41,,2013,0.529,115,2009,0.17,2009,1.602,2004,4.34,,22,2012,60,2011,59,2010,58,2009,54,2007,51,18,21,16,45,25,15,27,33,37,37,14,12,49,18,8,25,52,19,6,23,57,21,8,14,8.1,29.3,11.1,0.5,6.6,19.8,8.0,0.4,5.4,20.6,11.9,6.5,4.2,20.6,12.3,4.7,2014,Voluntary,.,,2011,Partial,,No Fortification,2013-2018,20,116,2010,"Available, partially implemented","Available, not implemented",2014,21,24,27,19,23
