indicator,year,region,n,value
"Adult overweight and obesity, Male (%)",2014,Northern Europe,10,66
"Adult overweight and obesity, Female (%)",2014,Northern Europe,10,56
"Adult obesity, Male (%)",2014,Northern Europe,10,25
"Adult obesity, Female (%)",2014,Northern Europe,10,26
Stunting.No progress or worsening,2017,Northern Europe,,0
Stunting.On course,2017,Northern Europe,,0
Stunting.Some progress,2017,Northern Europe,,0
Stunting.Insufficient data to make assessment,2017,Northern Europe,,10
Wasting.No progress or worsening,2017,Northern Europe,,0
Wasting.On course,2017,Northern Europe,,0
Wasting.Some progress,2017,Northern Europe,,0
Wasting.Insufficient data to make assessment,2017,Northern Europe,,10
Overweight.Off course,2017,Northern Europe,,0
Overweight.On course,2017,Northern Europe,,0
Overweight.Insufficient data to make assessment,2017,Northern Europe,,10
Anaemia.No progress or worsening,2017,Northern Europe,,10
Anaemia.On course,2017,Northern Europe,,
Anaemia.Some progress,2017,Northern Europe,,0
Anaemia.Insufficient data to make assessment,2017,Northern Europe,,0
EBF.No progress or worsening,2017,Northern Europe,,0
EBF.On course,2017,Northern Europe,,0
EBF.Some progress,2017,Northern Europe,,0
EBF.Insufficient data to make assessment,2017,Northern Europe,,10
"Adult obesity, female.Insufficient data to make assessment",2017,Northern Europe,,0
"Adult obesity, female.Off course",2017,Northern Europe,,10
"Adult obesity, female.On course",2017,Northern Europe,,
"Adult obesity, male.Insufficient data to make assessment",2017,Northern Europe,,0
"Adult obesity, male.Off course",2017,Northern Europe,,10
"Adult obesity, male.On course",2017,Northern Europe,,
"Adult diabetes, female.Insufficient data to make assessment",2017,Northern Europe,,0
"Adult diabetes, female.Off course",2017,Northern Europe,,5
"Adult diabetes, female.On course",2017,Northern Europe,,5
Adult diabetes male.Insufficient data to make assessment,2017,Northern Europe,,0
Adult diabetes male.Off course,2017,Northern Europe,,6
Adult diabetes male.On course,2017,Northern Europe,,4
Antenatal care (4+ visits),2003-2016,Northern Europe,0,
Skilled attendant at birth,1998-2016,Northern Europe,8,99
Initiation of breastfeeding within 1 hour after birth,2003-2016,Northern Europe,0,
Continued breastfeeding at 1 year,1995-2016,Northern Europe,0,
Unmet need for family planning,1993-2016,Northern Europe,0,
"Severe acute malnutrition, geographic coverage",2012,Northern Europe,0,
"Vitamin A supplementation, full coverage",2014,Northern Europe,0,
Children under 5 with diarrhoea receiving ORS,2000-2016,Northern Europe,0,
Immunization coverage (DTP3),2016,Northern Europe,10,94
Iodized salt consumption,2000-2013,Northern Europe,0,
Exclusive breastfeeding 0-5 months (%),1999-2015,Northern Europe,0,
Minimum acceptable diet 6-23 months (%),2010-2016,Northern Europe,0,
Minimum dietary diversity 6-23 months (%),2010-2016,Northern Europe,0,
Undernourishment (%),1990,Northern Europe,0,
Undernourishment (%),1999,Northern Europe,0,
Undernourishment (%),2009,Northern Europe,0,
Undernourishment (%),2014,Northern Europe,0,
Fruit and veg (grams),1990,Northern Europe,7,439
Fruit and veg (grams),2000,Northern Europe,10,463
Fruit and veg (grams),2010,Northern Europe,10,572
Fruit and veg (grams),2013,Northern Europe,10,601
Non-staples (%),1990,Northern Europe,10,70
Non-staples (%),1999,Northern Europe,10,69
Non-staples (%),2008,Northern Europe,10,68
Non-staples (%),2011,Northern Europe,0,
Early childbearing: births by age 18 (%),2001-2015,Northern Europe,0,
Gender Inequality Index (score),2015,Northern Europe,10,0.11
Female secondary education enrolment rate,2006-2012,Northern Europe,10,104
Physicians,1998-2015,Northern Europe,10,3.129
Nurses and midwives,1994-2015,Northern Europe,10,10.107
Community health workers,1992-2013,Northern Europe,0,
Drinking.Basic,2000,Northern Europe,10,5
Drinking.Limited,2000,Northern Europe,0,
Drinking.Surface water,2000,Northern Europe,10,0
Drinking.Unimproved,2000,Northern Europe,10,0
Drinking.Safely managed,2000,Northern Europe,10,94
Drinking.Basic,2010,Northern Europe,10,4
Drinking.Limited,2010,Northern Europe,0,
Drinking.Surface water,2010,Northern Europe,10,0
Drinking.Unimproved,2010,Northern Europe,10,0
Drinking.Safely managed,2010,Northern Europe,10,95
Drinking.Basic,2015,Northern Europe,10,4
Drinking.Limited,2015,Northern Europe,0,
Drinking.Surface water,2015,Northern Europe,10,0
Drinking.Unimproved,2015,Northern Europe,10,0
Drinking.Safely managed,2015,Northern Europe,10,96
Sanitation.Basic,2000,Northern Europe,10,8
Sanitation.Limited,2000,Northern Europe,10,1
Sanitation.Safely managed,2000,Northern Europe,10,90
Sanitation.Unimproved,2000,Northern Europe,10,1
Sanitation.Open defecation,2000,Northern Europe,10,0
Sanitation.Basic,2010,Northern Europe,10,6
Sanitation.Limited,2010,Northern Europe,10,1
Sanitation.Safely managed,2010,Northern Europe,10,92
Sanitation.Unimproved,2010,Northern Europe,10,1
Sanitation.Open defecation,2010,Northern Europe,10,0
Sanitation.Basic,2015,Northern Europe,10,6
Sanitation.Limited,2015,Northern Europe,10,1
Sanitation.Safely managed,2015,Northern Europe,10,93
Sanitation.Unimproved,2015,Northern Europe,10,0
Sanitation.Open defecation,2015,Northern Europe,10,0
Agriculture,1990,Northern Europe,7,1
Education,1990,Northern Europe,7,11
Health,1990,Northern Europe,6,12
Social protection,1990,Northern Europe,7,35
Agriculture,2000,Northern Europe,10,1
Education,2000,Northern Europe,10,13
Health,2000,Northern Europe,10,14
Social protection,2000,Northern Europe,10,38
Agriculture,2010,Northern Europe,10,1
Education,2010,Northern Europe,10,13
Health,2010,Northern Europe,10,15
Social protection,2010,Northern Europe,10,37
Agriculture,2012,Northern Europe,10,1
Education,2012,Northern Europe,10,12
Health,2012,Northern Europe,10,16
Social protection,2012,Northern Europe,10,36
National Implementation of the International Code of Marketing of Breast Milk Substitutes,2016,Northern Europe,10,Few provisions in law
Extent of Constitutional Right to Food,2003,Northern Europe,8,Medium high
Maternity protection (Convention 183),2011,Northern Europe,10,Yes
Wheat fortification legislation ,2015,Northern Europe,10,No fortification
Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach,2015,Northern Europe,10,Yes
Bringing people into a shared space for action (%),2017,Northern Europe,,
Ensuring a coherent policy and legal framework (%),2017,Northern Europe,,
Aligning actions around a common results framework (%),2017,Northern Europe,,
Financial tracking and resource mobilization (%),2017,Northern Europe,,
Total weighed score (%),2017,Northern Europe,,
Total population (000),2017,Polynesia,3,316
Under-5 population (000),2017,Polynesia,2,36
Urban population (%),2017,Polynesia,3,22
>65 population (%),2017,Polynesia,2,6
Under-5 mortality rate (deaths per 1000 live births),2015,Polynesia,3,18
GDP per capita (PPP),2016,Polynesia,3,5606
Poverty rates $1.90,2000-2013,Polynesia,0,
Poverty rates $3.10,2000-2013,Polynesia,0,
Stunting (millions),2016,Polynesia,,
Wasting (millions),2016,Polynesia,,
Overweight (millions),2016,Polynesia,,
Stunting (%),2016,Polynesia,,
Wasting (%),2016,Polynesia,,
Overweight (%),2016,Polynesia,,
Severe wasting (%),2016,Polynesia,,
Low birth weight (%),2000-2012,Polynesia,2,10
Adolescent overweight (%),2003-2014,Polynesia,3,54.28292416
Adolescent obesity (%),2003-2014,Polynesia,3,20
"Women of reproductive age, thinness (%)",1994-2015,Polynesia,0,
"Women of reproductive age, short stature (%)",1994-2015,Polynesia,0,
Women of reproductive age with anaemia (000),2016,Polynesia,2,19
Women of reproductive age with anaemia (%),2016,Polynesia,2,28
Vitamin A deficiency in children 6-59 months (%),2013,Polynesia,2,6
Population classification of iodine status,1996-2001,Polynesia,,
"Raised blood pressure, Male (%)",2015,Polynesia,3,26
"Raised blood pressure, Female (%)",2015,Polynesia,3,21
"Raised blood glucose, Male (%)",2014,Polynesia,3,22
"Raised blood glucose, Female (%)",2014,Polynesia,3,26
"Raised blood cholesterol, Male (%)",2008,Polynesia,2,39
"Raised blood cholesterold, Female (%)",2008,Polynesia,2,40
"Adult overweight and obesity, Male (%)",2014,Polynesia,3,74
"Adult overweight and obesity, Female (%)",2014,Polynesia,3,82
"Adult obesity, Male (%)",2014,Polynesia,3,40
"Adult obesity, Female (%)",2014,Polynesia,3,54
Stunting.No progress or worsening,2017,Polynesia,,0
Stunting.On course,2017,Polynesia,,0
Stunting.Some progress,2017,Polynesia,,0
Stunting.Insufficient data to make assessment,2017,Polynesia,,3
Wasting.No progress or worsening,2017,Polynesia,,0
Wasting.On course,2017,Polynesia,,0
Wasting.Some progress,2017,Polynesia,,0
Wasting.Insufficient data to make assessment,2017,Polynesia,,3
Overweight.Off course,2017,Polynesia,,0
Overweight.On course,2017,Polynesia,,0
Overweight.Insufficient data to make assessment,2017,Polynesia,,3
Anaemia.No progress or worsening,2017,Polynesia,,2
Anaemia.On course,2017,Polynesia,,
Anaemia.Some progress,2017,Polynesia,,0
Anaemia.Insufficient data to make assessment,2017,Polynesia,,1
EBF.No progress or worsening,2017,Polynesia,,0
EBF.On course,2017,Polynesia,,0
EBF.Some progress,2017,Polynesia,,0
EBF.Insufficient data to make assessment,2017,Polynesia,,3
"Adult obesity, female.Insufficient data to make assessment",2017,Polynesia,,0
"Adult obesity, female.Off course",2017,Polynesia,,3
"Adult obesity, female.On course",2017,Polynesia,,
"Adult obesity, male.Insufficient data to make assessment",2017,Polynesia,,0
"Adult obesity, male.Off course",2017,Polynesia,,3
"Adult obesity, male.On course",2017,Polynesia,,
"Adult diabetes, female.Insufficient data to make assessment",2017,Polynesia,,0
"Adult diabetes, female.Off course",2017,Polynesia,,3
"Adult diabetes, female.On course",2017,Polynesia,,0
Adult diabetes male.Insufficient data to make assessment,2017,Polynesia,,0
Adult diabetes male.Off course,2017,Polynesia,,3
Adult diabetes male.On course,2017,Polynesia,,0
Antenatal care (4+ visits),2003-2016,Polynesia,3,72
Skilled attendant at birth,1998-2016,Polynesia,3,87
Initiation of breastfeeding within 1 hour after birth,2003-2016,Polynesia,3,82
Continued breastfeeding at 1 year,1995-2016,Polynesia,3,64
Unmet need for family planning,1993-2016,Polynesia,3,31
"Severe acute malnutrition, geographic coverage",2012,Polynesia,0,
"Vitamin A supplementation, full coverage",2014,Polynesia,0,
Children under 5 with diarrhoea receiving ORS,2000-2016,Polynesia,2,62
Immunization coverage (DTP3),2016,Polynesia,3,69
Iodized salt consumption,2000-2013,Polynesia,0,
Exclusive breastfeeding 0-5 months (%),1999-2015,Polynesia,3,51
Minimum acceptable diet 6-23 months (%),2010-2016,Polynesia,0,
Minimum dietary diversity 6-23 months (%),2010-2016,Polynesia,0,
Undernourishment (%),1990,Polynesia,1,11
Undernourishment (%),1999,Polynesia,1,7
Undernourishment (%),2009,Polynesia,0,
Undernourishment (%),2014,Polynesia,0,
Fruit and veg (grams),1990,Polynesia,1,433
Fruit and veg (grams),2000,Polynesia,1,494
Fruit and veg (grams),2010,Polynesia,1,585
Fruit and veg (grams),2013,Polynesia,1,618
Non-staples (%),1990,Polynesia,1,68
Non-staples (%),1999,Polynesia,1,69
Non-staples (%),2008,Polynesia,1,71
Non-staples (%),2011,Polynesia,0,
Early childbearing: births by age 18 (%),2001-2015,Polynesia,3,5
Gender Inequality Index (score),2015,Polynesia,2,0.517
Female secondary education enrolment rate,2006-2012,Polynesia,2,99
Physicians,1998-2015,Polynesia,3,0.522
Nurses and midwives,1994-2015,Polynesia,3,2.729
Community health workers,1992-2013,Polynesia,0,
Drinking.Basic,2000,Polynesia,2,95
Drinking.Limited,2000,Polynesia,1,2
Drinking.Surface water,2000,Polynesia,2,0
Drinking.Unimproved,2000,Polynesia,2,4
Drinking.Safely managed,2000,Polynesia,0,
Drinking.Basic,2010,Polynesia,3,96
Drinking.Limited,2010,Polynesia,1,2
Drinking.Surface water,2010,Polynesia,3,0
Drinking.Unimproved,2010,Polynesia,3,2
Drinking.Safely managed,2010,Polynesia,0,
Drinking.Basic,2015,Polynesia,3,97
Drinking.Limited,2015,Polynesia,1,2
Drinking.Surface water,2015,Polynesia,3,0
Drinking.Unimproved,2015,Polynesia,3,1
Drinking.Safely managed,2015,Polynesia,0,
Sanitation.Basic,2000,Polynesia,2,95
Sanitation.Limited,2000,Polynesia,2,0
Sanitation.Safely managed,2000,Polynesia,0,
Sanitation.Unimproved,2000,Polynesia,2,4
Sanitation.Open defecation,2000,Polynesia,2,0
Sanitation.Basic,2010,Polynesia,3,95
Sanitation.Limited,2010,Polynesia,3,0
Sanitation.Safely managed,2010,Polynesia,0,
Sanitation.Unimproved,2010,Polynesia,3,4
Sanitation.Open defecation,2010,Polynesia,3,0
Sanitation.Basic,2015,Polynesia,3,95
Sanitation.Limited,2015,Polynesia,3,0
Sanitation.Safely managed,2015,Polynesia,0,
Sanitation.Unimproved,2015,Polynesia,3,4
Sanitation.Open defecation,2015,Polynesia,3,0
Agriculture,1990,Polynesia,,
Education,1990,Polynesia,,
Health,1990,Polynesia,,
Social protection,1990,Polynesia,,
Agriculture,2000,Polynesia,,
Education,2000,Polynesia,,
Health,2000,Polynesia,,
Social protection,2000,Polynesia,,
Agriculture,2010,Polynesia,,
Education,2010,Polynesia,,
Health,2010,Polynesia,,
Social protection,2010,Polynesia,,
Agriculture,2012,Polynesia,,
Education,2012,Polynesia,,
Health,2012,Polynesia,,
Social protection,2012,Polynesia,,
National Implementation of the International Code of Marketing of Breast Milk Substitutes,2016,Polynesia,3,No legal measures
Extent of Constitutional Right to Food,2003,Polynesia,,
Maternity protection (Convention 183),2011,Polynesia,,
Wheat fortification legislation ,2015,Polynesia,1,Planning
Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach,2015,Polynesia,3,No
Bringing people into a shared space for action (%),2017,Polynesia,,
Ensuring a coherent policy and legal framework (%),2017,Polynesia,,
Aligning actions around a common results framework (%),2017,Polynesia,,
Financial tracking and resource mobilization (%),2017,Polynesia,,
Total weighed score (%),2017,Polynesia,,
Total population (000),2017,South America,12,424108
Under-5 population (000),2017,South America,12,33271
Urban population (%),2017,South America,12,84
>65 population (%),2017,South America,12,8
Under-5 mortality rate (deaths per 1000 live births),2015,South America,12,16
GDP per capita (PPP),2016,South America,11,14246
Poverty rates $1.90,2000-2013,South America,11,5
Poverty rates $3.10,2000-2013,South America,11,10
Stunting (millions),2016,South America,12,3
Wasting (millions),2016,South America,12,0
Overweight (millions),2016,South America,12,3
Stunting (%),2016,South America,12,10
Wasting (%),2016,South America,12,1
Overweight (%),2016,South America,12,7.4
Severe wasting (%),2016,South America,10,0
Low birth weight (%),2000-2012,South America,12,8
Adolescent overweight (%),2003-2014,South America,0,
Adolescent obesity (%),2003-2014,South America,0,
"Women of reproductive age, thinness (%)",1994-2015,South America,5,5
"Women of reproductive age, short stature (%)",1994-2015,South America,5,4
Women of reproductive age with anaemia (000),2016,South America,12,26878
Women of reproductive age with anaemia (%),2016,South America,12,24
Vitamin A deficiency in children 6-59 months (%),2013,South America,12,11
Population classification of iodine status,1996-2001,South America,9,Risk of adverse health consequences
"Raised blood pressure, Male (%)",2015,South America,12,25
"Raised blood pressure, Female (%)",2015,South America,12,18
"Raised blood glucose, Male (%)",2014,South America,12,8
"Raised blood glucose, Female (%)",2014,South America,12,9
"Raised blood cholesterol, Male (%)",2008,South America,12,43
"Raised blood cholesterold, Female (%)",2008,South America,12,44
"Adult overweight and obesity, Male (%)",2014,South America,12,57
"Adult overweight and obesity, Female (%)",2014,South America,12,57
"Adult obesity, Male (%)",2014,South America,12,18
"Adult obesity, Female (%)",2014,South America,12,26
Stunting.No progress or worsening,2017,South America,,0
Stunting.On course,2017,South America,,3
Stunting.Some progress,2017,South America,,0
Stunting.Insufficient data to make assessment,2017,South America,,9
Wasting.No progress or worsening,2017,South America,,1
Wasting.On course,2017,South America,,2
Wasting.Some progress,2017,South America,,0
Wasting.Insufficient data to make assessment,2017,South America,,9
Overweight.Off course,2017,South America,,0
Overweight.On course,2017,South America,,2
Overweight.Insufficient data to make assessment,2017,South America,,10
Anaemia.No progress or worsening,2017,South America,,6
Anaemia.On course,2017,South America,,
Anaemia.Some progress,2017,South America,,6
Anaemia.Insufficient data to make assessment,2017,South America,,0
EBF.No progress or worsening,2017,South America,,1
EBF.On course,2017,South America,,0
EBF.Some progress,2017,South America,,1
EBF.Insufficient data to make assessment,2017,South America,,10
"Adult obesity, female.Insufficient data to make assessment",2017,South America,,0
"Adult obesity, female.Off course",2017,South America,,12
"Adult obesity, female.On course",2017,South America,,
"Adult obesity, male.Insufficient data to make assessment",2017,South America,,0
"Adult obesity, male.Off course",2017,South America,,12
"Adult obesity, male.On course",2017,South America,,
"Adult diabetes, female.Insufficient data to make assessment",2017,South America,,0
"Adult diabetes, female.Off course",2017,South America,,12
"Adult diabetes, female.On course",2017,South America,,0
Adult diabetes male.Insufficient data to make assessment,2017,South America,,0
Adult diabetes male.Off course,2017,South America,,12
Adult diabetes male.On course,2017,South America,,0
Antenatal care (4+ visits),2003-2016,South America,11,86
Skilled attendant at birth,1998-2016,South America,12,98
Initiation of breastfeeding within 1 hour after birth,2003-2016,South America,10,49
Continued breastfeeding at 1 year,1995-2016,South America,9,54
Unmet need for family planning,1993-2016,South America,8,7
"Severe acute malnutrition, geographic coverage",2012,South America,0,
"Vitamin A supplementation, full coverage",2014,South America,0,
Children under 5 with diarrhoea receiving ORS,2000-2016,South America,0,
Immunization coverage (DTP3),2016,South America,12,88
Iodized salt consumption,2000-2013,South America,4,94
Exclusive breastfeeding 0-5 months (%),1999-2015,South America,9,42
Minimum acceptable diet 6-23 months (%),2010-2016,South America,0,
Minimum dietary diversity 6-23 months (%),2010-2016,South America,0,
Undernourishment (%),1990,South America,11,17
Undernourishment (%),1999,South America,9,14
Undernourishment (%),2009,South America,0,
Undernourishment (%),2014,South America,0,
Fruit and veg (grams),1990,South America,12,344
Fruit and veg (grams),2000,South America,12,426
Fruit and veg (grams),2010,South America,12,459
Fruit and veg (grams),2013,South America,12,409
Non-staples (%),1990,South America,12,59
Non-staples (%),1999,South America,12,62
Non-staples (%),2008,South America,12,62
Non-staples (%),2011,South America,4,64
Early childbearing: births by age 18 (%),2001-2015,South America,0,
Gender Inequality Index (score),2015,South America,12,0.404
Female secondary education enrolment rate,2006-2012,South America,12,100
Physicians,1998-2015,South America,12,1.894
Nurses and midwives,1994-2015,South America,12,4.184
Community health workers,1992-2013,South America,0,
Drinking.Basic,2000,South America,12,64
Drinking.Limited,2000,South America,9,1
Drinking.Surface water,2000,South America,12,2
Drinking.Unimproved,2000,South America,12,5
Drinking.Safely managed,2000,South America,0,
Drinking.Basic,2010,South America,12,66
Drinking.Limited,2010,South America,9,1
Drinking.Surface water,2010,South America,12,2
Drinking.Unimproved,2010,South America,12,2
Drinking.Safely managed,2010,South America,0,
Drinking.Basic,2015,South America,12,67
Drinking.Limited,2015,South America,9,0
Drinking.Surface water,2015,South America,12,2
Drinking.Unimproved,2015,South America,12,1
Drinking.Safely managed,2015,South America,0,
Sanitation.Basic,2000,South America,12,52
Sanitation.Limited,2000,South America,12,3
Sanitation.Safely managed,2000,South America,9,25
Sanitation.Unimproved,2000,South America,12,12
Sanitation.Open defecation,2000,South America,12,9
Sanitation.Basic,2010,South America,12,53
Sanitation.Limited,2010,South America,12,3
Sanitation.Safely managed,2010,South America,9,31
Sanitation.Unimproved,2010,South America,12,9
Sanitation.Open defecation,2010,South America,12,5
Sanitation.Basic,2015,South America,12,53
Sanitation.Limited,2015,South America,12,3
Sanitation.Safely managed,2015,South America,9,35
Sanitation.Unimproved,2015,South America,12,7
Sanitation.Open defecation,2015,South America,12,3
Agriculture,1990,South America,7,2
Education,1990,South America,7,8
Health,1990,South America,7,4
Social protection,1990,South America,7,12
Agriculture,2000,South America,8,2
Education,2000,South America,8,11
Health,2000,South America,8,9
Social protection,2000,South America,8,36
Agriculture,2010,South America,5,2
Education,2010,South America,5,9
Health,2010,South America,5,7
Social protection,2010,South America,5,36
Agriculture,2012,South America,2,2
Education,2012,South America,2,8
Health,2012,South America,2,8
Social protection,2012,South America,2,37
National Implementation of the International Code of Marketing of Breast Milk Substitutes,2016,South America,12,Few/Full provisions in law
Extent of Constitutional Right to Food,2003,South America,12,Medium high
Maternity protection (Convention 183),2011,South America,11,Partial
Wheat fortification legislation ,2015,South America,12,Mandatory
Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach,2015,South America,12,Yes
Bringing people into a shared space for action (%),2017,South America,,
Ensuring a coherent policy and legal framework (%),2017,South America,,
Aligning actions around a common results framework (%),2017,South America,,
Financial tracking and resource mobilization (%),2017,South America,,
Total weighed score (%),2017,South America,,
Total population (000),2017,South-Eastern Asia,11,648780
Under-5 population (000),2017,South-Eastern Asia,11,57966
Urban population (%),2017,South-Eastern Asia,11,49
>65 population (%),2017,South-Eastern Asia,11,6
Under-5 mortality rate (deaths per 1000 live births),2015,South-Eastern Asia,11,26
GDP per capita (PPP),2016,South-Eastern Asia,10,10719
Poverty rates $1.90,2000-2013,South-Eastern Asia,8,8
Poverty rates $3.10,2000-2013,South-Eastern Asia,8,28
Stunting (millions),2016,South-Eastern Asia,11,15
Wasting (millions),2016,South-Eastern Asia,11,5
Overweight (millions),2016,South-Eastern Asia,11,4
Stunting (%),2016,South-Eastern Asia,11,26
Wasting (%),2016,South-Eastern Asia,11,9
Overweight (%),2016,South-Eastern Asia,11,7.2
Severe wasting (%),2016,South-Eastern Asia,9,5
Low birth weight (%),2000-2012,South-Eastern Asia,11,11
Adolescent overweight (%),2003-2014,South-Eastern Asia,8,10
Adolescent obesity (%),2003-2014,South-Eastern Asia,8,2
"Women of reproductive age, thinness (%)",1994-2015,South-Eastern Asia,0,
"Women of reproductive age, short stature (%)",1994-2015,South-Eastern Asia,0,
Women of reproductive age with anaemia (000),2016,South-Eastern Asia,11,48464
Women of reproductive age with anaemia (%),2016,South-Eastern Asia,11,28
Vitamin A deficiency in children 6-59 months (%),2013,South-Eastern Asia,9,9
Population classification of iodine status,1996-2001,South-Eastern Asia,7,Mild iodine deficiency
"Raised blood pressure, Male (%)",2015,South-Eastern Asia,11,24
"Raised blood pressure, Female (%)",2015,South-Eastern Asia,11,22
"Raised blood glucose, Male (%)",2014,South-Eastern Asia,11,7
"Raised blood glucose, Female (%)",2014,South-Eastern Asia,11,8
"Raised blood cholesterol, Male (%)",2008,South-Eastern Asia,11,37
"Raised blood cholesterold, Female (%)",2008,South-Eastern Asia,11,42
"Adult overweight and obesity, Male (%)",2014,South-Eastern Asia,11,21
"Adult overweight and obesity, Female (%)",2014,South-Eastern Asia,11,27
"Adult obesity, Male (%)",2014,South-Eastern Asia,11,4
"Adult obesity, Female (%)",2014,South-Eastern Asia,11,8
Stunting.No progress or worsening,2017,South-Eastern Asia,,0
Stunting.On course,2017,South-Eastern Asia,,0
Stunting.Some progress,2017,South-Eastern Asia,,6
Stunting.Insufficient data to make assessment,2017,South-Eastern Asia,,5
Wasting.No progress or worsening,2017,South-Eastern Asia,,4
Wasting.On course,2017,South-Eastern Asia,,0
Wasting.Some progress,2017,South-Eastern Asia,,2
Wasting.Insufficient data to make assessment,2017,South-Eastern Asia,,5
Overweight.Off course,2017,South-Eastern Asia,,2
Overweight.On course,2017,South-Eastern Asia,,4
Overweight.Insufficient data to make assessment,2017,South-Eastern Asia,,5
Anaemia.No progress or worsening,2017,South-Eastern Asia,,10
Anaemia.On course,2017,South-Eastern Asia,,
Anaemia.Some progress,2017,South-Eastern Asia,,1
Anaemia.Insufficient data to make assessment,2017,South-Eastern Asia,,0
EBF.No progress or worsening,2017,South-Eastern Asia,,1
EBF.On course,2017,South-Eastern Asia,,2
EBF.Some progress,2017,South-Eastern Asia,,0
EBF.Insufficient data to make assessment,2017,South-Eastern Asia,,8
"Adult obesity, female.Insufficient data to make assessment",2017,South-Eastern Asia,,0
"Adult obesity, female.Off course",2017,South-Eastern Asia,,11
"Adult obesity, female.On course",2017,South-Eastern Asia,,
"Adult obesity, male.Insufficient data to make assessment",2017,South-Eastern Asia,,0
"Adult obesity, male.Off course",2017,South-Eastern Asia,,11
"Adult obesity, male.On course",2017,South-Eastern Asia,,
"Adult diabetes, female.Insufficient data to make assessment",2017,South-Eastern Asia,,0
"Adult diabetes, female.Off course",2017,South-Eastern Asia,,9
"Adult diabetes, female.On course",2017,South-Eastern Asia,,2
Adult diabetes male.Insufficient data to make assessment,2017,South-Eastern Asia,,0
Adult diabetes male.Off course,2017,South-Eastern Asia,,10
Adult diabetes male.On course,2017,South-Eastern Asia,,1
Antenatal care (4+ visits),2003-2016,South-Eastern Asia,9,80
Skilled attendant at birth,1998-2016,South-Eastern Asia,11,85
Initiation of breastfeeding within 1 hour after birth,2003-2016,South-Eastern Asia,8,48
Continued breastfeeding at 1 year,1995-2016,South-Eastern Asia,8,68
Unmet need for family planning,1993-2016,South-Eastern Asia,7,14
"Severe acute malnutrition, geographic coverage",2012,South-Eastern Asia,0,
"Vitamin A supplementation, full coverage",2014,South-Eastern Asia,6,86
Children under 5 with diarrhoea receiving ORS,2000-2016,South-Eastern Asia,8,47
Immunization coverage (DTP3),2016,South-Eastern Asia,11,87
Iodized salt consumption,2000-2013,South-Eastern Asia,6,56
Exclusive breastfeeding 0-5 months (%),1999-2015,South-Eastern Asia,8,33
Minimum acceptable diet 6-23 months (%),2010-2016,South-Eastern Asia,4,42
Minimum dietary diversity 6-23 months (%),2010-2016,South-Eastern Asia,4,62
Undernourishment (%),1990,South-Eastern Asia,9,30
Undernourishment (%),1999,South-Eastern Asia,8,24
Undernourishment (%),2009,South-Eastern Asia,8,14
Undernourishment (%),2014,South-Eastern Asia,8,10
Fruit and veg (grams),1990,South-Eastern Asia,10,240
Fruit and veg (grams),2000,South-Eastern Asia,10,291
Fruit and veg (grams),2010,South-Eastern Asia,10,353
Fruit and veg (grams),2013,South-Eastern Asia,10,376
Non-staples (%),1990,South-Eastern Asia,10,32
Non-staples (%),1999,South-Eastern Asia,10,34
Non-staples (%),2008,South-Eastern Asia,10,38
Non-staples (%),2011,South-Eastern Asia,5,38
Early childbearing: births by age 18 (%),2001-2015,South-Eastern Asia,8,8
Gender Inequality Index (score),2015,South-Eastern Asia,9,0.413
Female secondary education enrolment rate,2006-2012,South-Eastern Asia,8,76
Physicians,1998-2015,South-Eastern Asia,11,0.61
Nurses and midwives,1994-2015,South-Eastern Asia,11,2.223
Community health workers,1992-2013,South-Eastern Asia,0,
Drinking.Basic,2000,South-Eastern Asia,9,72
Drinking.Limited,2000,South-Eastern Asia,8,2
Drinking.Surface water,2000,South-Eastern Asia,9,6
Drinking.Unimproved,2000,South-Eastern Asia,9,14
Drinking.Safely managed,2000,South-Eastern Asia,0,
Drinking.Basic,2010,South-Eastern Asia,11,79
Drinking.Limited,2010,South-Eastern Asia,9,2
Drinking.Surface water,2010,South-Eastern Asia,11,3
Drinking.Unimproved,2010,South-Eastern Asia,11,9
Drinking.Safely managed,2010,South-Eastern Asia,0,
Drinking.Basic,2015,South-Eastern Asia,11,83
Drinking.Limited,2015,South-Eastern Asia,9,2
Drinking.Surface water,2015,South-Eastern Asia,11,2
Drinking.Unimproved,2015,South-Eastern Asia,11,6
Drinking.Safely managed,2015,South-Eastern Asia,0,
Sanitation.Basic,2000,South-Eastern Asia,9,54
Sanitation.Limited,2000,South-Eastern Asia,9,8
Sanitation.Safely managed,2000,South-Eastern Asia,0,
Sanitation.Unimproved,2000,South-Eastern Asia,9,12
Sanitation.Open defecation,2000,South-Eastern Asia,9,21
Sanitation.Basic,2010,South-Eastern Asia,11,65
Sanitation.Limited,2010,South-Eastern Asia,11,10
Sanitation.Safely managed,2010,South-Eastern Asia,0,
Sanitation.Unimproved,2010,South-Eastern Asia,11,8
Sanitation.Open defecation,2010,South-Eastern Asia,11,12
Sanitation.Basic,2015,South-Eastern Asia,11,70
Sanitation.Limited,2015,South-Eastern Asia,11,11
Sanitation.Safely managed,2015,South-Eastern Asia,0,
Sanitation.Unimproved,2015,South-Eastern Asia,11,6
